ID,Intake ID,Excretion ID,Subject group,Population,Country,Cohort,Intake Time definition,Intake Assessment method,Intake,Intake detail,Supplement intakes included?,Intake Arithmetic mean,Intake Geometric mean,Intake Median,Intake Unit,Intake Adjusted on,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Biomarker Arithmetic mean,Biomarker Geometric mean,Biomarker Median,Biomarker Unit,Biomarker Adjusted on,Correlation size,Correlation type,Correlation value,Correlation 95% CI lower,Correlation 95% CI upper,Correlation p-value,Significant?,Measurement adjustment,Deattenuated?,Covariates,Publication
855,908,916,Soy consumers (Soy intake: ≥ once a week),Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Genistein,"",,,81.3,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Genistein,"",,,,nmol/mg,Creatinine,39,Pearson,0.06,,,= 0.74,No,,,,Atkinson 2002
856,909,918,Soy consumers (Soy intake: ≥ once a week),Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Daidzein,"",,,60.4,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Daidzein,"",,,,nmol/mg,Creatinine,39,Pearson,0.03,,,= 0.88,No,,,,Atkinson 2002
857,909,920,Soy consumers (Soy intake: ≥ once a week),Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Daidzein,"",,,60.4,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,Daidzein + Equol + O-Desmethylangolensin,,,,nmol/mg,Creatinine,39,Pearson,0.07,,,= 0.65,No,,,,Atkinson 2002
858,914,912,Soy consumers (Soy intake: ≥ once a week),Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Isoflavones,Genistein + Daidzein,,,,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + O-Desmethylangolensin,,2.3,,nmol/mg,Creatinine,39,Pearson,0.07,,,= 0.66,No,,,,Atkinson 2002
859,910,917,Soy consumers (Soy intake: ≥ once or twice a month),Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Genistein,"",,,11.9,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Genistein,"",,,,nmol/mg,Creatinine,66,Pearson,0.25,,,= 0.05,No,,,,Atkinson 2002
860,911,919,Soy consumers (Soy intake: ≥ once or twice a month),Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Daidzein,"",,,8.4,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Daidzein,"",,,,nmol/mg,Creatinine,66,Pearson,0.12,,,= 0.35,No,,,,Atkinson 2002
861,911,921,Soy consumers (Soy intake: ≥ once or twice a month),Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Daidzein,"",,,8.4,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,Daidzein + Equol + O-Desmethylangolensin,,,,nmol/mg,Creatinine,66,Pearson,0.13,,,= 0.3,No,,,,Atkinson 2002
862,915,913,Soy consumers (Soy intake: ≥ once or twice a month),Cases and controls in a case-control study on uterine fibroids,United States,,,Food Frequency Questionnaire (FFQ),Isoflavones,Genistein + Daidzein,,,,,nmol/week,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + O-Desmethylangolensin,,1.0,,nmol/mg,Creatinine,66,Pearson,0.16,,,= 0.2,No,,,,Atkinson 2002
15,51,46,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,Food Frequency Questionnaire (FFQ),Isoflavones,"",,,,1.0,mg/day,,,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Equol,"",,,0.0,nmol/L,,198,Spearman,0.07,,,= 0.315,No,,,,Heald 2006
16,51,47,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,Food Frequency Questionnaire (FFQ),Isoflavones,"",,,,1.0,mg/day,,,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Daidzein,"",,,18.0,nmol/L,,198,Spearman,0.24,,,= 0.001,Yes,,,,Heald 2006
17,51,49,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,Food Frequency Questionnaire (FFQ),Isoflavones,"",,,,1.0,mg/day,,,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Isoflavones,Daidzein + Equol,,,18.66,nmol/L,,198,Spearman,0.24,,,= 0.001,Yes,,,,Heald 2006
18,51,48,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,Food Frequency Questionnaire (FFQ),Isoflavones,"",,,,1.0,mg/day,,,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Genistein,"",,,33.79,nmol/L,,196,Spearman,0.26,,,< 0.001,Yes,,,,Heald 2006
19,51,50,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,Food Frequency Questionnaire (FFQ),Isoflavones,"",,,,1.0,mg/day,,,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol,,,51.49,nmol/L,,196,Spearman,0.27,,,< 0.001,Yes,,,,Heald 2006
20,126,129,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Daidzein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Daidzein,"",,,,nmol/mg,Creatinine,24,Spearman,0.64,,,< 0.01,Yes,,,,Kim 2010
21,126,130,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Daidzein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Genistein,"",,,,nmol/mg,Creatinine,24,Spearman,0.62,,,< 0.001,Yes,,,,Kim 2010
22,126,131,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Daidzein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Glycitein,"",,,,nmol/mg,Creatinine,24,Spearman,0.59,,,< 0.01,Yes,,,,Kim 2010
23,126,132,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Daidzein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Equol,"",,,,nmol/mg,Creatinine,24,Spearman,0.21,,,>= 0.05,No,,,,Kim 2010
24,126,133,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Daidzein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,O-Desmethylangolensin,"",,,,nmol/mg,Creatinine,24,Spearman,0.43,,,< 0.05,Yes,,,,Kim 2010
25,126,134,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Daidzein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrodaidzein,"",,,,nmol/mg,Creatinine,24,Spearman,0.36,,,>= 0.05,No,,,,Kim 2010
26,126,135,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Daidzein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrogenistein,"",,,,nmol/mg,Creatinine,24,Spearman,0.17,,,>= 0.05,No,,,,Kim 2010
29,126,136,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Daidzein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + Glycitein + O-Desmethylangolensin + Dihydrodaidzein + Dihydrogenistein,,,,nmol/mg,Creatinine,24,Spearman,0.74,,,< 0.001,Yes,,,,Kim 2010
30,126,140,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Daidzein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Glycitein,,,,nmol/mg,Creatinine,24,Spearman,0.71,,,< 0.001,Yes,,,,Kim 2010
31,127,129,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Genistein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Daidzein,"",,,,nmol/mg,Creatinine,24,Spearman,0.58,,,< 0.01,Yes,,,,Kim 2010
32,127,130,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Genistein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Genistein,"",,,,nmol/mg,Creatinine,24,Spearman,0.62,,,< 0.01,Yes,,,,Kim 2010
33,127,131,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Genistein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Glycitein,"",,,,nmol/mg,Creatinine,24,Spearman,0.55,,,< 0.01,Yes,,,,Kim 2010
34,127,132,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Genistein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Equol,"",,,,nmol/mg,Creatinine,24,Spearman,0.2,,,>= 0.05,No,,,,Kim 2010
35,127,133,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Genistein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,O-Desmethylangolensin,"",,,,nmol/mg,Creatinine,24,Spearman,0.39,,,>= 0.05,No,,,,Kim 2010
36,127,134,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Genistein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrodaidzein,"",,,,nmol/mg,Creatinine,24,Spearman,0.38,,,>= 0.05,No,,,,Kim 2010
37,127,135,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Genistein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrogenistein,"",,,,nmol/mg,Creatinine,24,Spearman,0.14,,,>= 0.05,No,,,,Kim 2010
40,127,136,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Genistein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + Glycitein + O-Desmethylangolensin + Dihydrodaidzein + Dihydrogenistein,,,,nmol/mg,Creatinine,24,Spearman,0.68,,,< 0.001,Yes,,,,Kim 2010
41,127,140,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Genistein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Glycitein,,,,nmol/mg,Creatinine,24,Spearman,0.63,,,< 0.01,Yes,,,,Kim 2010
42,128,129,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Glycitein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Daidzein,"",,,,nmol/mg,Creatinine,24,Spearman,0.63,,,< 0.001,Yes,,,,Kim 2010
43,128,130,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Glycitein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Genistein,"",,,,nmol/mg,Creatinine,24,Spearman,0.69,,,< 0.001,Yes,,,,Kim 2010
44,128,131,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Glycitein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Glycitein,"",,,,nmol/mg,Creatinine,24,Spearman,0.57,,,< 0.01,Yes,,,,Kim 2010
45,128,132,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Glycitein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Equol,"",,,,nmol/mg,Creatinine,24,Spearman,0.21,,,>= 0.05,No,,,,Kim 2010
46,128,133,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Glycitein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,O-Desmethylangolensin,"",,,,nmol/mg,Creatinine,24,Spearman,0.3,,,>= 0.05,No,,,,Kim 2010
47,128,134,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Glycitein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrodaidzein,"",,,,nmol/mg,Creatinine,24,Spearman,0.17,,,>= 0.05,No,,,,Kim 2010
48,128,135,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Glycitein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrogenistein,"",,,,nmol/mg,Creatinine,24,Spearman,0.14,,,>= 0.05,No,,,,Kim 2010
51,128,136,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Glycitein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + Glycitein + O-Desmethylangolensin + Dihydrodaidzein + Dihydrogenistein,,,,nmol/mg,Creatinine,24,Spearman,0.71,,,< 0.001,Yes,,,,Kim 2010
52,128,140,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Glycitein,"",,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Glycitein,,,,nmol/mg,Creatinine,24,Spearman,0.64,,,< 0.01,Yes,,,,Kim 2010
53,137,129,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Isoflavones,Genistein + Daidzein + Glycitein,,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Daidzein,"",,,,nmol/mg,Creatinine,24,Spearman,0.61,,,< 0.01,Yes,,,,Kim 2010
54,137,130,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Isoflavones,Genistein + Daidzein + Glycitein,,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Genistein,"",,,,nmol/mg,Creatinine,24,Spearman,0.64,,,< 0.01,Yes,,,,Kim 2010
55,137,131,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Isoflavones,Genistein + Daidzein + Glycitein,,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Glycitein,"",,,,nmol/mg,Creatinine,24,Spearman,0.59,,,< 0.01,Yes,,,,Kim 2010
56,137,132,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Isoflavones,Genistein + Daidzein + Glycitein,,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Equol,"",,,,nmol/mg,Creatinine,24,Spearman,0.22,,,>= 0.05,No,,,,Kim 2010
57,137,133,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Isoflavones,Genistein + Daidzein + Glycitein,,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,O-Desmethylangolensin,"",,,,nmol/mg,Creatinine,24,Spearman,0.41,,,< 0.05,Yes,,,,Kim 2010
58,137,134,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Isoflavones,Genistein + Daidzein + Glycitein,,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrodaidzein,"",,,,nmol/mg,Creatinine,24,Spearman,0.35,,,>= 0.05,No,,,,Kim 2010
59,137,135,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Isoflavones,Genistein + Daidzein + Glycitein,,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrogenistein,"",,,,nmol/mg,Creatinine,24,Spearman,0.19,,,>= 0.05,No,,,,Kim 2010
62,137,136,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Isoflavones,Genistein + Daidzein + Glycitein,,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + Glycitein + O-Desmethylangolensin + Dihydrodaidzein + Dihydrogenistein,,,,nmol/mg,Creatinine,24,Spearman,0.72,,,< 0.001,Yes,,,,Kim 2010
63,137,140,All [by intake],Pubertal girls,"Korea, Republic of",,,Dietary record (3-day),Isoflavones,Genistein + Daidzein + Glycitein,,,,,mg/day,,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Glycitein,,,,nmol/mg,Creatinine,24,Spearman,0.68,,,< 0.01,Yes,,,,Kim 2010
64,86,94,All,Female university students,Germany,,,Dietary record (7-day),Quercetin,"",,17.89,,17.25,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Quercetin,"",22.87,,20.26,nmol/L,,48,Spearman,0.3,,,< 0.05,Yes,,,,Radtke 2002
76,86,95,All,Female university students,Germany,,,Dietary record (7-day),Quercetin,"",,17.89,,17.25,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Kaempferol,"",10.65,,8.72,nmol/L,,48,Spearman,0.14,,,>= 0.05,No,,,,Radtke 2002
88,86,145,All,Female university students,Germany,,,Dietary record (7-day),Quercetin,"",,17.89,,17.25,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavonols,Quercetin + Kaempferol,,,,nmol/L,,47,Spearman,0.26,,,>= 0.05,No,,,,Radtke 2002
100,86,96,All,Female university students,Germany,,,Dietary record (7-day),Quercetin,"",,17.89,,17.25,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Naringenin,"",8.15,,0.0,nmol/L,,45,Spearman,-0.05,,,>= 0.05,No,,,,Radtke 2002
112,86,97,All,Female university students,Germany,,,Dietary record (7-day),Quercetin,"",,17.89,,17.25,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Hesperetin,"",22.16,,5.75,nmol/L,,47,Spearman,0.02,,,>= 0.05,No,,,,Radtke 2002
124,86,146,All,Female university students,Germany,,,Dietary record (7-day),Quercetin,"",,17.89,,17.25,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavanones,Naringenin + Hesperetin,,,,nmol/L,,45,Spearman,0.01,,,>= 0.05,No,,,,Radtke 2002
65,87,94,All,Female university students,Germany,,,Dietary record (7-day),Kaempferol,"",,4.72,,3.16,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Quercetin,"",22.87,,20.26,nmol/L,,48,Spearman,0.4,,,< 0.01,Yes,,,,Radtke 2002
77,87,95,All,Female university students,Germany,,,Dietary record (7-day),Kaempferol,"",,4.72,,3.16,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Kaempferol,"",10.65,,8.72,nmol/L,,48,Spearman,0.46,,,< 0.01,Yes,,,,Radtke 2002
89,87,145,All,Female university students,Germany,,,Dietary record (7-day),Kaempferol,"",,4.72,,3.16,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavonols,Quercetin + Kaempferol,,,,nmol/L,,47,Spearman,0.5,,,< 0.01,Yes,,,,Radtke 2002
101,87,96,All,Female university students,Germany,,,Dietary record (7-day),Kaempferol,"",,4.72,,3.16,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Naringenin,"",8.15,,0.0,nmol/L,,45,Spearman,-0.09,,,>= 0.05,No,,,,Radtke 2002
113,87,97,All,Female university students,Germany,,,Dietary record (7-day),Kaempferol,"",,4.72,,3.16,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Hesperetin,"",22.16,,5.75,nmol/L,,47,Spearman,0.04,,,>= 0.05,No,,,,Radtke 2002
125,87,146,All,Female university students,Germany,,,Dietary record (7-day),Kaempferol,"",,4.72,,3.16,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavanones,Naringenin + Hesperetin,,,,nmol/L,,45,Spearman,0.0,,,>= 0.05,No,,,,Radtke 2002
67,88,94,All,Female university students,Germany,,,Dietary record (7-day),Naringenin,"",,12.11,,5.45,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Quercetin,"",22.87,,20.26,nmol/L,,48,Spearman,0.08,,,>= 0.05,No,,,,Radtke 2002
79,88,95,All,Female university students,Germany,,,Dietary record (7-day),Naringenin,"",,12.11,,5.45,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Kaempferol,"",10.65,,8.72,nmol/L,,48,Spearman,-0.1,,,>= 0.05,No,,,,Radtke 2002
91,88,145,All,Female university students,Germany,,,Dietary record (7-day),Naringenin,"",,12.11,,5.45,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavonols,Quercetin + Kaempferol,,,,nmol/L,,47,Spearman,0.02,,,>= 0.05,No,,,,Radtke 2002
103,88,96,All,Female university students,Germany,,,Dietary record (7-day),Naringenin,"",,12.11,,5.45,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Naringenin,"",8.15,,0.0,nmol/L,,45,Spearman,0.35,,,< 0.05,Yes,,,,Radtke 2002
115,88,97,All,Female university students,Germany,,,Dietary record (7-day),Naringenin,"",,12.11,,5.45,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Hesperetin,"",22.16,,5.75,nmol/L,,47,Spearman,0.5,,,< 0.01,Yes,,,,Radtke 2002
127,88,146,All,Female university students,Germany,,,Dietary record (7-day),Naringenin,"",,12.11,,5.45,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavanones,Naringenin + Hesperetin,,,,nmol/L,,45,Spearman,0.45,,,< 0.01,Yes,,,,Radtke 2002
68,89,94,All,Female university students,Germany,,,Dietary record (7-day),Hesperetin,"",,17.37,,13.06,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Quercetin,"",22.87,,20.26,nmol/L,,48,Spearman,-0.16,,,>= 0.05,No,,,,Radtke 2002
80,89,95,All,Female university students,Germany,,,Dietary record (7-day),Hesperetin,"",,17.37,,13.06,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Kaempferol,"",10.65,,8.72,nmol/L,,48,Spearman,-0.08,,,>= 0.05,No,,,,Radtke 2002
92,89,145,All,Female university students,Germany,,,Dietary record (7-day),Hesperetin,"",,17.37,,13.06,mg/day,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavonols,Quercetin + Kaempferol,,,,nmol/L,,47,Spearman,-0.15,,,>= 0.05,No,,,,Radtke 2002
