ID,Title,First author,Authors,Year,Journal,Volume,Issue,Pages,PubMed ID,DOI,Study design,No. of Biomarkers,No. of Intake values,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Cancer associations
21,"Rapid Folin–Ciocalteu method using microtiter 96-well plate cartridges for solid phase extraction to assess urinary total phenolic compounds, as a biomarker of total polyphenols intake",Medina-Remon,"Medina-Remon, A.; Barrionuevo-Gonzalez, A.; Zamora-Ros, R.; Andres-Lacueva, C.; Estruch, R.; Martinez-Gonzalez, M. A.; Diez-Espino, J.; Lamuela-Raventos, R. M.",2009,Anal Chim Acta,634,1,54-60,19154810,10.1016/j.aca.2008.12.012,Observation,1,6,6,0,12,0,0
22,Relation between plasma enterodiol and enterolactone and dietary intake of lignans in a Dutch Endoscopy-Based Population,Milder,"Milder, I. E.; Kuijsten, A.; Arts, I. C.; Feskens, E. J.; Kampman, E.; Hollman, P. C.; Van 't Veer, P.",2007,J Nutr,137,5,1266-1271,17449591,,Observation,2,10,2,0,20,0,0
23,Reliability and validity of an assessment of usual phytoestrogen consumption (United States),Horn-Ross,"Horn-Ross, P. L.; Barnes, S.; Lee, V. S.; Collins, C. N.; Reynolds, P.; Lee, M. M.; Stewart, S. L.; Canchola, A. J.; Wilson, L.; Jones, K.",2006,Cancer Causes Control,17,1,85-93,16411057,10.1007/s10552-005-0391-6,Observation,10,19,0,0,8,0,0
24,Reproducibility and relative validity of a food frequency questionnaire to assess intake of dietary flavonol and flavone in Chinese university campus population,Zhang,"Zhang, Y.; Cao, J.; Chen, W.; Yang, J.; Hao, D.; Zhang, Y.; Chang, P.; Zhao, X.",2010,Nutr Res,30,8,520-526,20851305,10.1016/j.nutres.2010.07.001,Observation,8,18,8,0,14,0,0
27,Resveratrol metabolites in urine as a biomarker of wine intake in free-living subjects: The PREDIMED Study,Zamora-Ros,"Zamora-Ros, R.; Urpi-Sarda, M.; Lamuela-Raventos, R. M.; Estruch, R.; Martinez-Gonzalez, M. A.; Bullo, M.; Aros, F.; Cherubini, A.; Andres-Lacueva, C.",2009,Free Radic Biol Med,46,12,1562-1566,19167481,10.1016/j.freeradbiomed.2008.12.023,Observation,7,0,3,0,2,0,0
28,Soya intake and plasma concentrations of daidzein and genistein: validity of dietary assessment among eighty British women (Oxford arm of the European Prospective Investigation into Cancer and Nutrition),Verkasalo,"Verkasalo, P. K.; Appleby, P. N.; Allen, N. E.; Davey, G.; Adlercreutz, H.; Key, T. J.",2001,Br J Nutr,86,3,415-421,11570994,,Observation,2,48,8,0,24,0,0
29,The relationship between fasting plasma concentrations of selected flavonoids and their ordinary dietary intake,Cao,"Cao, J.; Zhang, Y.; Chen, W.; Zhao, X.",2010,Br J Nutr,103,2,249-255,19747418,10.1017/S000711450999170X,Observation,8,8,8,0,64,0,0
35,Hippuric Acid in 24-hour urine collections is a potential biomarker for fruit and vegetable consumption in healthy children and adolescents,Krupp,"Krupp, D.; Doberstein, N.; Shi, L.; Remer, T.",2012,J Nutr,142,7,1314-1320,22623390,10.3945/jn.112.159319,Observation,3,24,6,0,6,0,0
36,Alkylresorcinol metabolite concentrations in spot urine samples correlated with whole grain and cereal fiber intake but showed low to modest reproducibility over one to three years in U.S. women,Landberg,"Landberg, R.; Townsend, M. K.; Neelakantan, N.; Sun, Q.; Sampson, L.; Spiegelman, D.; van Dam, R. M.",2012,J Nutr,142,5,872-877,22437553,10.3945/jn.111.156398,Observation,3,10,6,3,100,0,0
37,Validity and reproducibility of folate and vitamin B(12) intakes estimated from a self-administered diet history questionnaire in Japanese pregnant women,Shiraishi,"Shiraishi, M.; Haruna, M.; Matsuzaki, M.; Murayama, R.; Sasaki, S.; Murashima, S.",2012,Nutr J,11,,15,22420377,10.1186/1475-2891-11-15,Observation,2,5,2,0,8,0,0
38,Urinary isoflavones and their metabolites validate the dietary isoflavone intakes in US adults,Chun,"Chun, O. K.; Chung, S. J.; Song, W. O.",2009,J Am Diet Assoc,109,2,245-254,19167951,10.1016/j.jada.2008.10.055,Observation,5,8,5,0,36,0,0
39,Validation of a phytoestrogen food frequency questionnaire with urinary concentrations of isoflavones and lignan metabolites in premenopausal women,French,"French, M. R.; Thompson, L. U.; Hawker, G. A.",2007,J Am Coll Nutr,26,1,76-82,17353586,,Observation,9,6,9,0,6,0,0
40,Validation of a soy food-frequency questionnaire and evaluation of correlates of plasma isoflavone concentrations in postmenopausal women,Frankenfeld,"Frankenfeld, C. L.; Patterson, R. E.; Horner, N. K.; Neuhouser, M. L.; Skor, H. E.; Kalhorn, T. F.; Howald, W. N.; Lampe, J. W.",2003,Am J Clin Nutr,77,3,674-680,12600860,,Observation,2,4,2,2,6,0,0
41,Validity and reproducibility of a self-administered food-frequency questionnaire to assess isoflavone intake in a japanese population in comparison with dietary records and blood and urine isoflavones,Yamamoto,"Yamamoto, S.; Sobue, T.; Sasaki, S.; Kobayashi, M.; Arai, Y.; Uehara, M.; Adlercreutz, H.; Watanabe, S.; Takahashi, T.; Iitoi, Y.; Iwase, Y.; Akabane, M.; Tsugane, S.",2001,J Nutr,131,10,2741-2747,11584098,,Observation,2,5,4,0,16,0,0
42,Total polyphenol excretion and blood pressure in subjects at high cardiovascular risk,Medina-Remon,"Medina-Remon, A.; Zamora-Ros, R.; Rotches-Ribalta, M.; Andres-Lacueva, C.; Martinez-Gonzalez, M. A.; Covas, M. I.; Corella, D.; Salas-Salvado, J.; Gomez-Gracia, E.; Ruiz-Gutierrez, V.; Garcia de la Corte, F. J.; Fiol, M.; Pena, M. A.; Saez, G. T.; Ros, E.; Serra-Majem, L.; Pinto, X.; Warnberg, J.; Estruch, R.; Lamuela-Raventos, R. M.",2011,Nutr Metab Cardiovasc Dis,21,5,323-331,20167460,10.1016/j.numecd.2009.10.019,Observation,1,0,0,0,1,0,0
43,Free fruit at workplace intervention increases total fruit intake: a validation study using 24 h dietary recall and urinary flavonoid excretion,Krogholm,"Krogholm, K. S.; Bredsdorff, L.; Alinia, S.; Christensen, T.; Rasmussen, S. E.; Dragsted, L. O.",2010,Eur J Clin Nutr,64,10,1222-1228,20683461,10.1038/ejcn.2010.130,Observation,12,20,20,0,66,0,0
47,Validation of a soy food frequency questionnaire with plasma concentrations of isoflavones in US adults,Frankenfeld,"Frankenfeld, C. L.; Patterson, R. E.; Kalhorn, T. F.; Skor, H. E.; Howald, W. N.; Lampe, J. W.",2002,J Am Diet Assoc,102,10,1407-1413,12396157,,Observation,2,4,2,0,4,0,0
48,Validity and reproducibility of a food frequency questionnaire for assessment of fruit and vegetable intake in Iranian adults,Mohammadifard,"Mohammadifard, N.; Omidvar, N.; Houshiarrad, A.; Neyestani, T.; Naderi, G. A.; Soleymani, B.",2011,J Res Med Sci,16,10,1286-1297,22973322,,Observation,3,4,0,0,84,0,0
49,Plasma alkylresorcinol concentrations correlate with whole grain wheat and rye intake and show moderate reproducibility over a 2 to 3 month period in free-living Swedish adults,Andersson,"Andersson, A.; Marklund, M.; Diana, M.; Landberg, R.",2011,J Nutr,141,9,1712-1718,21775523,10.3945/jn.111.139238,Observation,7,37,14,7,47,0,0
50,Racial differences in correlations between reported dietary intakes of carotenoids and their concentration biomarkers,Arab,"Arab, L.; Cambou, M. C.; Craft, N.; Wesseling-Perry, K.; Jardack, P.; Ang, A.",2011,Am J Clin Nutr,93,5,1102-1108,21389177,10.3945/ajcn.110.010322,Observation,5,42,20,0,20,0,0
51,Twenty-four hour urinary water-soluble vitamin levels correlate with their intakes in free-living Japanese schoolchildren,Tsuji,"Tsuji, T.; Fukuwatari, T.; Sasaki, S.; Shibata, K.",2011,Public Health Nutr,14,2,327-333,20576202,10.1017/S1368980010001904,Observation,15,45,8,0,45,0,0
52,"Validation of a food frequency questionnaire to assess the consumption of carotenoids, fruits and vegetables among adolescents: the method of triads",Slater,"Slater, B.; Enes, C. C.; Lopez, R. V.; Damasceno, N. R.; Voci, S. M.",2010,Cad Saude Publica,26,11,2090-2100,21180982,,Observation,1,8,0,0,8,0,0
53,Effect of cooking loss in the assessment of vitamin intake for epidemiological data in Japan,Kobayashi,"Kobayashi, M.; Adachi, H. Y.; Ishihara, J.; Tsugane, S.",2011,Eur J Clin Nutr,65,4,546-552,21346713,10.1038/ejcn.2011.10,Observation,7,60,11,0,22,0,0
54,Determinants of plasma alkylresorcinol concentration in Danish post-menopausal women,Landberg,"Landberg, R.; Kamal-Eldin, A.; Aman, P.; Christensen, J.; Overvad, K.; Tjonneland, A.; Olsen, A.",2011,Eur J Clin Nutr,65,1,94-101,20859297,10.1038/ejcn.2010.193,Observation,6,6,1,0,54,0,0
55,Validation of an FFQ to estimate the intake of fatty acids using erythrocyte membrane fatty acids and multiple 3d dietary records,Zhang,"Zhang, B.; Wang, P.; Chen, C. G.; He, Q. Q.; Zhuo, S. Y.; Chen, Y. M.; Su, Y. X.",2010,Public Health Nutr,13,10,1546-1552,20018122,10.1017/S1368980009992849,Observation,9,18,8,0,16,0,0
56,Validation of a food frequency questionnaire to assess intake of n-3 polyunsaturated fatty acids in subjects with and without Major Depressive Disorder,Sublette,"Sublette, M. E.; Segal-Isaacson, C. J.; Cooper, T. B.; Fekri, S.; Vanegas, N.; Galfalvy, H. C.; Oquendo, M. A.; Mann, J. J.",2011,J Am Diet Assoc,111,1,117-123.e1,21185973,10.1016/j.jada.2010.10.007,Observation,3,9,9,0,3,0,0
57,Twenty-four-hour urinary water-soluble vitamin levels correlate with their intakes in free-living Japanese university students,Tsuji,"Tsuji, T.; Fukuwatari, T.; Sasaki, S.; Shibata, K.",2010,Eur J Clin Nutr,64,8,800-807,20502474,10.1038/ejcn.2010.72,Observation,15,45,8,0,45,0,0
58,Alcohol consumption is associated with high concentrations of urinary hydroxytyrosol,Schroder,"Schroder, H.; de la Torre, R.; Estruch, R.; Corella, D.; Martinez-Gonzalez, M. A.; Salas-Salvado, J.; Ros, E.; Aros, F.; Flores, G.; Civit, E.; Farre, M.; Fiol, M.; Vila, J.; Fernandez-Crehuet, J.; Ruiz-Gutierrez, V.; Lapetra, J.; Saez, G.; Covas, M. I.",2009,Am J Clin Nutr,90,5,1329-1335,19759165,10.3945/ajcn.2009.27718,Observation,2,6,4,0,6,0,0
59,Validity of food frequency questionnaire estimated intakes of folate and other B vitamins in a region without folic acid fortification,Johansson,"Johansson, I.; Van Guelpen, B.; Hultdin, J.; Johansson, M.; Hallmans, G.; Stattin, P.",2010,Eur J Clin Nutr,64,8,905-913,20502473,10.1038/ejcn.2010.80,Observation,4,90,52,0,16,0,0
60,Biomarkers of low-level mercury exposure through fish consumption in pregnant and lactating Slovenian women,Miklavcic,"Miklavcic, A.; Cuderman, P.; Mazej, D.; Snoj Tratnik, J.; Krsnik, M.; Planinsek, P.; Osredkar, J.; Horvat, M.",2011,Environ Res,111,8,1201-1207,21835399,10.1016/j.envres.2011.07.006,Observation,2,6,3,0,8,0,0
61,"Dioxins, polychlorinated biphenyls, methyl mercury and omega-3 polyunsaturated fatty acids as biomarkers of fish consumption",Turunen,"Turunen, A. W.; Mannisto, S.; Kiviranta, H.; Marniemi, J.; Jula, A.; Tiittanen, P.; Suominen-Taipale, L.; Vartiainen, T.; Verkasalo, P. K.",2010,Eur J Clin Nutr,64,3,313-323,20104234,10.1038/ejcn.2009.147,Observation,14,20,34,0,140,0,0
62,Is marine mammal fat or fish intake most strongly associated with omega-3 blood levels among the Nunavik Inuit?,Lucas,"Lucas, M.; Proust, F.; Blanchet, C.; Ferland, A.; Dery, S.; Abdous, B.; Dewailly, E.",2010,Prostaglandins Leukot Essent Fatty Acids,83,3,143-150,20634051,10.1016/j.plefa.2010.06.006,Observation,14,11,14,0,55,0,0
63,Reliability and validity of food frequency questionnaire and nutrient biomarkers in elders with and without mild cognitive impairment,Bowman,"Bowman, G. L.; Shannon, J.; Ho, E.; Traber, M. G.; Frei, B.; Oken, B. S.; Kaye, J. A.; Quinn, J. F.",2011,Alzheimer Dis Assoc Disord,25,1,49-57,20856100,10.1097/WAD.0b013e3181f333d6,Observation,21,2,0,63,189,0,0
65,"Urinary excretion of vitamin B1, B2, B6, niacin, pantothenic acid, folate, and vitamin C correlates with dietary intakes of free-living elderly, female Japanese",Tsuji,"Tsuji, T.; Fukuwatari, T.; Sasaki, S.; Shibata, K.",2010,Nutr Res,30,3,171-178,20417877,10.1016/j.nutres.2010.02.001,Observation,15,45,8,0,45,0,0
66,"Biochemical validation of food frequency questionnaire-estimated carotenoid, a-Tocopherol, and folate intakes among African Americans and non-Hispanic Whites in the Southern Community Cohort Study",Signorello,"Signorello, L. B.; Buchowski, M. S.; Cai, Q.; Munro, H. M.; Hargreaves, M. K.; Blot, W. J.",2010,Am J Epidemiol,171,4,488-497,20061366,10.1093/aje/kwp402,Observation,7,28,28,0,42,0,0
67,Linoleic acid is associated with lower long-chain n–6 and n–3 fatty acids in red blood cell lipids of Canadian pregnant women,Friesen,"Friesen, R. W.; Innis, S. M.",2010,Am J Clin Nutr,91,1,23-31,19923368,10.3945/ajcn.2009.28206,Observation,18,9,34,0,70,0,0
68,Evaluation of an FFQ for assessment of antioxidant intake using plasma biomarkers in an ethnically diverse population,Hodge,"Hodge, A. M.; Simpson, J. A.; Fridman, M.; Rowley, K.; English, D. R.; Giles, G. G.; Su, Q.; O'Dea, K.",2009,Public Health Nutr,12,12,2438-2447,19371448,10.1017/S1368980009005539,Observation,9,30,34,0,18,0,0
69,Estimating food intakes in Australia: validation of the Commonwealth Scientific and Industrial Research Organisation (CSIRO) food frequency questionnaire against weighed dietary intakes,Lassale,"Lassale, C.; Guilbert, C.; Keogh, J.; Syrette, J.; Lange, K.; Cox, D. N.",2009,J Hum Nutr Diet,22,6,559-566,19735348,10.1111/j.1365-277X.2009.00990.x,Observation,3,6,3,0,6,0,0
70,Validation of an antioxidant nutrient questionnaire in Whites and African Americans,Satia,"Satia, J. A.; Watters, J. L.; Galanko, J. A.",2009,J Am Diet Assoc,109,3,"502-8, 508.e1",19248870,10.1016/j.jada.2008.11.033,Observation,8,28,14,0,32,0,0
71,"Carotenoid, tocopherol, and fatty acid biomarkers and dietary intake estimated by using a brief self-administered diet history questionnaire for older Japanese children and adolescents",Okuda,"Okuda, M.; Sasaki, S.; Bando, N.; Hashimoto, M.; Kunitsugu, I.; Sugiyama, S.; Terao, J.; Hobara, T.",2009,J Nutr Sci Vitaminol (Tokyo),55,3,231-241,19602831,,Observation,13,64,44,0,200,0,0
72,Validation of overweight children's fruit and vegetable intake using plasma carotenoids,Burrows,"Burrows, T. L.; Warren, J. M.; Colyvas, K.; Garg, M. L.; Collins, C. E.",2009,Obesity (Silver Spring),17,1,162-168,18997681,10.1038/oby.2008.495,Observation,5,28,20,0,22,0,0
73,"Carotenoid intakes, assessed by food-frequency questionnaires (FFQs), are associated with serum carotenoid concentrations in the Jackson Heart Study: validation of the Jackson Heart Study Delta NIRI Adult FFQs",Talegawkar,"Talegawkar, S. A.; Johnson, E. J.; Carithers, T. C.; Taylor, H. A.; Bogle, M. L.; Tucker, K. L.",2008,Public Health Nutr,11,10,989-997,18053294,10.1017/S1368980007001310,Observation,5,36,10,0,36,0,0
74,"Relative validity of fruit and vegetable intake estimated from an FFQ, using carotenoid and flavonoid biomarkers and the method of triads",Carlsen,"Carlsen, M. H.; Karlsen, A.; Lillegaard, I. T.; Gran, J. M.; Drevon, C. A.; Blomhoff, R.; Andersen, L. F.",2011,Br J Nutr,105,10,1530-1538,21272408,10.1017/S0007114510005246,Observation,17,9,23,0,102,0,0
75,Evaluation of relative intake of fatty acids according to the Northern Sweden FFQ with fatty acid levels in erythrocyte membranes as biomarkers,Wennberg,"Wennberg, M.; Vessby, B.; Johansson, I.",2009,Public Health Nutr,12,9,1477-1484,19144238,10.1017/S1368980008004503,Observation,9,36,16,0,32,0,0
76,Correlations of urinary phytoestrogen excretion with lifestyle factors and dietary intakes among middle-aged and elderly Chinese women,Wu,"Wu, X.; Cai, H.; Gao, Y. T.; Dai, Q.; Li, H.; Cai, Q.; Yang, G.; Franke, A. A.; Zheng, W.; Shu, X. O.",2012,Int J Mol Epidemiol Genet,3,1,18-29,22493748,,Observation,10,6,10,0,60,0,0
77,Site-specific concentrations of carotenoids in adipose tissue: relations with dietary and serum carotenoid concentrations in healthy adults,Chung,"Chung, H. Y.; Ferreira, A. L.; Epstein, S.; Paiva, S. A.; Castaneda-Sceppa, C.; Johnson, E. J.",2009,Am J Clin Nutr,90,3,533-539,19587090,10.3945/ajcn.2009.27712,Observation,15,6,71,0,72,0,0
78,Validation of a food choice map with a 3-day food record and serum values to assess folate and vitamin B-12 intake in college-aged women,Shuaibi,"Shuaibi, A. M.; Sevenhuysen, G. P.; House, J. D.",2008,J Am Diet Assoc,108,12,2041-2050,19027407,10.1016/j.jada.2008.09.002,Observation,2,26,4,0,8,0,0
79,Frequency and type of seafood consumed influence plasma (n-3) fatty acid concentrations,Chung,"Chung, H.; Nettleton, J. A.; Lemaitre, R. N.; Barr, R. G.; Tsai, M. Y.; Tracy, R. P.; Siscovick, D. S.",2008,J Nutr,138,12,2422-2427,19022967,10.3945/jn.108.089631,Observation,4,20,0,0,25,0,0
80,Validity of estimated dietary eicosapentaenoic acid and docosahexaenoic acid intakes determined by interviewer-administered food frequency questionnaire among older adults with mild-to-moderate cognitive impairment or dementia,Arsenault,"Arsenault, L. N.; Matthan, N.; Scott, T. M.; Dallal, G.; Lichtenstein, A. H.; Folstein, M. F.; Rosenberg, I.; Tucker, K. L.",2009,Am J Epidemiol,170,1,95-103,19433614,10.1093/aje/kwp089,Observation,5,30,18,0,60,0,0
81,Validation of a food frequency questionnaire measurement of dietary acrylamide intake using hemoglobin adducts of acrylamide and glycidamide,Wilson,"Wilson, K. M.; Vesper, H. W.; Tocco, P.; Sampson, L.; Rosen, J.; Hellenas, K. E.; Tornqvist, M.; Willett, W. C.",2009,Cancer Causes Control,20,3,269-278,18855107,10.1007/s10552-008-9241-7,Observation,3,9,15,0,15,0,0
82,Validation of soy protein estimates from a food-frequency questionnaire with repeated 24-h recalls and isoflavonoid excretion in overnight urine in a Western population with a wide range of soy intakes,Jaceldo-Siegl,"Jaceldo-Siegl, K.; Fraser, G. E.; Chan, J.; Franke, A.; Sabate, J.",2008,Am J Clin Nutr,87,5,1422-1427,18469267,,Observation,4,4,6,0,16,0,0
83,Twenty-four-hour urinary thiamine as a biomarker for the assessment of thiamine intake,Tasevska,"Tasevska, N.; Runswick, S. A.; McTaggart, A.; Bingham, S. A.",2008,Eur J Clin Nutr,62,9,1139-1147,17565356,10.1038/sj.ejcn.1602829,Observation,1,12,1,1,12,0,0
84,Comparison between plasma and erythrocyte fatty acid content as biomarkers of fatty acid intake in US women,Sun,"Sun, Q.; Ma, J.; Campos, H.; Hankinson, S. E.; Hu, F. B.",2007,Am J Clin Nutr,86,1,74-81,17616765,,Observation,25,26,48,0,92,0,0
85,Plasma concentrations of carotenoids and vitamin C are better correlated with dietary intake in normal weight than overweight and obese elderly subjects,Vioque,"Vioque, J.; Weinbrenner, T.; Asensio, L.; Castello, A.; Young, I. S.; Fletcher, A.",2007,Br J Nutr,97,5,977-986,17408529,10.1017/S0007114507659017,Observation,7,38,32,0,72,0,0
86,Plasma n-6 and n-3 polyunsaturated fatty acids as biomarkers of their dietary intakes: a cross-sectional study within a cohort of middle-aged French men and women,Astorg,"Astorg, P.; Bertrais, S.; Laporte, F.; Arnault, N.; Estaquio, C.; Galan, P.; Favier, A.; Hercberg, S.",2008,Eur J Clin Nutr,62,10,1155-1161,17622261,10.1038/sj.ejcn.1602836,Observation,12,40,22,0,206,0,0
87,Phytanic acid: measurement of plasma concentrations by gas-liquid chromatography-mass spectrometry analysis and associations with diet and other plasma fatty acids,Allen,"Allen, N. E.; Grace, P. B.; Ginn, A.; Travis, R. C.; Roddam, A. W.; Appleby, P. N.; Key, T.",2008,Br J Nutr,99,3,653-659,17868488,10.1017/S000711450782407X,Observation,3,32,9,0,39,0,0
88,Validation of the assessment of folate and vitamin B12 intake in women of reproductive age: the method of triads,Verkleij-Hagoort,"Verkleij-Hagoort, A. C.; de Vries, J. H.; Stegers, M. P.; Lindemans, J.; Ursem, N. T.; Steegers-Theunissen, R. P.",2007,Eur J Clin Nutr,61,5,610-615,17164826,10.1038/sj.ejcn.1602581,Observation,2,8,3,0,6,0,0
89,Comparison of two dietary folate intake instruments and their validation by RBC folate,Owens,"Owens, J. E.; Holstege, D. M.; Clifford, A. J.",2007,J Agric Food Chem,55,9,3737-3740,17397182,10.1021/jf063649h,Observation,1,9,1,0,3,0,0
90,Validation of a FFQ to estimate the intake of PUFA using plasma phospholipid fatty acids and weighed foods records,McNaughton,"McNaughton, S. A.; Hughes, M. C.; Marks, G. C.",2007,Br J Nutr,97,3,561-568,17313719,10.1017/S0007114507381385,Observation,15,32,15,0,30,0,0
91,Validation of a food frequency questionnaire to assess folate intake of Dutch elderly people,van de Rest,"van de Rest, O.; Durga, J.; Verhoef, P.; Melse-Boonstra, A.; Brants, H. A.",2007,Br J Nutr,98,5,1014-1020,17521468,10.1017/S0007114507747827,Observation,3,4,16,0,36,0,0
92,Vitamin B6 status assessment in relation to dietary intake in high school students aged 16–18 years,Chang,"Chang, S. J.; Hsiao, L. J.; Lee, Y. C.; Hsuen, S. Y.",2007,Br J Nutr,97,4,764-769,17349090,10.1017/S0007114507665167,Observation,2,4,4,0,2,0,0
93,Validation of a FFQ for estimating whole-grain cereal food intake,Ross,"Ross, A. B.; Pineau, N.; Kochhar, S.; Bourgeois, A.; Beaumont, M.; Decarli, B.",2009,Br J Nutr,102,11,1547-1551,19622189,10.1017/S0007114509990845,Observation,6,4,1,0,12,0,0
94,A valid semiquantitative food frequency questionnaire to measure fish consumption,Mina,"Mina, K.; Fritschi, L.; Knuiman, M.",2007,Eur J Clin Nutr,61,8,1023-1031,17299496,10.1038/sj.ejcn.1602617,Observation,3,10,2,0,22,0,0
95,Plasma phospholipid fatty acid composition as a biomarker of habitual dietary fat intake in an ethnically diverse cohort,Hodge,"Hodge, A. M.; Simpson, J. A.; Gibson, R. A.; Sinclair, A. J.; Makrides, M.; O'Dea, K.; English, D. R.; Giles, G. G.",2007,Nutr Metab Cardiovasc Dis,17,6,415-426,16962297,10.1016/j.numecd.2006.04.005,Observation,15,58,28,0,27,0,0
96,Plasma alkylresorcinols and urinary alkylresorcinol metabolites as biomarkers of cereal fiber intake in Finnish women,Aubertin-Leheudre,"Aubertin-Leheudre, M.; Koskela, A.; Marjamaa, A.; Adlercreutz, H.",2008,Cancer Epidemiol Biomarkers Prev,17,9,2244-2248,18768490,10.1158/1055-9965.EPI-08-0215,Observation,9,15,27,0,11,0,0
97,Relationships between different types of fruit and vegetable consumption and serum concentrations of antioxidant vitamins,Dauchet,"Dauchet, L.; Peneau, S.; Bertrais, S.; Vergnaud, A. C.; Estaquio, C.; Kesse-Guyot, E.; Czernichow, S.; Favier, A.; Faure, H.; Galan, P.; Hercberg, S.",2008,Br J Nutr,100,3,633-641,18279554,10.1017/S000711450892170X,Observation,5,38,8,0,45,0,0
98,Relative validity of a food frequency questionnaire used in the Inter99 study,Toft,"Toft, U.; Kristoffersen, L.; Ladelund, S.; Bysted, A.; Jakobsen, J.; Lau, C.; Jorgensen, T.; Borch-Johnsen, K.; Ovesen, L.",2008,Eur J Clin Nutr,62,8,1038-1046,17538538,10.1038/sj.ejcn.1602815,Observation,9,18,0,0,108,0,0
99,Red blood cell d15N: a novel biomarker of dietary eicosapentaenoic acid and docosahexaenoic acid intake,O'Brien,"O'Brien, D. M.; Kristal, A. R.; Jeannet, M. A.; Wilkinson, M. J.; Bersamin, A.; Luick, B.",2009,Am J Clin Nutr,89,3,913-919,19176727,10.3945/ajcn.2008.27054,Observation,4,0,9,0,4,0,0
100,Cruciferous vegetable intake questionnaire improves cruciferous vegetable intake estimates,Thomson,"Thomson, C. A.; Newton, T. R.; Graver, E. J.; Jackson, K. A.; Reid, P. M.; Hartz, V. L.; Cussler, E. C.; Hakim, I. A.",2007,J Am Diet Assoc,107,4,631-643,17383269,10.1016/j.jada.2007.01.016,Observation,1,11,1,0,4,0,0
