ID,Parent ID,Depth,Subject group,Population,Country,Cohort,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Measurement size,Detected (nb),Detected (%),Detected only?,Arithmetic mean,Arithmetic SD,Geometric mean,Geometric SD,Min,Min (detected),Percentile_05,Percentile_10,Percentile_25,Median,Percentile_75,Percentile_90,Percentile_95,Max,Interquartile range,Mean 95% CI lower,Mean 95% CI upper,GMean 95% CI lower,GMean 95% CI upper,Unit,Converted arithmetic mean,Converted geometric mean,Converted median,Converted unit,Adjustment type,Adjusted on,Regressed on,Expressed as,Publication
44,,0,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,"",76,,,,,,3.4,,0.2,,,,,,,,,50.8,,,,2.7,4.2,nmol/mg,,3.40,,umol/g,Density,Creatinine,,,Atkinson 2002
45,,0,Soy consumers,Cases and controls in a case-control study on uterine fibroids,United States,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,"",105,,,,,,1.4,,0.2,,,,,,,,,50.8,,,,1.1,1.7,nmol/mg,,1.40,,umol/g,Density,Creatinine,,,Atkinson 2002
912,,0,Soy consumers (Soy intake: ≥ once a week),Cases and controls in a case-control study on uterine fibroids,United States,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,"",39,,,,,,2.3,,0.2,,,,,,,,,50.8,,,,1.6,3.3,nmol/mg,,2.30,,umol/g,Density,Creatinine,,,Atkinson 2002
913,,0,Soy consumers (Soy intake: ≥ once or twice a month),Cases and controls in a case-control study on uterine fibroids,United States,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Isoflavones,"",66,,,,,,1.0,,0.2,,,,,,,,,43.5,,,,0.8,1.3,nmol/mg,,1.00,,umol/g,Density,Creatinine,,,Atkinson 2002
46,49,2,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Equol,"",198,,,,,,,,0.0,,,,0.0,0.0,0.67,,,59.32,,,,,,nmol/L,,,0.00,nmol/L,Crude,,,,Heald 2006
47,49,2,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Daidzein,"",198,,,,,,,,0.0,,,,8.26,18.0,29.45,,,222.53,,,,,,nmol/L,,,18.00,nmol/L,Crude,,,,Heald 2006
48,50,1,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Genistein,"",196,,,,,,,,0.0,,,,14.12,33.79,64.93,,,316.02,,,,,,nmol/L,,,33.79,nmol/L,Crude,,,,Heald 2006
49,50,1,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Isoflavones,Daidzein + Equol,198,,,,,,,,0.0,,,,8.43,18.66,33.82,,,224.21,,,,,,nmol/L,,,18.66,nmol/L,Crude,,,,Heald 2006
50,,0,All,Controls in a case-control study on prostate cancer inherited susceptibility and diet,United Kingdom,PCANDIET (Prostate Cancer and Diet),,"Serum, non-fasting",GC-ID-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol,196,,,,,,,,1.62,,,,25.51,51.49,99.78,,,435.01,,,,,,nmol/L,,,51.49,nmol/L,Crude,,,,Heald 2006
78,85,1,Quartile 4 (Isoflavone intake: 9.29 to 51.59 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Daidzein,"",12,,,,16.3,,,,,,,,,,,,,,,,,,,nmol/mg,16.30,,,umol/g,Density,Creatinine,,,Kim 2010
79,85,1,Quartile 4 (Isoflavone intake: 9.29 to 51.59 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Genistein,"",12,,,,5.7,,,,,,,,,,,,,,,,,,,nmol/mg,5.70,,,umol/g,Density,Creatinine,,,Kim 2010
80,85,1,Quartile 4 (Isoflavone intake: 9.29 to 51.59 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Glycitein,"",12,,,,1.3,,,,,,,,,,,,,,,,,,,nmol/mg,1.30,,,umol/g,Density,Creatinine,,,Kim 2010
81,85,1,Quartile 4 (Isoflavone intake: 9.29 to 51.59 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Equol,"",12,,,,2.5,,,,,,,,,,,,,,,,,,,nmol/mg,2.50,,,umol/g,Density,Creatinine,,,Kim 2010
82,85,1,Quartile 4 (Isoflavone intake: 9.29 to 51.59 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,O-Desmethylangolensin,"",12,,,,1.9,,,,,,,,,,,,,,,,,,,nmol/mg,1.90,,,umol/g,Density,Creatinine,,,Kim 2010
83,85,1,Quartile 4 (Isoflavone intake: 9.29 to 51.59 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrodaidzein,"",12,,,,1.7,,,,,,,,,,,,,,,,,,,nmol/mg,1.70,,,umol/g,Density,Creatinine,,,Kim 2010
84,85,1,Quartile 4 (Isoflavone intake: 9.29 to 51.59 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrogenistein,"",12,,,,1.1,,,,,,,,,,,,,,,,,,,nmol/mg,1.10,,,umol/g,Density,Creatinine,,,Kim 2010
85,,0,Quartile 4 (Isoflavone intake: 9.29 to 51.59 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + Glycitein + O-Desmethylangolensin + Dihydrodaidzein + Dihydrogenistein,12,,,,30.6,,,,,,,,,,,,,,,,,,,nmol/mg,30.60,,,umol/g,Density,Creatinine,,,Kim 2010
69,77,1,Quartile 1 (Isoflavone intake: 0.06 to 3.67 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Daidzein,"",12,,,,5.1,,,,,,,,,,,,,,,,,,,nmol/mg,5.10,,,umol/g,Density,Creatinine,,,Kim 2010
70,77,1,Quartile 1 (Isoflavone intake: 0.06 to 3.67 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Genistein,"",12,,,,1.9,,,,,,,,,,,,,,,,,,,nmol/mg,1.90,,,umol/g,Density,Creatinine,,,Kim 2010
71,77,1,Quartile 1 (Isoflavone intake: 0.06 to 3.67 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Glycitein,"",12,,,,0.5,,,,,,,,,,,,,,,,,,,nmol/mg,0.50,,,umol/g,Density,Creatinine,,,Kim 2010
72,77,1,Quartile 1 (Isoflavone intake: 0.06 to 3.67 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Equol,"",12,,,,0.8,,,,,,,,,,,,,,,,,,,nmol/mg,0.80,,,umol/g,Density,Creatinine,,,Kim 2010
73,77,1,Quartile 1 (Isoflavone intake: 0.06 to 3.67 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,O-Desmethylangolensin,"",12,,,,1.0,,,,,,,,,,,,,,,,,,,nmol/mg,1.00,,,umol/g,Density,Creatinine,,,Kim 2010
74,77,1,Quartile 1 (Isoflavone intake: 0.06 to 3.67 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrodaidzein,"",12,,,,0.7,,,,,,,,,,,,,,,,,,,nmol/mg,0.70,,,umol/g,Density,Creatinine,,,Kim 2010
75,77,1,Quartile 1 (Isoflavone intake: 0.06 to 3.67 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Dihydrogenistein,"",12,,,,0.8,,,,,,,,,,,,,,,,,,,nmol/mg,0.80,,,umol/g,Density,Creatinine,,,Kim 2010
77,,0,Quartile 1 (Isoflavone intake: 0.06 to 3.67 mg/day),Pubertal girls,"Korea, Republic of",,,"Urine, overnight",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein + Equol + Glycitein + O-Desmethylangolensin + Dihydrodaidzein + Dihydrogenistein,12,,,,11.0,,,,,,,,,,,,,,,,,,,nmol/mg,11.00,,,umol/g,Density,Creatinine,,,Kim 2010
94,145,1,All,Female university students,Germany,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Quercetin,"",48,,,,22.87,16.61,,,0.0,,,3.84,,20.26,,49.91,,81.1,,,,,,nmol/L,22.87,,20.26,nmol/L,Crude,,,,Radtke 2002
95,145,1,All,Female university students,Germany,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Kaempferol,"",48,,,,10.65,7.89,,,0.0,,,0.0,,8.72,,20.29,,40.65,,,,,,nmol/L,10.65,,8.72,nmol/L,Crude,,,,Radtke 2002
96,146,1,All,Female university students,Germany,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Naringenin,"",45,,,,8.15,15.43,,,0.0,,,0.0,,0.0,,26.92,,77.17,,,,,,nmol/L,8.15,,0.00,nmol/L,Crude,,,,Radtke 2002
97,146,1,All,Female university students,Germany,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Hesperetin,"",47,,,,22.16,44.85,,,0.0,,,0.0,,5.75,,59.37,,203.26,,,,,,nmol/L,22.16,,5.75,nmol/L,Crude,,,,Radtke 2002
108,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, 24-h",GC-MS after enzymatic hydrolysis,Daidzein,"",27,,,,313.4,618.9,,,,,,,52.2,110.3,428.4,,,,,,,,,ng/mg,313.40,,110.30,ug/g,Density,Creatinine,,,Tseng 2008
109,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, 24-h",GC-MS after enzymatic hydrolysis,Genistein,"",27,,,,136.4,161.2,,,,,,,25.6,67.4,201.4,,,,,,,,,ng/mg,136.40,,67.40,ug/g,Density,Creatinine,,,Tseng 2008
110,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, 24-h",GC-MS after enzymatic hydrolysis,Glycitein,"",27,,,,42.6,84.2,,,,,,,3.6,16.2,39.9,,,,,,,,,ng/mg,42.60,,16.20,ug/g,Density,Creatinine,,,Tseng 2008
111,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, 24-h",GC-MS after enzymatic hydrolysis,O-Desmethylangolensin,"",27,,,,88.9,208.5,,,,,,,6.5,18.9,44.5,,,,,,,,,ng/mg,88.90,,18.90,ug/g,Density,Creatinine,,,Tseng 2008
112,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, 24-h",GC-MS after enzymatic hydrolysis,Equol,"",27,,,,122.9,425.2,,,,,,,2.3,12.8,29.1,,,,,,,,,ng/mg,122.90,,12.80,ug/g,Density,Creatinine,,,Tseng 2008
113,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Daidzein,"",27,,,,419.7,885.6,,,,,,,87.8,135.0,397.4,,,,,,,,,ng/mg,419.70,,135.00,ug/g,Density,Creatinine,,,Tseng 2008
114,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Genistein,"",27,,,,250.5,476.3,,,,,,,33.5,77.2,264.5,,,,,,,,,ng/mg,250.50,,77.20,ug/g,Density,Creatinine,,,Tseng 2008
115,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Glycitein,"",27,,,,58.1,139.3,,,,,,,3.3,11.1,44.6,,,,,,,,,ng/mg,58.10,,11.10,ug/g,Density,Creatinine,,,Tseng 2008
116,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,O-Desmethylangolensin,"",27,,,,93.4,232.0,,,,,,,8.7,15.5,70.6,,,,,,,,,ng/mg,93.40,,15.50,ug/g,Density,Creatinine,,,Tseng 2008
117,,0,All,Women at high risk for breast or ovarian cancer participant in a cancer risk assessment program,United States,,,"Urine, overnight",GC-MS after enzymatic hydrolysis,Equol,"",27,,,,84.3,274.1,,,,,,,7.2,10.0,20.9,,,,,,,,,ng/mg,84.30,,10.00,ug/g,Density,Creatinine,,,Tseng 2008
152,,0,All,Controls in a case-control study on colorectal adenomas,United States,,,"Urine, overnight",HPLC,1-Hydroxypyrene glucuronide,"",36,,,,,,,,0.0,,,,,0.17,,,,1.77,0.24,,,,,ng/g,,,0.00,ug/g,Density,Creatinine,,,Deziel 2011
153,,0,All,Controls in a case-control study on colorectal adenomas,United States,,,"Urine, overnight",HPLC,1-Hydroxypyrene glucuronide,"",36,,,,,,,,0.0,,,,,0.1,,,,1.71,0.14,,,,,ng/mL,,,0.00,mg/L,Crude,,,,Deziel 2011
646,648,1,All,Women living in the Helsinki area,Finland,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,"3,5-Dihydroxybenzoic acid","",56,,,,94.0,82.0,,,,,,,,,,,,,,,,,,nmol/L,94.00,,,nmol/L,Crude,,,,Aubertin-Leheudre 2010
647,648,1,All,Women living in the Helsinki area,Finland,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,"3,5-DHPPA","",56,,,,90.0,59.0,,,,,,,,,,,,,,,,,,nmol/L,90.00,,,nmol/L,Crude,,,,Aubertin-Leheudre 2010
648,,0,All,Women living in the Helsinki area,Finland,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Alkylresorcinol metabolites,"3,5-Dihydroxybenzoic acid + 3,5-DHPPA",56,,,,185.0,135.0,,,,,,,,,,,,,,,,,,nmol/L,185.00,,,nmol/L,Crude,,,,Aubertin-Leheudre 2010
158,,0,All,Participants in previous studies on phyto-oestrogen intake,United Kingdom,,,"Urine, 24-h",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein,14,,,,2.48,,,,,,,,,,,,,,,,,,,mg/day,2.48,,,mg/day,Crude,,,,Ritchie 2004
159,158,1,All,Participants in previous studies on phyto-oestrogen intake,United Kingdom,,,"Urine, 24-h",LC-MS after enzymatic hydrolysis,Daidzein,"",14,,,,1.75,,,,,,,,,,,,,,,,,,,mg/day,1.75,,,mg/day,Crude,,,,Ritchie 2004
160,158,1,All,Participants in previous studies on phyto-oestrogen intake,United Kingdom,,,"Urine, 24-h",LC-MS after enzymatic hydrolysis,Genistein,"",14,,,,0.73,,,,,,,,,,,,,,,,,,,mg/day,0.73,,,mg/day,Crude,,,,Ritchie 2004
164,,0,All,Participants in previous studies on phyto-oestrogen intake,United Kingdom,,,"Plasma, non-fasting",LC-MS after enzymatic hydrolysis,Isoflavones,Genistein + Daidzein,11,,,,121.86,,,,,,,,,,,,,,,,,,,ng/mL,0.12,,,mg/L,Crude,,,,Ritchie 2004
165,164,1,All,Participants in previous studies on phyto-oestrogen intake,United Kingdom,,,"Plasma, non-fasting",LC-MS after enzymatic hydrolysis,Daidzein,"",11,,,,55.39,,,,,,,,,,,,,,,,,,,ng/mL,0.06,,,mg/L,Crude,,,,Ritchie 2004
166,164,1,All,Participants in previous studies on phyto-oestrogen intake,United Kingdom,,,"Plasma, non-fasting",LC-MS after enzymatic hydrolysis,Genistein,"",11,,,,66.47,,,,,,,,,,,,,,,,,,,ng/mL,0.07,,,mg/L,Crude,,,,Ritchie 2004
167,,0,High polyphenol diet,Participants in a clinical trial,Spain,,,"Urine, first morning spot",Folin-Ciocalteu,Polyphenols,"",4,,,,107.07,17.01,,,,,,,,,,,,,,,,,,mg/g,107070.00,,,ug/g,Density,Creatinine,,Gallic acid,Medina-Remon 2009
169,,0,Low polyphenol diet,Participants in a clinical trial,Spain,,,"Urine, first morning spot",Folin-Ciocalteu,Polyphenols,"",4,,,,82.73,13.43,,,,,,,,,,,,,,,,,,mg/g,82730.00,,,ug/g,Density,Creatinine,,Gallic acid,Medina-Remon 2009
171,,0,Usual polyphenol diet,Participants in a clinical trial,Spain,,,"Urine, first morning spot",Folin-Ciocalteu,Polyphenols,"",4,,,,95.44,10.5,,,,,,,,,,,,,,,,,,mg/g,95440.00,,,ug/g,Density,Creatinine,,Gallic acid,Medina-Remon 2009
184,,0,Tertile 1 (Fruit and vegetable intake: ≤508.03 g/day),Participants in a cross-sectional study,Spain,PREDIMED (Prevención con Dieta Mediterránea),,"Urine, first morning spot",Folin-Ciocalteu,Polyphenols,"",20,,,,111.86,34.74,,,,,,,,,,,,,,,,,,mg/g,111860.00,,,ug/g,Density,Creatinine,,Gallic acid,Medina-Remon 2009
180,,0,Tertile 2 (Fruit and vegetable intake: 508.04 to 640.23 g/day),Participants in a cross-sectional study,Spain,PREDIMED (Prevención con Dieta Mediterránea),,"Urine, first morning spot",Folin-Ciocalteu,Polyphenols,"",20,,,,141.87,48.81,,,,,,,,,,,,,,,,,,mg/g,141870.00,,,ug/g,Density,Creatinine,,Gallic acid,Medina-Remon 2009
182,,0,Tertile 3 (Fruit and vegetable intake: ≥640.24 g/day),Participants in a cross-sectional study,Spain,PREDIMED (Prevención con Dieta Mediterránea),,"Urine, first morning spot",Folin-Ciocalteu,Polyphenols,"",20,,,,160.73,82.42,,,,,,,,,,,,,,,,,,mg/g,160730.00,,,ug/g,Density,Creatinine,,Gallic acid,Medina-Remon 2009
188,,0,All,Cases and controls undergoing endoscopy in a case-control study on colorectal adenomas,Netherlands,POLIEP,,"Plasma, non-fasting",LC-MS/MS after enzymatic hydrolysis,Enterodiol,"",637,,,,,,1.4,,,,,,,,,,,,,,,1.3,1.6,nmol/L,,1.40,,nmol/L,Crude,,,,Milder 2007
189,,0,All,Cases and controls undergoing endoscopy in a case-control study on colorectal adenomas,Netherlands,POLIEP,,"Plasma, non-fasting",LC-MS/MS after enzymatic hydrolysis,Enterolactone,"",637,,,,,,11.3,,,,,,,,,,,,,,,10.2,12.5,nmol/L,,11.30,,nmol/L,Crude,,,,Milder 2007
255,262,1,All,University campus population,China,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavonols,Quercetin + Kaempferol + Isorhamnetin,92,,,,201.93,145.37,,,,,,,,,,,,,,,,,,nmol/L,201.93,,,nmol/L,Crude,,,,Zhang 2010
256,255,2,All,University campus population,China,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Quercetin,"",92,,,,72.32,80.98,,,,,,,,,,,,,,,,,,nmol/L,72.32,,,nmol/L,Crude,,,,Zhang 2010
257,255,2,All,University campus population,China,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Kaempferol,"",92,,,,90.77,74.21,,,,,,,,,,,,,,,,,,nmol/L,90.77,,,nmol/L,Crude,,,,Zhang 2010
258,255,2,All,University campus population,China,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Isorhamnetin,"",92,,,,38.84,45.36,,,,,,,,,,,,,,,,,,nmol/L,38.84,,,nmol/L,Crude,,,,Zhang 2010
259,262,1,All,University campus population,China,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavones,Apigenin + Luteolin,92,,,,112.5,98.46,,,,,,,,,,,,,,,,,,nmol/L,112.50,,,nmol/L,Crude,,,,Zhang 2010
260,259,2,All,University campus population,China,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Apigenin,"",92,,,,11.87,12.65,,,,,,,,,,,,,,,,,,nmol/L,11.87,,,nmol/L,Crude,,,,Zhang 2010
261,259,2,All,University campus population,China,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Luteolin,"",92,,,,100.63,98.51,,,,,,,,,,,,,,,,,,nmol/L,100.63,,,nmol/L,Crude,,,,Zhang 2010
262,,0,All,University campus population,China,,,"Plasma, fasting",HPLC after enzymatic hydrolysis,Flavonoids,Quercetin + Kaempferol + Isorhamnetin + Apigenin + Luteolin,92,,,,314.43,213.73,,,,,,,,,,,,,,,,,,nmol/L,314.43,,,nmol/L,Crude,,,,Zhang 2010
300,,0,Wine nonconsumers,First consecutive participants entering a substudy of PREDIMED,Spain,PREDIMED (Prevención con Dieta Mediterránea),,"Urine, first morning spot",LC-MS/MS,Resveratrol metabolites,"",391,,,,,,,,,,,,,120.7,,,,,205.5,,,,,nmol/g,,,0.12,umol/g,Density,Creatinine,,Resveratrol,Zamora-Ros 2009
301,,0,Wine intermittent consumers,First consecutive participants entering a substudy of PREDIMED,Spain,PREDIMED (Prevención con Dieta Mediterránea),,"Urine, first morning spot",LC-MS/MS,Resveratrol metabolites,"",151,,,,,,,,,,,,,599.8,,,,,381.3,,,,,nmol/g,,,0.60,umol/g,Density,Creatinine,,Resveratrol,Zamora-Ros 2009
302,,0,Wine daily consumers,First consecutive participants entering a substudy of PREDIMED,Spain,PREDIMED (Prevención con Dieta Mediterránea),,"Urine, first morning spot",LC-MS/MS,Resveratrol metabolites,"",458,,,,,,,,,,,,,1401.3,,,,,1242.6,,,,,nmol/g,,,1.40,umol/g,Density,Creatinine,,Resveratrol,Zamora-Ros 2009
306,,0,Soy intake group 1 (Isoflavone intake: <1 mg/day ),Premenopausal women,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),,"Plasma, unspecified",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Daidzein,"",20,,,,8.05,,4.93,,,,,,,,,,,,,0.0,51.2,2.8,8.66,nmol/L,8.05,4.93,,nmol/L,Crude,,,,Verkasalo 2001
307,,0,Soy intake group 1 (Isoflavone intake: <1 mg/day ),Premenopausal women,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),,"Plasma, unspecified",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Genistein,"",20,,,,27.8,,14.3,,,,,,,,,,,,,0.0,163.0,7.42,27.4,nmol/L,27.80,14.30,,nmol/L,Crude,,,,Verkasalo 2001
308,,0,Soy intake group 2 (Isoflavone intake: 18.4 to 23.4 mg/day),Premenopausal women,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),,"Plasma, unspecified",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Daidzein,"",20,,,,23.7,,8.37,,,,,,,,,,,,,0.0,66.9,4.76,14.7,nmol/L,23.70,8.37,,nmol/L,Crude,,,,Verkasalo 2001
309,,0,Soy intake group 2 (Isoflavone intake: 18.4 to 23.4 mg/day),Premenopausal women,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),,"Plasma, unspecified",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Genistein,"",20,,,,58.8,,16.5,,,,,,,,,,,,,8.57,31.6,,,nmol/L,58.80,16.50,,nmol/L,Crude,,,,Verkasalo 2001
310,,0,Soy intake group 3 (Isoflavone intake: 14.2 to 37.6 mg/day),Premenopausal women,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),,"Plasma, unspecified",Time-resolved fluoroimmunoassay (TR-FIA) after enzymatic hydrolysis,Daidzein,"",20,,,,94.2,,39.2,,,,,,,,,,,,,51.0,137.0,22.3,69.0,nmol/L,94.20,39.20,,nmol/L,Crude,,,,Verkasalo 2001
