ID,Excretion ID,Subject group,Population,Country,Cohort,No. of subjects,No. of cases,No. of controls,Biospecimen,Analytical method,Biomarker,Biomarker detail,Cancer,Study design,Publication
63,21069,All,Colorectal cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),2798,1399,1399,"Plasma, fasting and non-fasting",HPLC,Lycopene,"",Colon and rectal cancer,Nested case-control study,Leenders 2014
64,21070,All,Colorectal cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),2798,1399,1399,"Plasma, fasting and non-fasting",HPLC,Zeaxanthin,"",Colon and rectal cancer,Nested case-control study,Leenders 2014
65,21071,All,Pancreatic cancer cases and their controls,Netherlands,EPIC (European Prospective Investigation into Cancer and Nutrition),892,446,446,"Plasma, fasting and non-fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Zeaxanthin + Lycopene + Lutein + beta-Carotene,Pancreatic cancer,Nested case-control study,Jeurnink 2015
68,21075,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,68,,"Serum, fasting",HPLC,beta-Carotene,"",Prostate cancer,Prospective cohort study,Karppi 2012
69,21074,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,68,,"Serum, fasting",HPLC,alpha-Carotene,"",Prostate cancer,Prospective cohort study,Karppi 2012
70,21076,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,68,,"Serum, fasting",HPLC,Lycopene,"",Prostate cancer,Prospective cohort study,Karppi 2012
71,21077,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,68,,"Serum, fasting",HPLC,Retinol,"",Prostate cancer,Prospective cohort study,Karppi 2012
72,21078,All,Prostate cancer cases,Finland,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),997,68,,"Serum, fasting",HPLC,alpha-Tocopherol,"",Prostate cancer,Prospective cohort study,Karppi 2012
73,21079,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",1504,680,824,"Serum, non-fasting",HPLC,alpha-Tocopherol,"",Prostate cancer,Nested case-control study,Weinstein 2012
74,21080,All,Prostate cancer cases and their controls,United States,"PLCO (Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial)",1504,680,824,"Serum, non-fasting",HPLC,gamma-Tocopherol,"",Prostate cancer,Nested case-control study,Weinstein 2012
75,21081,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2018,959,1059,"Plasma, fasting and non-fasting",Mass spectrometry (MS),Selenium,"",Prostate cancer,Nested case-control study,Allen 2008
76,21082,All,Prostate cancer cases and their controls,United States,CLUE,350,117,233,"Plasma, unspecified",HPLC,alpha-Tocopherol,"",Prostate cancer,Nested case-control study,Helzlsouer 2000
77,21083,All,Prostate cancer cases and their controls,United States,CLUE,350,117,233,"Plasma, unspecified",HPLC,gamma-Tocopherol,"",Prostate cancer,Nested case-control study,Helzlsouer 2000
78,21084,All,Prostate cancer cases and their controls,United States,CLUE,350,117,233,Toenail,Neutron activation analysis,Selenium,"",Prostate cancer,Nested case-control study,Helzlsouer 2000
79,21085,All,Lung cancer cases and their controls,Finland,Finnish Mobile Clinic Surveys,414,144,270,"Serum, unspecified",HPLC,alpha-Tocopherol,"",Lung cancer,Nested case-control study,Knekt 1993
89,21099,All,Non-Hodgkin lymphoma cases and their controls,United States,MEC (Multiethnic Cohort Study),809,271,538,"Serum, fasting and non-fasting",HPLC,Tocopherols,alpha-Tocopherol + delta-Tocopherol + beta/gamma-Tocopherol,Lymphoid cancer,Nested case-control study,Morimoto 2013
90,21098,All,Non-Hodgkin lymphoma cases and their controls,United States,MEC (Multiethnic Cohort Study),809,271,538,"Serum, fasting and non-fasting",HPLC,alpha-Tocopherol,"",Lymphoid cancer,Nested case-control study,Morimoto 2013
91,21100,All,Non-Hodgkin lymphoma cases and their controls,United States,MEC (Multiethnic Cohort Study),809,271,538,"Serum, fasting and non-fasting",HPLC,beta/gamma-Tocopherol,"",Lymphoid cancer,Nested case-control study,Morimoto 2013
92,21101,All,Non-Hodgkin lymphoma cases and their controls,United States,MEC (Multiethnic Cohort Study),809,271,538,"Serum, fasting and non-fasting",HPLC,delta-Tocopherol,"",Lymphoid cancer,Nested case-control study,Morimoto 2013
93,21105,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,Lutein,"",Breast cancer,Nested case-control study,Maillard 2010
94,21106,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,Zeaxanthin,"",Breast cancer,Nested case-control study,Maillard 2010
95,21107,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,beta-Cryptoxanthin,"",Breast cancer,Nested case-control study,Maillard 2010
96,21108,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,Canthaxanthin,"",Breast cancer,Nested case-control study,Maillard 2010
97,21109,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,alpha-Carotene,"",Breast cancer,Nested case-control study,Maillard 2010
98,21110,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,beta-Carotene,"",Breast cancer,Nested case-control study,Maillard 2010
99,21111,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,Lycopene,"",Breast cancer,Nested case-control study,Maillard 2010
100,21112,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Zeaxanthin + Lycopene + Lutein + beta-Carotene + Canthaxanthin,Breast cancer,Nested case-control study,Maillard 2010
101,21102,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,alpha-Tocopherol,"",Breast cancer,Nested case-control study,Maillard 2010
102,21103,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,gamma-Tocopherol,"",Breast cancer,Nested case-control study,Maillard 2010
103,21104,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,Tocopherols,alpha-Tocopherol + gamma-Tocopherol,Breast cancer,Nested case-control study,Maillard 2010
104,21113,All,Breast cancer cases and their controls,France,E3N (Etude Epidemiologique aupres des femmes de la Mutuelle Generale de l’Education Nationale),1086,366,720,"Serum, fasting and non-fasting",HPLC,Retinol,"",Breast cancer,Nested case-control study,Maillard 2010
105,21114,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",Neutron activation analysis,Selenium,"",Prostate cancer,Nested case-control study,Gill 2009
106,21116,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",HPLC,alpha-Tocopherol,"",Prostate cancer,Nested case-control study,Gill 2009
107,21117,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",HPLC,gamma-Tocopherol,"",Prostate cancer,Nested case-control study,Gill 2009
108,21115,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",HPLC,Tocopherols,alpha-Tocopherol + gamma-Tocopherol,Prostate cancer,Nested case-control study,Gill 2009
109,21119,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",HPLC,beta-Carotene,"",Prostate cancer,Nested case-control study,Gill 2009
110,21120,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",HPLC,Lycopene,"",Prostate cancer,Nested case-control study,Gill 2009
111,21121,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",HPLC,beta-Cryptoxanthin,"",Prostate cancer,Nested case-control study,Gill 2009
112,21122,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",HPLC,Lutein/Zeaxanthin,"",Prostate cancer,Nested case-control study,Gill 2009
113,21118,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",HPLC,Carotenoids,beta-Cryptoxanthin + Lycopene + beta-Carotene + Lutein/Zeaxanthin,Prostate cancer,Nested case-control study,Gill 2009
114,21123,All,Prostate cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),1403,467,936,"Serum, fasting and non-fasting",HPLC,Retinol,"",Prostate cancer,Nested case-control study,Gill 2009
115,21124,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Zeaxanthin + Lycopene + Lutein + beta-Carotene + trans-Anhydroluteins + cis-Anhydroluteins + alpha-Cryptoxanthin + cis-beta-Cryptoxanthins + cis-beta-Carotenes,Breast cancer,Nested case-control study,Epplein 2009
116,21125,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,Carotenes,alpha-Carotene + beta-Carotene + cis-beta-Carotenes,Breast cancer,Nested case-control study,Epplein 2009
117,21126,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,alpha-Carotene,"",Breast cancer,Nested case-control study,Epplein 2009
118,21127,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,beta-Carotene (cis + trans),beta-Carotene + cis-beta-Carotenes,Breast cancer,Nested case-control study,Epplein 2009
119,21128,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,Lycopene,"",Breast cancer,Nested case-control study,Epplein 2009
120,21129,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,Lutein/Zeaxanthin,Zeaxanthin + Lutein,Breast cancer,Nested case-control study,Epplein 2009
121,21130,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,alpha-Cryptoxanthin,"",Breast cancer,Nested case-control study,Epplein 2009
122,21131,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,beta-Cryptoxanthin,"",Breast cancer,Nested case-control study,Epplein 2009
123,21132,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,Retinol,"",Breast cancer,Nested case-control study,Epplein 2009
124,21133,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,Tocopherols,alpha-Tocopherol + delta-Tocopherol + beta/gamma-Tocopherol,Breast cancer,Nested case-control study,Epplein 2009
125,21134,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,alpha-Tocopherol,"",Breast cancer,Nested case-control study,Epplein 2009
126,21135,All,Breast cancer cases and their controls,United States,MEC (Multiethnic Cohort Study),821,286,535,"Plasma, fasting and non-fasting",HPLC,delta-Tocopherol,"",Breast cancer,Nested case-control study,Epplein 2009
127,21148,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,Tocopherols,alpha-Tocopherol + delta-Tocopherol + beta/gamma-Tocopherol,Breast cancer,Nested case-control study,Dorjgochoo 2009
128,21155,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,alpha-Carotene,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
129,21149,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,alpha-Tocopherol,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
130,21150,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,beta/gamma-Tocopherol,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
131,21151,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,delta-Tocopherol,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
132,21152,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,Retinol,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
133,21153,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Zeaxanthin + Lutein + beta-Carotene + cis-Lutein/Zeaxanthin + trans-Anhydroluteins + cis-Anhydroluteins + alpha-Cryptoxanthin + cis-beta-Cryptoxanthins + cis-beta-Carotenes + Lycopenes,Breast cancer,Nested case-control study,Dorjgochoo 2009
134,21154,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,beta-Carotene (cis + trans),beta-Carotene + cis-beta-Carotenes,Breast cancer,Nested case-control study,Dorjgochoo 2009
135,21156,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,Lycopenes,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
136,21157,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,Lutein/Zeaxanthin,Zeaxanthin + Lutein,Breast cancer,Nested case-control study,Dorjgochoo 2009
137,21158,All,Breast cancer cases and their controls,China,SWHS (Shanghai Women's Health Study),1091,365,726,"Plasma, unspecified",HPLC,beta-Cryptoxanthin,"",Breast cancer,Nested case-control study,Dorjgochoo 2009
138,21159,All,Gastric cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),1022,511,511,"Plasma, fasting and non-fasting",HPLC,Lutein/Zeaxanthin,"",Gastric and oesophageal cancer,Nested case-control study,Persson 2008
139,21160,All,Gastric cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),1022,511,511,"Plasma, fasting and non-fasting",HPLC,beta-Cryptoxanthin,"",Gastric and oesophageal cancer,Nested case-control study,Persson 2008
140,21161,All,Gastric cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),1022,511,511,"Plasma, fasting and non-fasting",HPLC,alpha-Carotene,"",Gastric and oesophageal cancer,Nested case-control study,Persson 2008
141,21162,All,Gastric cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),1022,511,511,"Plasma, fasting and non-fasting",HPLC,beta-Carotene,"",Gastric and oesophageal cancer,Nested case-control study,Persson 2008
142,21163,All,Gastric cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),1022,511,511,"Plasma, fasting and non-fasting",HPLC,Lycopene,"",Gastric and oesophageal cancer,Nested case-control study,Persson 2008
143,21164,All,Gastric cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),1022,511,511,"Plasma, fasting and non-fasting",HPLC,Retinol,"",Gastric and oesophageal cancer,Nested case-control study,Persson 2008
144,21165,All,Gastric cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),1022,511,511,"Plasma, fasting and non-fasting",HPLC,alpha-Tocopherol,"",Gastric and oesophageal cancer,Nested case-control study,Persson 2008
145,21166,All,Gastric cancer cases and their controls,Japan,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),1022,511,511,"Plasma, fasting and non-fasting",HPLC,gamma-Tocopherol,"",Gastric and oesophageal cancer,Nested case-control study,Persson 2008
154,21176,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,alpha-Carotene,"",Prostate cancer,Nested case-control study,Key 2007
155,21177,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,beta-Carotene,"",Prostate cancer,Nested case-control study,Key 2007
156,21178,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,Lycopene,"",Prostate cancer,Nested case-control study,Key 2007
157,21179,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,Lutein,"",Prostate cancer,Nested case-control study,Key 2007
158,21180,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,Zeaxanthin,"",Prostate cancer,Nested case-control study,Key 2007
159,21181,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,beta-Cryptoxanthin,"",Prostate cancer,Nested case-control study,Key 2007
160,21182,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,Canthaxanthin,"",Prostate cancer,Nested case-control study,Key 2007
161,21175,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Zeaxanthin + Lycopene + Lutein + beta-Carotene + Canthaxanthin,Prostate cancer,Nested case-control study,Key 2007
162,21183,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,Retinol,"",Prostate cancer,Nested case-control study,Key 2007
163,21184,All,Prostate cancer cases and their controls,United Kingdom,EPIC (European Prospective Investigation into Cancer and Nutrition),2030,966,1064,"Plasma, fasting and non-fasting",HPLC,alpha-Tocopherol,"",Prostate cancer,Nested case-control study,Key 2007
