ID,Excretion ID,Subject group,Population,Country,Cohort,Biomarker Time definition,Biospecimen,Analytical method,Biomarker,Biomarker detail,Arithmetic mean,Geometric mean,Median,Unit,Adjusted on,Reproducibility size,ICC,ICC 95% CI lower,ICC 95% CI upper,CV% WS,CV% BS,VAR WS,VAR BS,Publication
39,1762,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,beta-Carotene,"",,,,missing unit,,38,0.88,,,,,,,Bowman 2011
40,1758,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,gamma-Tocopherol,"",,,,missing unit,,38,0.84,,,,,,,Bowman 2011
41,1764,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Radioimmunoassay (RIA),Pyridoxal 5'-phosphate,"",,,,missing unit,,38,0.8,,,,,,,Bowman 2011
42,1756,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,Ascorbic acid,"",,,,missing unit,,38,0.49,,,,,,,Bowman 2011
43,1777,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Atomic emission spectrometry (AES),Selenium,"",,,,missing unit,,38,0.55,,,,,,,Bowman 2011
44,1775,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",,,,missing unit,,38,0.92,,,,,,,Bowman 2011
45,1774,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",,,,missing unit,,38,0.92,,,,,,,Bowman 2011
46,1768,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,"Fatty acids, polyunsaturated (PUFA)",alpha-Linolenic acid (ALA; cis-18:3n-3) + EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + Linoleic acid (LA; cis-18:2n-6) + Arachidonic acid (AA; cis-20:4n-6),,,,missing unit,,38,0.92,,,,,,,Bowman 2011
47,1771,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",,,,missing unit,,38,0.87,,,,,,,Bowman 2011
48,1770,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,"Fatty acids, saturated (SFA)","",,,,missing unit,,38,0.82,,,,,,,Bowman 2011
49,1772,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",,,,missing unit,,38,0.79,,,,,,,Bowman 2011
50,1769,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,"Fatty acids, monounsaturated (MUFA)","",,,,missing unit,,38,0.79,,,,,,,Bowman 2011
51,1773,All [by diagnosis],Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",,,,missing unit,,38,0.7,,,,,,,Bowman 2011
53,1738,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,beta-Cryptoxanthin,"",,,,missing unit,,19,0.99,,,,,,,Bowman 2011
54,1745,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,25-Hydroxycholecalciferol,"",,,,missing unit,,19,0.98,,,,,,,Bowman 2011
55,1737,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,Lutein/Zeaxanthin,"",,,,missing unit,,19,0.97,,,,,,,Bowman 2011
56,1753,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",,,,missing unit,,19,0.97,,,,,,,Bowman 2011
57,1744,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Radioimmunoassay (RIA),Vitamin B12,"",,,,missing unit,,19,0.97,,,,,,,Bowman 2011
58,1735,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,alpha-Tocopherol,"",,,,missing unit,,19,0.97,,,,,,,Bowman 2011
60,1752,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",,,,missing unit,,19,0.94,,,,,,,Bowman 2011
61,1741,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,Lycopene,"",,,,missing unit,,19,0.94,,,,,,,Bowman 2011
62,1743,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Radioimmunoassay (RIA),Folates,"",,,,missing unit,,19,0.93,,,,,,,Bowman 2011
63,1746,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,"Fatty acids, polyunsaturated (PUFA)",alpha-Linolenic acid (ALA; cis-18:3n-3) + EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + Linoleic acid (LA; cis-18:2n-6) + Arachidonic acid (AA; cis-20:4n-6),,,,missing unit,,19,0.92,,,,,,,Bowman 2011
64,1750,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",,,,missing unit,,19,0.9,,,,,,,Bowman 2011
65,1749,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",,,,missing unit,,19,0.9,,,,,,,Bowman 2011
66,1748,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,"Fatty acids, saturated (SFA)","",,,,missing unit,,19,0.87,,,,,,,Bowman 2011
67,1739,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,alpha-Carotene,"",,,,missing unit,,19,0.86,,,,,,,Bowman 2011
68,1740,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,beta-Carotene,"",,,,missing unit,,19,0.85,,,,,,,Bowman 2011
69,1747,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,"Fatty acids, monounsaturated (MUFA)","",,,,missing unit,,19,0.84,,,,,,,Bowman 2011
70,1751,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",,,,missing unit,,19,0.81,,,,,,,Bowman 2011
71,1742,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Radioimmunoassay (RIA),Pyridoxal 5'-phosphate,"",,,,missing unit,,19,0.77,,,,,,,Bowman 2011
72,1736,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,gamma-Tocopherol,"",,,,missing unit,,19,0.75,,,,,,,Bowman 2011
73,1755,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Atomic emission spectrometry (AES),Selenium,"",,,,missing unit,,19,0.48,,,,,,,Bowman 2011
74,1734,No cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,Ascorbic acid,"",,,,missing unit,,19,0.1,,,,,,,Bowman 2011
75,1716,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,beta-Cryptoxanthin,"",,,,missing unit,,19,0.95,,,,,,,Bowman 2011
76,1723,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,25-Hydroxycholecalciferol,"",,,,missing unit,,19,0.98,,,,,,,Bowman 2011
77,1715,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,Lutein/Zeaxanthin,"",,,,missing unit,,19,0.94,,,,,,,Bowman 2011
78,1731,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,DHA (cis-22:6n-3),"",,,,missing unit,,19,0.86,,,,,,,Bowman 2011
79,1722,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Radioimmunoassay (RIA),Vitamin B12,"",,,,missing unit,,19,0.94,,,,,,,Bowman 2011
80,1713,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,alpha-Tocopherol,"",,,,missing unit,,19,0.9,,,,,,,Bowman 2011
82,1730,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,EPA (cis-20:5n-3),"",,,,missing unit,,19,0.87,,,,,,,Bowman 2011
83,1719,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,Lycopene,"",,,,missing unit,,19,0.89,,,,,,,Bowman 2011
84,1721,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Radioimmunoassay (RIA),Folates,"",,,,missing unit,,19,0.92,,,,,,,Bowman 2011
85,1724,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,"Fatty acids, polyunsaturated (PUFA)",alpha-Linolenic acid (ALA; cis-18:3n-3) + EPA (cis-20:5n-3) + DHA (cis-22:6n-3) + Linoleic acid (LA; cis-18:2n-6) + Arachidonic acid (AA; cis-20:4n-6),,,,missing unit,,19,0.92,,,,,,,Bowman 2011
86,1728,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,Arachidonic acid (AA; cis-20:4n-6),"",,,,missing unit,,19,0.73,,,,,,,Bowman 2011
87,1727,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,Linoleic acid (LA; cis-18:2n-6),"",,,,missing unit,,19,0.91,,,,,,,Bowman 2011
88,1726,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,"Fatty acids, saturated (SFA)","",,,,missing unit,,19,0.78,,,,,,,Bowman 2011
89,1717,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,alpha-Carotene,"",,,,missing unit,,19,0.89,,,,,,,Bowman 2011
90,1718,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,beta-Carotene,"",,,,missing unit,,19,0.97,,,,,,,Bowman 2011
91,1725,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,"Fatty acids, monounsaturated (MUFA)","",,,,missing unit,,19,0.71,,,,,,,Bowman 2011
92,1729,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",GC-FID,alpha-Linolenic acid (ALA; cis-18:3n-3),"",,,,missing unit,,19,0.6,,,,,,,Bowman 2011
93,1720,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Radioimmunoassay (RIA),Pyridoxal 5'-phosphate,"",,,,missing unit,,19,0.94,,,,,,,Bowman 2011
94,1714,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,gamma-Tocopherol,"",,,,missing unit,,19,0.83,,,,,,,Bowman 2011
95,1733,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",Atomic emission spectrometry (AES),Selenium,"",,,,missing unit,,19,0.58,,,,,,,Bowman 2011
96,1712,Mild cognitive impairment,Elderly subjects with and without mild cognitive impairment,United States,,baseline; 1 month,"Plasma, fasting",HPLC,Ascorbic acid,"",,,,missing unit,,19,0.69,,,,,,,Bowman 2011
98,18232,All,Hmong women,United States,FRIENDS (Fox River Environment and Diet Study),baseline; 15 days; 29.5 days,"Urine, first morning spot",LC-ID-MS/MS after enzymatic hydrolysis,Monoethyl phthalate (MEP),"",,59.6,62.3,ug/g,Creatinine,45,0.61,0.53,0.66,,,,,Peck 2010
99,18233,All,Hmong women,United States,FRIENDS (Fox River Environment and Diet Study),baseline; 15 days; 29.5 days,"Urine, first morning spot",LC-ID-MS/MS after enzymatic hydrolysis,Mono-n-butyl phthalate (MnBP),"",,25.2,25.4,ug/g,Creatinine,45,0.55,0.51,0.58,,,,,Peck 2010
100,18234,All,Hmong women,United States,FRIENDS (Fox River Environment and Diet Study),baseline; 15 days; 29.5 days,"Urine, first morning spot",LC-ID-MS/MS after enzymatic hydrolysis,Mono-isobutyl phthalate (MiBP),"",,7.5,7.9,ug/g,Creatinine,45,0.51,0.48,0.54,,,,,Peck 2010
101,18235,All,Hmong women,United States,FRIENDS (Fox River Environment and Diet Study),baseline; 15 days; 29.5 days,"Urine, first morning spot",LC-ID-MS/MS after enzymatic hydrolysis,Monobenzyl phthalate (MBzP),"",,20.9,23.0,ug/g,Creatinine,45,0.64,0.61,0.67,,,,,Peck 2010
102,18236,All,Hmong women,United States,FRIENDS (Fox River Environment and Diet Study),baseline; 15 days; 29.5 days,"Urine, first morning spot",LC-ID-MS/MS after enzymatic hydrolysis,Mono(3-carboxypropyl) phthalate (MCPP),"",,1.6,1.8,ug/g,Creatinine,45,0.59,0.51,0.65,,,,,Peck 2010
103,18237,All,Hmong women,United States,FRIENDS (Fox River Environment and Diet Study),baseline; 15 days; 29.5 days,"Urine, first morning spot",LC-ID-MS/MS after enzymatic hydrolysis,Mono(2-ethylhexyl) phthalate (MEHP),"",,3.4,3.5,ug/g,Creatinine,45,0.22,0.0,0.38,,,,,Peck 2010
104,18238,All,Hmong women,United States,FRIENDS (Fox River Environment and Diet Study),baseline; 15 days; 29.5 days,"Urine, first morning spot",LC-ID-MS/MS after enzymatic hydrolysis,Mono(2-ethyl-5-carboxypentyl) phthalate (MECPP),"",,29.5,32.6,ug/g,Creatinine,45,0.18,0.0,0.33,,,,,Peck 2010
105,18239,All,Hmong women,United States,FRIENDS (Fox River Environment and Diet Study),baseline; 15 days; 29.5 days,"Urine, first morning spot",LC-ID-MS/MS after enzymatic hydrolysis,Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP),"",,19.5,20.3,ug/g,Creatinine,45,0.13,0.0,0.3,,,,,Peck 2010
106,18240,All,Hmong women,United States,FRIENDS (Fox River Environment and Diet Study),baseline; 15 days; 29.5 days,"Urine, first morning spot",LC-ID-MS/MS after enzymatic hydrolysis,Mono(2-ethyl-5-oxohexyl) phthalate (MEOHP),"",,13.0,13.4,ug/g,Creatinine,45,0.19,0.0,0.33,,,,,Peck 2010
107,18251,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Lutein,"",182.0,,167.0,ng/mL,,381,0.69,,,,,0.002,0.005,Shvetsov 2009
108,18252,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Zeaxanthin,"",64.0,,58.0,ng/mL,,381,0.64,,,,,0.002,0.003,Shvetsov 2009
109,18253,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Lutein/Zeaxanthin,Zeaxanthin + Lutein,246.0,,230.0,ng/mL,,381,0.69,,,,,0.002,0.005,Shvetsov 2009
110,18254,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,cis-Lutein/Zeaxanthin,"",123.0,,117.0,ng/mL,,381,0.7,,,,,0.002,0.006,Shvetsov 2009
111,18255,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,trans-Anhydroluteins,"",71.0,,66.0,ng/mL,,381,0.77,,,,,0.002,0.005,Shvetsov 2009
112,18256,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,cis-Anhydroluteins,"",48.0,,44.0,ng/mL,,381,0.7,,,,,0.002,0.004,Shvetsov 2009
113,18257,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,alpha-Cryptoxanthin,"",46.0,,43.0,ng/mL,,381,0.62,,,,,0.003,0.005,Shvetsov 2009
114,18258,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,beta-Cryptoxanthin,"",163.0,,120.0,ng/mL,,381,0.68,,,,,0.001,0.003,Shvetsov 2009
115,18272,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,cis-beta-Cryptoxanthins,"",48.0,,40.0,ng/mL,,381,0.71,,,,,0.002,0.005,Shvetsov 2009
116,18259,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Cryptoxanthins,beta-Cryptoxanthin + alpha-Cryptoxanthin + cis-beta-Cryptoxanthins,257.0,,207.0,ng/mL,,381,0.71,,,,,0.001,0.004,Shvetsov 2009
117,18260,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Lycopene,"",233.0,,220.0,ng/mL,,381,0.45,,,,,0.005,0.004,Shvetsov 2009
118,18261,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Dihydrolycopenes,"",69.0,,64.0,ng/mL,,381,0.43,,,,,0.001,0.001,Shvetsov 2009
119,18262,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,alpha-Carotene,"",56.0,,45.0,ng/mL,,381,0.64,,,,,0.002,0.004,Shvetsov 2009
120,18273,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,beta-Carotene,"",200.0,,149.0,ng/mL,,381,0.74,,,,,0.002,0.005,Shvetsov 2009
121,18264,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,cis-beta-Carotenes,"",19.0,,15.0,ng/mL,,381,0.66,,,,,0.002,0.005,Shvetsov 2009
122,18263,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,beta-Carotene (cis + trans),beta-Carotene + cis-beta-Carotenes,218.0,,,ng/mL,,381,0.74,,,,,0.002,0.005,Shvetsov 2009
123,18265,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Carotenes,alpha-Carotene + beta-Carotene + cis-beta-Carotenes,275.0,,215.0,ng/mL,,381,0.75,,,,,0.002,0.005,Shvetsov 2009
124,18266,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Carotenoids,alpha-Carotene + beta-Cryptoxanthin + Zeaxanthin + Lycopene + Lutein + beta-Carotene + cis-Lutein/Zeaxanthin + trans-Anhydroluteins + cis-Anhydroluteins + alpha-Cryptoxanthin + cis-beta-Cryptoxanthins + Dihydrolycopenes + cis-beta-Carotenes,1322.0,,,ng/mL,,381,0.78,,,,,0.002,0.006,Shvetsov 2009
125,18267,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,delta-Tocopherol,"",362.0,,283.0,ng/mL,,381,0.37,,,,,0.009,0.005,Shvetsov 2009
126,18274,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Tocopherols,alpha-Tocopherol + beta-Tocopherol,1169.0,,1048.0,ng/mL,,381,0.61,,,,,0.003,0.005,Shvetsov 2009
127,18268,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,alpha-Tocopherol,"",10587.0,,9524.0,ng/mL,,381,0.62,,,,,0.002,0.004,Shvetsov 2009
128,18269,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Tocopherols,alpha-Tocopherol + beta-Tocopherol + delta-Tocopherol,12099.0,,11152.0,ng/mL,,381,0.57,,,,,0.002,0.002,Shvetsov 2009
129,18270,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Retinol,"",685.0,,663.0,ng/mL,,381,0.53,,,,,0.003,0.003,Shvetsov 2009
130,18271,All,Hawaii women,United States,Hawaii HPV Cohort,baseline; month 4; month 8; month 12,"Plasma, fasting",HPLC,Retinyl palmitate,"",55.0,,38.0,ng/mL,,381,0.31,,,,,0.004,0.002,Shvetsov 2009
131,18535,All,Postmenopausal women,United States,WHI-OS (Women's Health Initiative Observational Study),baseline; 5 years,"Plasma, fasting",Chemiluminescence immunoassay (CLIA),25-Hydroxycholecalciferol,"",,,,nmol/L,,672,0.59,0.54,0.64,,,,,Meng 2012
139,18352,All,Pregnant women,United States,SARAEH (Study of Advanced Reproductive Age and Environmental Health),baseline; 5 weeks; 15 weeks,"Urine, spot",LC-ID-MS/MS after enzymatic hydrolysis,"2,4-Dichlorophenol (2,4-DCP)","",,,,ug/L,,71,0.47,,,,,,,Philippat 2013
