ID,Intake ID,Excretion ID,Subject group,Population,Country,Cohort,No. of subjects,Intake Assessment method,Intake,Intervention dose,Biospecimen,Analytical method,Biomarker,Structural identification,Feature selection,Area under curve,Sensitivity,Specificity,PLS-DA VIP,Beta coefficient,Beta coefficient p-value,ANOVA p-value,Publication
16,20536,20548,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Beetroot,,"Urine, 24-h",LC-MS,4-Methylpyridine-2-carboxylic acid glycine,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level I (m/z and RT compared to authentic standard under identical conditions).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
17,20537,20549,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Red cabbage,,"Urine, 24-h",LC-MS,3-Hydroxy-3-(methyl-sulphinyl)propanoic acid,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level IV (unknown compounds and compounds that could not fit into the other categories).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
18,20537,20550,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Red cabbage,,"Urine, 24-h",LC-MS,3-Hydroxyhippuric acid sulfate,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level II (fragmentation pattern of PEM corresponds to MS/MS fragments in databases or literature).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
19,20537,20551,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Red cabbage,,"Urine, 24-h",LC-MS,3-Hydroxyhippuric acid,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level II (fragmentation pattern of PEM corresponds to MS/MS fragments in databases or literature).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 70.0,> 80.0,,,,,Andersen 2014
20,20538,20552,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Cabbage-family vegetables,,"Urine, 24-h",LC-MS,Iberin N-acetyl-cysteine,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level III (identification is based on similarities to known compound classes).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
21,20538,20553,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Cabbage-family vegetables,,"Urine, 24-h",LC-MS,N-Acetyl-S-(N-3-methylthiopropyl)cysteine,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level III (identification is based on similarities to known compound classes).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
22,20539,20554,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Cabbage-family vegetables,,"Urine, 24-h",LC-MS,N-Acetyl-S-(N-allylthiocarbamoyl)cysteine,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level III (identification is based on similarities to known compound classes).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 70.0,> 80.0,,,,,Andersen 2014
23,20540,20555,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Cabbage-family vegetables,,"Urine, 24-h",LC-MS,Sulforaphane N-acetyl-cysteine,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level I (m/z and RT compared to authentic standard under identical conditions).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
24,20541,20556,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Walnut,,"Urine, 24-h",LC-MS,5-Hydroxyindole-3-acetic acid,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level I (m/z and RT compared to authentic standard under identical conditions).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 70.0,> 80.0,,,,,Andersen 2014
25,20542,20557,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Chocolate,,"Urine, 24-h",LC-MS,6-AMMU,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level II (fragmentation pattern of PEM corresponds to MS/MS fragments in databases or literature).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
26,20542,20558,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Chocolate,,"Urine, 24-h",LC-MS,Theobromine,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level I (m/z and RT compared to authentic standard under identical conditions).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 70.0,> 80.0,,,,,Andersen 2014
27,20542,20559,All,Subjects randomized to 2 distinct dietary patterns (NDD vs ADD) during a 6-month parallel intervention study,Denmark,"OPUS (Optimal well-being, development and health for Danish children through a healthy New Nordic Diet)",107,Weighed Dietary record (3-day),Chocolate,,"Urine, 24-h",LC-MS,7-Methyluric acid,"RT and m/z queried against an in-house standards database, MS/MS fragmentation analysis, searches in public databases and literature. Sumner level I (m/z and RT compared to authentic standard under identical conditions).",Paired t-test with Storey correction (significant at q < 0.05) ; Sensitivity and specificity analysis (significant at > 70%), ,> 80.0,> 80.0,,,,,Andersen 2014
28,20560,20567,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Sugar-rich foods and beverages,,"Serum, fasting",Chromatography,gamma-Glutamylglutamic acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 1.9x10-4), , , ,,0.11,1.06e-5,,Zheng 2014
29,20560,20568,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Sugar-rich foods and beverages,,"Serum, fasting",Chromatography,gamma-Glutamylisoleucine,Metabolon,Linear regression with Bonferroni correction (significant at p < 1.9x10-4), , , ,,0.11,5.79e-6,,Zheng 2014
30,20560,20569,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Sugar-rich foods and beverages,,"Serum, fasting",Chromatography,gamma-Glutamylleucine,Metabolon,Linear regression with Bonferroni correction (significant at p < 1.9x10-4), , , ,,0.1,8.78e-5,,Zheng 2014
31,20560,20570,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Sugar-rich foods and beverages,,"Serum, fasting",Chromatography,gamma-Glutamylthreonine,Metabolon,Linear regression with Bonferroni correction (significant at p < 1.9x10-4), , , ,,0.13,9.05e-8,,Zheng 2014
32,20560,20571,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Sugar-rich foods and beverages,,"Serum, fasting",Chromatography,gamma-Glutamyltyrosine,Metabolon,Linear regression with Bonferroni correction (significant at p < 1.9x10-4), , , ,,0.14,2.74e-8,,Zheng 2014
33,20560,20572,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Sugar-rich foods and beverages,,"Serum, fasting",Chromatography,Theobromine,Metabolon,Linear regression with Bonferroni correction (significant at p < 1.9x10-4), , , ,,0.1,2.66e-5,,Zheng 2014
34,20561,20573,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Fruits + Vegetables,,"Serum, fasting",Chromatography,Glyceric acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 1.9x10-4), , , ,,0.11,1.21e-6,,Zheng 2014
35,20562,20574,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, fasting",Chromatography,Quinic acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.11,2.33e-12,,Zheng 2014
36,20562,20575,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, fasting",Chromatography,Paraxanthine,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.17,< 1e-20,,Zheng 2014
37,20562,20576,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, fasting",Chromatography,AAMU,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.13,8.23e-16,,Zheng 2014
38,20562,20577,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, fasting",Chromatography,"1,7-Dimethyluric acid",Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.14,1.70e-18,,Zheng 2014
39,20562,20578,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, fasting",Chromatography,1-Methyluric acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.12,4.60e-13,,Zheng 2014
40,20562,20579,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, fasting",Chromatography,1-Methylxanthine,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.08,2.33e-12,,Zheng 2014
41,20562,20580,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, fasting",Chromatography,Caffeine,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.08,4.59e-8,,Zheng 2014
42,20562,20581,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Coffee,,"Serum, fasting",Chromatography,"1,3,7-Trimethyluric acid",Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.1,3.14e-15,,Zheng 2014
43,20563,20582,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Eggs,,"Serum, fasting",Chromatography,Osbond acid (cis-22:5n-6),Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.15,2.84e-14,,Zheng 2014
44,20564,20583,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Fish and shellfish,,"Serum, fasting",Chromatography,EPA (cis-20:5n-3),Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.09,8.39e-6,,Zheng 2014
45,20564,20584,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Fish and shellfish,,"Serum, fasting",Chromatography,DHA (cis-22:6n-3),Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.14,1.14e-11,,Zheng 2014
46,20564,20585,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Fish and shellfish,,"Serum, fasting",Chromatography,CMPF,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.12,2.66e-10,,Zheng 2014
47,20565,20573,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Fruit juices,,"Serum, fasting",Chromatography,Glyceric acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.15,6.65e-18,,Zheng 2014
48,20565,20586,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Fruit juices,,"Serum, fasting",Chromatography,Proline betaine,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.19,< 1e-20,,Zheng 2014
49,20565,20587,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Fruit juices,,"Serum, fasting",Chromatography,N-Methylproline,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.17,1.00e-20,,Zheng 2014
50,20565,20588,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Fruit juices,,"Serum, fasting",Chromatography,Threonic acid,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.11,1.22e-9,,Zheng 2014
51,20565,20589,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Fruit juices,,"Serum, fasting",Chromatography,scyllo-Inositol,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.08,4.57e-6,,Zheng 2014
52,20566,20590,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Nuts,,"Serum, fasting",Chromatography,Tryptophan betaine,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.25,< 1e-20,,Zheng 2014
53,20566,20590,All,African American subjects,United States,ARIC (Atherosclerosis Risk in Communities),1500,Food Frequency Questionnaire (FFQ),Nuts,,"Serum, fasting",Chromatography,Tryptophan betaine,Metabolon,Linear regression with Bonferroni correction (significant at p < 2.1x10-5), , , ,,0.08,9.50e-7,,Zheng 2014
54,20592,20593,All,Subjects classified as citrus consumers and citrus non-consumers,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),80,Dietary record (1-day),Citrus fruits,,"Urine, spot",LC-MS,Proline betaine,"Search in public databases and literature, in-silico metabolite prediction, comparison with standards. Positive identification by comparison with standard.",1-way ANOVA with BH correction (significant at p < 0.05) ; OSC-PLS-DA, , , ,2.86,,,2.67e-4,Pujos-Guillot 2013
55,20592,20594,All,Subjects classified as citrus consumers and citrus non-consumers,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),80,Dietary record (1-day),Citrus fruits,,"Urine, spot",LC-MS,"Limonene 8,9-diol glucuronide","Search in public databases and literature, in-silico metabolite prediction, comparison with standards. Putative identification.",1-way ANOVA with BH correction (significant at p < 0.05) ; OSC-PLS-DA, , , ,1.94,,,1.05e-1,Pujos-Guillot 2013
56,20592,20595,All,Subjects classified as citrus consumers and citrus non-consumers,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),80,Dietary record (1-day),Citrus fruits,,"Urine, spot",LC-MS,"Nootkatone 13,14-diol glucuronide","Search in public databases and literature, in-silico metabolite prediction, comparison with standards. Putative identification.",1-way ANOVA with BH correction (significant at p < 0.05) ; OSC-PLS-DA, , , ,3.04,,,4.74e-4,Pujos-Guillot 2013
57,20592,20596,All,Subjects classified as citrus consumers and citrus non-consumers,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),80,Dietary record (1-day),Citrus fruits,,"Urine, spot",LC-MS,Hesperetin 3'-glucuronide,"Search in public databases and literature, in-silico metabolite prediction, comparison with standards. Positive identification by comparison with standard.",1-way ANOVA with BH correction (significant at p < 0.05) ; OSC-PLS-DA, , , ,2.89,,,2.44e-3,Pujos-Guillot 2013
58,20592,20597,All,Subjects classified as citrus consumers and citrus non-consumers,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),80,Dietary record (1-day),Citrus fruits,,"Urine, spot",LC-MS,4-Hydroxyproline betaine,"Search in public databases and literature, in-silico metabolite prediction, comparison with standards. Positive identification by comparison with standard.",1-way ANOVA with BH correction (significant at p < 0.05) ; OSC-PLS-DA, , , ,2.55,,,1.43e-2,Pujos-Guillot 2013
59,20592,20598,All,Subjects classified as citrus consumers and citrus non-consumers,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),80,Dietary record (1-day),Citrus fruits,,"Urine, spot",LC-MS,N-Methyltyramine sulfate,"Search in public databases and literature, in-silico metabolite prediction, comparison with standards. Putative identification.",1-way ANOVA with BH correction (significant at p < 0.05) ; OSC-PLS-DA, , , ,2.22,,,2.28e-2,Pujos-Guillot 2013
60,20592,20599,All,Subjects classified as citrus consumers and citrus non-consumers,France,SU.VI.MAX (SUpplementation en VItamines et Mineraux AntioXydants),80,Dietary record (1-day),Citrus fruits,,"Urine, spot",LC-MS,Naringenin 7-glucuronide,"Search in public databases and literature, in-silico metabolite prediction, comparison with standards. Positive identification by comparison with standard.",1-way ANOVA with BH correction (significant at p < 0.05) ; OSC-PLS-DA, , , ,2.29,,,3.52e-2,Pujos-Guillot 2013
61,20600,20603,All,"Volunteers fed a mixed-fruit meal (apple, orange, grape, grapefruit)",United Kingdom,,8,Intervention,Citrus fruits,"Mixed-fruit meal (apple, orange, grape, grapefruit), introduced on the evening of day 2 in addition to the standard dinner","Urine, spot",NMR,Proline betaine,Not indicated,PLS-DA, , , ,,,,,Heinzmann 2010
63,20608,20609,All,Free-living volunteers from the university campus area in Uppsala,Sweden,,66,Weighed Dietary record (3-day),Whole grain rye,,"Urine, 24-h",LC-MS,HHPAA sulfate,"Evaluation of MS/MS spectra and comparison with pure compounds, earlier published data, or searching databases (Metlin, Human Metabolome Database, SciFinder). Identified based on earlier analyses.",sPLS (significant at VIP > 1 ) ; rdCV-PLS (among 20 top-ranking features), , , ,10.7,,,,Hanhineva 2015
64,20608,20610,All,Free-living volunteers from the university campus area in Uppsala,Sweden,,66,Weighed Dietary record (3-day),Whole grain rye,,"Urine, 24-h",LC-MS,"3,5-DHPPA sulfate","Evaluation of MS/MS spectra and comparison with pure compounds, earlier published data, or searching databases (Metlin, Human Metabolome Database, SciFinder). Fragmentation of the aglycone compared to the fragmentation of pure 3,5-DHPPA standard.",sPLS (significant at VIP > 1 ) ; rdCV-PLS (among 20 top-ranking features), , , ,16.9,,,,Hanhineva 2015
65,20608,20611,All,Free-living volunteers from the university campus area in Uppsala,Sweden,,66,Weighed Dietary record (3-day),Whole grain rye,,"Urine, 24-h",LC-MS,Caffeic acid sulfate,"Evaluation of MS/MS spectra and comparison with pure compounds, earlier published data, or searching databases (Metlin, Human Metabolome Database, SciFinder). MS/MS spectral interpretation.",sPLS (significant at VIP > 1 ) ; rdCV-PLS (among 20 top-ranking features), , , ,27.8,,,,Hanhineva 2015
66,20608,20612,All,Free-living volunteers from the university campus area in Uppsala,Sweden,,66,Weighed Dietary record (3-day),Whole grain rye,,"Urine, 24-h",LC-MS,HPAA sulfate,"Evaluation of MS/MS spectra and comparison with pure compounds, earlier published data, or searching databases (Metlin, Human Metabolome Database, SciFinder). Confirmed with synthesized sulfate conjugate of HPAA standard.",sPLS (significant at VIP > 1 ) ; rdCV-PLS (among 20 top-ranking features), , , ,50.5,,,,Hanhineva 2015
67,20608,20613,All,Free-living volunteers from the university campus area in Uppsala,Sweden,,66,Weighed Dietary record (3-day),Whole grain rye,,"Urine, 24-h",LC-MS,Pimelic acid,"Evaluation of MS/MS spectra and comparison with pure compounds, earlier published data, or searching databases (Metlin, Human Metabolome Database, SciFinder). Based on MS/MS comparison with the Metlin database.",sPLS (significant at VIP > 1 ) ; rdCV-PLS (among 20 top-ranking features), , , ,25.4,,,,Hanhineva 2015
68,20608,20614,All,Free-living volunteers from the university campus area in Uppsala,Sweden,,66,Weighed Dietary record (3-day),Whole grain rye,,"Urine, 24-h",LC-MS,HHPAA,"Evaluation of MS/MS spectra and comparison with pure compounds, earlier published data, or searching databases (Metlin, Human Metabolome Database, SciFinder). Based on identical fragmentation and retention time as in earlier analysis.",sPLS (significant at VIP > 1 ) ; rdCV-PLS (among 20 top-ranking features), , , ,29.3,,,,Hanhineva 2015
