"accession","InChIKey","Name","PrecursorMZ","Ion_mode"
"MSBNK-AAFC-AC000845","MBTAFMZUDOUGPS-CGKQSRJASA-N","Ctrinin hydrate","267.0879","NEGATIVE"
"MSBNK-AAFC-AC000824","SMUNNMAWNRFDPB-UWWAQUNASA-N","Andrastin D","427.2496","NEGATIVE"
"MSBNK-AAFC-AC000651","ZRWPUFFVAOMMNM-UHFFFAOYSA-N","Patulin","153.0199","NEGATIVE"
"MSBNK-AAFC-AC000801","CBUOBMSAFIYYEJ-ZCFIWIBFSA-N","Redoxcitrinin","235.0981","NEGATIVE"
"MSBNK-AAFC-AC000803","CBUOBMSAFIYYEJ-ZCFIWIBFSA-N","Redoxcitrinin","235.0981","NEGATIVE"
"MSBNK-AAFC-AC000654","ZRWPUFFVAOMMNM-UHFFFAOYSA-N","Patulin","153.0199","NEGATIVE"
"MSBNK-AAFC-AC000802","CBUOBMSAFIYYEJ-ZCFIWIBFSA-N","Redoxcitrinin","235.0981","NEGATIVE"
"MSBNK-AAFC-AC000932","ROPHOAFGZRNKDO-SNXTYUPGSA-N","Fumonisin La4","689.3759","NEGATIVE"
"MSBNK-AAFC-AC000938","GZCJIEXTWGJVIN-MKHOGIGVSA-N","Fumonisin Py2","703.3552","NEGATIVE"
"MSBNK-AAFC-AC000657","WYYKRDVIBOEORL-JLCKPESSSA-N","Fumonisin B4","688.3919","NEGATIVE"
"MSBNK-AAFC-AC000826","SMUNNMAWNRFDPB-UWWAQUNASA-N","Andrastin D","427.2496","NEGATIVE"
"MSBNK-AAFC-AC000882","GRFAWUZMBBQEMX-IJNZYEPRSA-N","Deoxynivalenol 3-glucuronide","471.1513","NEGATIVE"
"MSBNK-AAFC-AC000425","CBGDIJWINPWWJW-IYSWYEEDSA-N","Citrinin","249.0774","NEGATIVE"
"MSBNK-AAFC-AC000895","LBBHTACWNVOYKN-SNQWNFAUSA-N","Andrastin C","457.2601","NEGATIVE"
"MSBNK-AAFC-AC000531","HNMWDXUKPJZOQD-UHFFFAOYSA-N","Marticin","375.0727","NEGATIVE"
"MSBNK-AAFC-AC000369","PUMXWMGECQIOGB-SMSDQXDJSA-N","Deoxynivalenol-3-glucoside","503.177","NEGATIVE"
"MSBNK-AAFC-AC000678","HPNSFSBZBAHARI-RUDMXATFSA-N","Mycophenolic acid","319.1192","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124333","YEDUAINPPJYDJZ-UHFFFAOYSA-N","2-Hydroxy benzothiazole","150.0019","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115127","FNJSWIPFHMKRAT-UHFFFAOYSA-N","Mono-methyl phthalate","179.035","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116025","GSEREAHHKPORII-UHFFFAOYSA-N","Mono(2-ethyl-5-carboxypentyl) adipate","287.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN121233","FKZIDBGIZLBDDF-UHFFFAOYSA-N","4-((4-(Allyloxy)phenyl)sulfonyl)phenol","289.054","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113335","MBGYSHXGENGTBP-UHFFFAOYSA-N","Mono(2-ethylhexyl) adipate","257.1758","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114329","DPQMLPCFIOCYFY-UHFFFAOYSA-N","Mono(2-propyl-6-carboxyhexyl) phthalate","335.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124826","LRUDIIUSNGCQKF-UHFFFAOYSA-N","5-Methylbenzotriazole","132.0567","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116725","JYFHYPJRHGVZDY-UHFFFAOYSA-N","Di-n-butyl phosphate","209.0948","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120325","HTVITOHKHWFJKO-UHFFFAOYSA-N","Bisphenol B","241.1234","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120236","VOWWYDCFAISREI-UHFFFAOYSA-N","Bisphenol AP","289.1234","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115726","IOWADRRGIUUGJH-UHFFFAOYSA-N","Mono-carboxy-isononyl phthalate","335.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115026","YWWHKOHZGJFMIE-UHFFFAOYSA-N","Mono-ethyl phthalate","193.0506","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120334","HTVITOHKHWFJKO-UHFFFAOYSA-N","Bisphenol B","241.1234","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113231","XLMWFRRVVDGMRV-UHFFFAOYSA-N","Mono(2-ethyl-5-oxohexyl) adipate","271.1551","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114628","HCWNFKHKKHNSSL-UHFFFAOYSA-N","Mono(2-ethyl-5-oxohexyl)phthalate","291.1238","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115531","RWCHSWLUPRJYEX-UHFFFAOYSA-N","Mono-hydroxy-isononyl phthalate","307.1551","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120026","IISBACLAFKSPIT-UHFFFAOYSA-N","BisphenolA","227.1078","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116328","RRYJOTVSZOKNQZ-UHFFFAOYSA-N","2-Ethyl-4-hydroxyhexylsalicylate","265.1445","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124834","LRUDIIUSNGCQKF-UHFFFAOYSA-N","5-Methylbenzotriazole","132.0567","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120826","VPWNQTHUCYMVMZ-UHFFFAOYSA-N","Bisphenol S","249.0227","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115825","BIQPFHSSQDGFTK-UHFFFAOYSA-N","Mono(2-ethyl-5-carboxypentyl) terephthalate","307.1187","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113929","WPTRTTWYMWWUTQ-PFSRBDOWSA-N","Cyclohexane-1,2-dicarboxylic mono hydroxyisononyl ester","313.202","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114632","HCWNFKHKKHNSSL-UHFFFAOYSA-N","Mono(2-ethyl-5-oxohexyl)phthalate","291.1238","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113732","IGGVQTVKZINOGK-NOYMGPGASA-N","Mono-isononyl-cyclohexane-1,2-dicarboxylate","297.2071","NEGATIVE"
"MSBNK-Antwerp_Univ-AN123927","ISAVYTVYFVQUDY-UHFFFAOYSA-N","4-tert-Octylphenol","205.1598","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124833","LRUDIIUSNGCQKF-UHFFFAOYSA-N","5-Methylbenzotriazole","132.0567","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114728","RZJSUWQGFCHNFS-UHFFFAOYSA-N","Mono-iso-butyl phthalate","221.0819","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115625","WXSCEQXIHBEPIQ-UHFFFAOYSA-N","2,4-Di-(2-ethylhexyl) trimellitate ","433.2596","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113235","XLMWFRRVVDGMRV-UHFFFAOYSA-N","Mono(2-ethyl-5-oxohexyl) adipate","271.1551","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115928","BAIGYCWXMXEZKY-UHFFFAOYSA-N","Mono(2-ethyl-oxo-hexyl) trimelliate","335.1136","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115529","RWCHSWLUPRJYEX-UHFFFAOYSA-N","Mono-hydroxy-isononyl phthalate","307.1551","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120024","IISBACLAFKSPIT-UHFFFAOYSA-N","BisphenolA","227.1078","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115534","RWCHSWLUPRJYEX-UHFFFAOYSA-N","Mono-hydroxy-isononyl phthalate","307.1551","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124325","YEDUAINPPJYDJZ-UHFFFAOYSA-N","2-Hydroxy benzothiazole","150.0019","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120335","HTVITOHKHWFJKO-UHFFFAOYSA-N","Bisphenol B","241.1234","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114231","NSGSMZPMFOBAFF-UHFFFAOYSA-N","Mono-2-(propyl-6-oxoheptyl)-phthalate","319.1551","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116032","GSEREAHHKPORII-UHFFFAOYSA-N","Mono(2-ethyl-5-carboxypentyl) adipate","287.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN121125","CUMWGMLODONKKD-OIJGMWSASA-N","BPS glucuronide","425.0548","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124828","LRUDIIUSNGCQKF-UHFFFAOYSA-N","5-Methylbenzotriazole","132.0567","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120829","VPWNQTHUCYMVMZ-UHFFFAOYSA-N","Bisphenol S","249.0227","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116125","NYIGBVYKJGITTA-UHFFFAOYSA-N","2-Ethyl-oxo-hexylsalicylate","263.1289","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114125","KNDRVUYMYPIFIU-UHFFFAOYSA-N","6-Hydroxy Monopropylheptylphthalate","321.1707","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115727","IOWADRRGIUUGJH-UHFFFAOYSA-N","Mono-carboxy-isononyl phthalate","335.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113725","IGGVQTVKZINOGK-NOYMGPGASA-N","Mono-isononyl-cyclohexane-1,2-dicarboxylate","297.2071","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114233","NSGSMZPMFOBAFF-UHFFFAOYSA-N","Mono-2-(propyl-6-oxoheptyl)-phthalate","319.1551","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116026","GSEREAHHKPORII-UHFFFAOYSA-N","Mono(2-ethyl-5-carboxypentyl) adipate","287.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120333","HTVITOHKHWFJKO-UHFFFAOYSA-N","Bisphenol B","241.1234","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113327","MBGYSHXGENGTBP-UHFFFAOYSA-N","Mono(2-ethylhexyl) adipate","257.1758","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120828","VPWNQTHUCYMVMZ-UHFFFAOYSA-N","Bisphenol S","249.0227","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114327","DPQMLPCFIOCYFY-UHFFFAOYSA-N","Mono(2-propyl-6-carboxyhexyl) phthalate","335.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115729","IOWADRRGIUUGJH-UHFFFAOYSA-N","Mono-carboxy-isononyl phthalate","335.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114334","DPQMLPCFIOCYFY-UHFFFAOYSA-N","Mono(2-propyl-6-carboxyhexyl) phthalate","335.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113425","GUWFIYHOYMKEJE-UHFFFAOYSA-N","Mono(2-ethyl-5-hydroxyhexyl) adipate","273.1707","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124835","LRUDIIUSNGCQKF-UHFFFAOYSA-N","5-Methylbenzotriazole","132.0567","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113426","GUWFIYHOYMKEJE-UHFFFAOYSA-N","Mono(2-ethyl-5-hydroxyhexyl) adipate","273.1707","NEGATIVE"
"MSBNK-Antwerp_Univ-AN121234","FKZIDBGIZLBDDF-UHFFFAOYSA-N","4-((4-(Allyloxy)phenyl)sulfonyl)phenol","289.054","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120132","ZFVMWEVVKGLCIJ-UHFFFAOYSA-N","Bisphenol AF","335.0512","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124027","NTDQQZYCCIDJRK-UHFFFAOYSA-N","4-n-Octylphenol","205.1598","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115028","YWWHKOHZGJFMIE-UHFFFAOYSA-N","Mono-ethyl phthalate","193.0506","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120329","HTVITOHKHWFJKO-UHFFFAOYSA-N","Bisphenol B","241.1234","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120326","HTVITOHKHWFJKO-UHFFFAOYSA-N","Bisphenol B","241.1234","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113328","MBGYSHXGENGTBP-UHFFFAOYSA-N","Mono(2-ethylhexyl) adipate","257.1758","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120833","VPWNQTHUCYMVMZ-UHFFFAOYSA-N","Bisphenol S","249.0227","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114825","YZBOVSFWWNVKRJ-UHFFFAOYSA-N","Monobutyl phthalate","221.0819","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116826","ASMQGLCHMVWBQR-UHFFFAOYSA-N","Diphenyl phosphate","249.0322","NEGATIVE"
"MSBNK-Antwerp_Univ-AN121236","FKZIDBGIZLBDDF-UHFFFAOYSA-N","4-((4-(Allyloxy)phenyl)sulfonyl)phenol","289.054","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114828","YZBOVSFWWNVKRJ-UHFFFAOYSA-N","Monobutyl phthalate","221.0819","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116729","JYFHYPJRHGVZDY-UHFFFAOYSA-N","Di-n-butyl phosphate","209.0948","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116126","NYIGBVYKJGITTA-UHFFFAOYSA-N","2-Ethyl-oxo-hexylsalicylate","263.1289","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115325","XFGRNAPKLGXDGF-UHFFFAOYSA-N","Mono-(2-ethyl-5-carboxypentyl) phthalate","307.1187","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120230","VOWWYDCFAISREI-UHFFFAOYSA-N","Bisphenol AP","289.1234","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113527","HRUJAEJKCNCOGW-UHFFFAOYSA-N","Mono(2-ethylhexyl) terephthalate","277.1445","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115730","IOWADRRGIUUGJH-UHFFFAOYSA-N","Mono-carboxy-isononyl phthalate","335.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115929","BAIGYCWXMXEZKY-UHFFFAOYSA-N","Mono(2-ethyl-oxo-hexyl) trimelliate","335.1136","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116033","GSEREAHHKPORII-UHFFFAOYSA-N","Mono(2-ethyl-5-carboxypentyl) adipate","287.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120232","VOWWYDCFAISREI-UHFFFAOYSA-N","Bisphenol AP","289.1234","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115925","BAIGYCWXMXEZKY-UHFFFAOYSA-N","Mono(2-ethyl-oxo-hexyl) trimelliate","335.1136","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120126","ZFVMWEVVKGLCIJ-UHFFFAOYSA-N","Bisphenol AF","335.0512","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113226","XLMWFRRVVDGMRV-UHFFFAOYSA-N","Mono(2-ethyl-5-oxohexyl) adipate","271.1551","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114529","RYPQSGURZSTFSX-UHFFFAOYSA-N","Mono(2-ethyl-5-hydroxyhexyl)phthalate","293.1394","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116130","NYIGBVYKJGITTA-UHFFFAOYSA-N","2-Ethyl-oxo-hexylsalicylate","263.1289","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115329","XFGRNAPKLGXDGF-UHFFFAOYSA-N","Mono-(2-ethyl-5-carboxypentyl) phthalate","307.1187","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114826","YZBOVSFWWNVKRJ-UHFFFAOYSA-N","Monobutyl phthalate","221.0819","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114531","RYPQSGURZSTFSX-UHFFFAOYSA-N","Mono(2-ethyl-5-hydroxyhexyl)phthalate","293.1394","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114336","DPQMLPCFIOCYFY-UHFFFAOYSA-N","Mono(2-propyl-6-carboxyhexyl) phthalate","335.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124829","LRUDIIUSNGCQKF-UHFFFAOYSA-N","5-Methylbenzotriazole","132.0567","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120633","SDDLEVPIDBLVHC-UHFFFAOYSA-N","Bisphenol Z","267.1391","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120134","ZFVMWEVVKGLCIJ-UHFFFAOYSA-N","Bisphenol AF","335.0512","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113630","ODRKAFOVPBFSIN-UHFFFAOYSA-N","Mono(2-ethyl-5-hydroxyhexyl) terephthalate","293.1394","NEGATIVE"
"MSBNK-Antwerp_Univ-AN115735","IOWADRRGIUUGJH-UHFFFAOYSA-N","Mono-carboxy-isononyl phthalate","335.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120529","GIXXQTYGFOHYPT-UHFFFAOYSA-N","Bisphenol P","345.186","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113828","HGYNPCSGHWFMTB-KFTPUPIBSA-N","Cyclohexane-1,2-dicarboxylic mono carboxyisooctyl ester","327.1813","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113825","HGYNPCSGHWFMTB-KFTPUPIBSA-N","Cyclohexane-1,2-dicarboxylic mono carboxyisooctyl ester","327.1813","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113431","GUWFIYHOYMKEJE-UHFFFAOYSA-N","Mono(2-ethyl-5-hydroxyhexyl) adipate","273.1707","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116229","KULBMKDJNJVMBC-UHFFFAOYSA-N","2-Hydroxyethylhexylsalicylate","265.1445","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113525","HRUJAEJKCNCOGW-UHFFFAOYSA-N","Mono(2-ethylhexyl) terephthalate","277.1445","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124334","YEDUAINPPJYDJZ-UHFFFAOYSA-N","2-Hydroxy benzothiazole","150.0019","NEGATIVE"
"MSBNK-Antwerp_Univ-AN113826","HGYNPCSGHWFMTB-KFTPUPIBSA-N","Cyclohexane-1,2-dicarboxylic mono carboxyisooctyl ester","327.1813","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114526","RYPQSGURZSTFSX-UHFFFAOYSA-N","Mono(2-ethyl-5-hydroxyhexyl)phthalate","293.1394","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120832","VPWNQTHUCYMVMZ-UHFFFAOYSA-N","Bisphenol S","249.0227","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114730","RZJSUWQGFCHNFS-UHFFFAOYSA-N","Mono-iso-butyl phthalate","221.0819","NEGATIVE"
"MSBNK-Antwerp_Univ-AN120532","GIXXQTYGFOHYPT-UHFFFAOYSA-N","Bisphenol P","345.186","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114227","NSGSMZPMFOBAFF-UHFFFAOYSA-N","Mono-2-(propyl-6-oxoheptyl)-phthalate","319.1551","NEGATIVE"
"MSBNK-Antwerp_Univ-AN124825","LRUDIIUSNGCQKF-UHFFFAOYSA-N","5-Methylbenzotriazole","132.0567","NEGATIVE"
"MSBNK-Antwerp_Univ-AN116029","GSEREAHHKPORII-UHFFFAOYSA-N","Mono(2-ethyl-5-carboxypentyl) adipate","287.15","NEGATIVE"
"MSBNK-Antwerp_Univ-AN114626","HCWNFKHKKHNSSL-UHFFFAOYSA-N","Mono(2-ethyl-5-oxohexyl)phthalate","291.1238","NEGATIVE"
