"","inchikey","id","name","precursormz","mass","hmdb","dsstox","t3db","foodb","refmet","chebi"
"524","ACAAVKGSTVOIQB-BASWHVEKSA-N","O=C1C(OC=2C=C(O)C=C(O)C12)=CC3=CC(O)=C(O)C(O)=C3","Bracteatin","303.049926757812",NA,NA,"DTXSID60415090",NA,NA,NA,NA
"525","ACAAVKGSTVOIQB-BASWHVEKSA-N","O=C1C(OC=2C=C(O)C=C(O)C12)=CC3=CC(O)=C(O)C(O)=C3","Bracteatin","341.005798339844",NA,NA,"DTXSID60415090",NA,NA,NA,NA
"557","ACGDKVXYNVEAGU-UHFFFAOYSA-N","KO003246","Ismelin","199",198.184446724,"HMDB0015301","DTXSID5023116",NA,NA,"Guanethidine",5557
"567","ACGHJVZDNQZJOV-BMOJZYMJSA-N","O=C1N2C3C4=C(C=5C=CC(OC)=CC5N4C(OOC(C)(C)C3)C=C(C)C)C(OCC=C(C)C)C2(O)C(=O)N6CCCC16","NCGC00180170-02_C32H41N3O7_5H,12H-3,4-Dioxa-5a,11a,15a-triazacyclooct[lm]indeno[5,6-b]fluorene-11,15(2H,13H)-dione, 1,10,10a,14,14a,15b-hexahydro-10a-hydroxy-7-methoxy-2,2-dimethyl-10-[(3-methyl-2-buten-1-yl)oxy]-5-(2-methyl-1-propen-1-yl)-, (5R,10S,10aR,14aS,15bS)-","602.284",NA,NA,NA,NA,NA,NA,72766
"568","ACGHJVZDNQZJOV-BMOJZYMJSA-N","CCMSLIB00000850801","NCGC00180170-02_C32H41N3O7_5H,12H-3,4-Dioxa-5a,11a,15a-triazacyclooct[lm]indeno[5,6-b]fluorene-11,15(2H,13H)-dione, 1,10,10a,14,14a,15b-hexahydro-10a-hydroxy-7-methoxy-2,2-dimethyl-10-[(3-methyl-2-buten-1-yl)oxy]-5-(2-methyl-1-propen-1-yl)-, (5R,10S,10aR,14aS,15bS)-","562.291",NA,NA,NA,NA,NA,NA,72766
"569","ACGHJVZDNQZJOV-BMOJZYMJSA-N","CCMSLIB00000850798","NCGC00180170-02_C32H41N3O7_5H,12H-3,4-Dioxa-5a,11a,15a-triazacyclooct[lm]indeno[5,6-b]fluorene-11,15(2H,13H)-dione, 1,10,10a,14,14a,15b-hexahydro-10a-hydroxy-7-methoxy-2,2-dimethyl-10-[(3-methyl-2-buten-1-yl)oxy]-5-(2-methyl-1-propen-1-yl)-, (5R,10S,10aR,14aS,15bS)-","580.302",NA,NA,NA,NA,NA,NA,72766
"573","ACHKKGDWZVCSNH-UHFFFAOYSA-N","CCMSLIB00000078300","Amiloride hydrochloride (Midamor)","230.055",NA,NA,"DTXSID2024452",NA,NA,NA,84743
"575","ACMXQHFNODYQAT-UHFFFAOYSA-N","WA000068","Cyflufenamide","413.24",NA,NA,"DTXSID30431727",NA,NA,NA,81797
"586","ACTIUHUUMQJHFO-UPTCCGCDSA-N","VF-NPL-QEHF026957","Ubidecarenone","880.717712402344",862.683911368,"HMDB0001072","DTXSID6046054",NA,"FDB013228","Coenzyme Q10",46245
"587","ACTIUHUUMQJHFO-UPTCCGCDSA-N","VF-NPL-QEHF026955","Ubidecarenone","901.647033691406",862.683911368,"HMDB0001072","DTXSID6046054",NA,"FDB013228","Coenzyme Q10",46245
"588","ACTIUHUUMQJHFO-UPTCCGCDSA-N","VF-NPL-QEHF026951","Ubidecarenone","885.673095703125",862.683911368,"HMDB0001072","DTXSID6046054",NA,"FDB013228","Coenzyme Q10",46245
"589","ACTIUHUUMQJHFO-UPTCCGCDSA-N","O=C1C(OC)=C(OC)C(=O)C(=C1C)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C","Ubidecarenone","863.691162109375",862.683911368,"HMDB0001072","DTXSID6046054",NA,"FDB013228","Coenzyme Q10",46245
"597","ACTIUHUUMQJHFO-UPTCCGCDSA-N","COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O","Coenzyme Q10; FAB-EBEB; MS2; m/z","869.699367",862.683911368,"HMDB0001072","DTXSID6046054",NA,"FDB013228","Coenzyme Q10",46245
"613","ACVGWSKVRYFWRP-UHFFFAOYSA-N","O=C1C=2C=CC=CC2N=C3C=4NC=5C=CC=CC5C4CCN13","Rutaecarpine","310.09",287.105862053,"HMDB0042010","DTXSID00232884",NA,NA,NA,NA
"616","ACVGWSKVRYFWRP-UHFFFAOYSA-N","O=C1C=2C=CC=CC2N=C3C=4NC=5C=CC=CC5C4CCN13","Rutaecarpine","288.11",287.105862053,"HMDB0042010","DTXSID00232884",NA,NA,NA,NA
"676","ACWBBAGYTKWBCD-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS105501","3-Chloro-L-tyrosine hydrochloride","216.21",215.034920898,"HMDB0001885",NA,NA,"FDB022723",NA,NA
"695","ACWBBAGYTKWBCD-ZETCQYMHSA-N","MSBNK-RIKEN-PR100422","3-Chloro-L-tyrosine","216.04272",215.034922,NA,NA,NA,NA,"3-Chlorotyrosine",53678
"715","ACWBQPMHZXGDFX-QFIPXVFZSA-N","EA258301","Valsartan","436.2343",435.227039819,"HMDB0014323",NA,NA,NA,"Valsartan",9927
"771","ACWBQPMHZXGDFX-QFIPXVFZSA-N","O=C(O)C(N(C(=O)CCCC)CC1=CC=C(C=C1)C2=CC=CC=C2C=3N=NNN3)C(C)C","Valsartan (Diovan)","458.216",435.227039819,"HMDB0014323",NA,NA,NA,"Valsartan",9927
"804","ACXLVKYMISNUFD-UHFFFAOYSA-N","O=CC1(C)CCCC2(C)C1CCC34CC(CO)C(CCC32)C4","14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0?,??.0?,?]hexadecane-5-carbaldehyde","305.247497558594",304.240230268,"HMDB0036721",NA,NA,"FDB015658",NA,NA
"805","ACXLVKYMISNUFD-UHFFFAOYSA-N","O=CC1(C)CCCC2(C)C1CCC34CC(CO)C(CCC32)C4","14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0?,??.0?,?]hexadecane-5-carbaldehyde","343.203369140625",304.240230268,"HMDB0036721",NA,NA,"FDB015658",NA,NA
"806","ACXLVKYMISNUFD-UHFFFAOYSA-N","O=CC1(C)CCCC2(C)C1CCC34CC(CO)C(CCC32)C4","14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0?,??.0?,?]hexadecane-5-carbaldehyde","322.274047851562",304.240230268,"HMDB0036721",NA,NA,"FDB015658",NA,NA
"809","ACXLVKYMISNUFD-UHFFFAOYSA-N","VF-NPL-QEHF004976","14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0¹,¹⁰.0⁴,⁹]hexadecane-5-carbaldehyde","327.229431152344",304.240230268,"HMDB0036721",NA,NA,"FDB015658",NA,NA
"829","ADCBKYIHQQCFHE-UHFFFAOYSA-N","MSBNK-UFZ-UA003301","N,N`-dimethyl-N,N`-diphenylurea","241.1335",NA,NA,"DTXSID3044964",NA,NA,NA,NA
"836","ADEBPBSSDYVVLD-UHFFFAOYNA-N","O=C1C2=CC(OC)=C(OC)C=C2CC1CC3CCN(CC=4C=CC=CC4)CC3","Donepezil","380.22202025017",379.214743799,NA,NA,"T3D2910",NA,NA,NA
"838","ADEBPBSSDYVVLD-UHFFFAOYSA-N","FiehnHILIC000319","Donepezil","380.2216",379.214743799,"HMDB0005041","DTXSID8048317",NA,"FDB023607",NA,53289
"842","ADFCQWZHKCXPAJ-GFCCVEGCSA-N","OC1=CC=C(C=C1)C2COC3=CC(O)=CC=C3C2","(S)-3-(4-hydroxyphenyl)chroman-7-ol","243.1",242.094294314,"HMDB0002209","DTXSID0022309","T3D3962","FDB021824","Equol",NA
"843","ADFCQWZHKCXPAJ-GFCCVEGCSA-N","OC1=CC=C(C=C1)C2COC3=CC(O)=CC=C3C2","(S)-3-(4-hydroxyphenyl)chroman-7-ol","265.08",242.094294314,"HMDB0002209","DTXSID0022309","T3D3962","FDB021824","Equol",NA
"906","ADFCQWZHKCXPAJ-UHFFFAOYSA-N","FiehnHILIC001916","Equol","243.1014",242.094294311,"HMDB0243678","DTXSID7058705",NA,NA,NA,NA
"908","ADFIQZBYNGPCGY-HTJQZXIKSA-N","AC000390","3-Acetyldeoxynivalenol","321.1327",NA,NA,NA,NA,NA,NA,146195
"910","ADFIQZBYNGPCGY-HTJQZXIKSA-N","AC000386","3-Acetyldeoxynivalenol","339.1433",NA,NA,NA,NA,NA,NA,146195
"928","ADFIQZBYNGPCGY-UHFFFAOYSA-N","MSBNK-HBM4EU-HB004033","3 Acetyldeoxynivalenol","339.1438",338.136553058,"HMDB0036137",NA,NA,"FDB014986",NA,NA
"936","ADFXKUOMJKEIND-UHFFFAOYSA-N","MSJ00195","Dicyclohexylurea","225.1961",224.188863401,"HMDB0244166","DTXSID3062366",NA,NA,NA,NA
"945","ADIMAYPTOBDMTL-UHFFFAOYNA-N","ClC=1C=CC=2N=C(O)C(O)N=C(C=3C=CC=CC3)C2C1","Oxazepam","287.05818175217",286.050905313,NA,NA,"T3D2909",NA,NA,NA
"962","ADIMAYPTOBDMTL-UHFFFAOYSA-N","MSBNK-Eawag-EA274312","Oxazepam","287.0582",286.050905313,"HMDB0014980","DTXSID1021087",NA,NA,"Oxazepam",7823
"1033","ADNCDMHZHONBRR-UHFFFAOYSA-N","O=C1C(OC)=C(OC=2C=C(OC)C(OC)=C(O)C12)C=3C=CC(OC)=CC3","5-hydroxy-3,6,7-trimethoxy-2-(4-methoxyphenyl)-4H-chromen-4-one","359.112",NA,NA,"DTXSID20163823",NA,NA,NA,NA
"1036","ADPBTBPPIIKLEH-UHFFFAOYSA-N","CCMSLIB00000846178","NCGC00180762-02!2-(4,5-dihydroxy-2-methylphenyl)-6-hydroxy-4-methoxybenzoic acid","291.086",NA,NA,NA,NA,NA,NA,141340
"1037","ADPBTBPPIIKLEH-UHFFFAOYSA-N","O=C(O)C1=C(O)C=C(OC)C=C1C=2C=C(O)C(O)=CC2C","altenusin","308.112854003906",NA,NA,NA,NA,NA,NA,141340
"1040","ADPBTBPPIIKLEH-UHFFFAOYSA-N","O=C(O)C1=C(O)C=C(OC)C=C1C=2C=C(O)C(O)=CC2C","altenusin","329.042205810547",NA,NA,NA,NA,NA,NA,141340
"1041","ADPBTBPPIIKLEH-UHFFFAOYSA-N","VF-NPL-QEHF024505","altenusin","313.068237304688",NA,NA,NA,NA,NA,NA,141340
"1064","ADSALMJPJUKESW-YFKPBYRVSA-N","OC(=O)C[C@@H]1CCCN1","L-beta-Homoproline","130.0862551",129.078978598,"HMDB0029444",NA,NA,NA,NA,NA
"1082","ADTDBAKUQAKBGZ-VXJIXCKJSA-N","O=C1C[C@@H]2OCC=C3CN4(=O)CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1C1=CC=CC=C61","Strychnine_N_Oxide; LC-ESI-QTOF; MS2; CE","351.170319",NA,NA,NA,NA,NA,NA,132703
"1098","ADVGKWPZRIDURE-UHFFFAOYSA-N","OC=1C=CC=CC1N=C(O)C","2-hydroxyacetanilide","190.038135663201",151.063328537,"HMDB0061919","DTXSID8022082",NA,"FDB093735",NA,143107
"1099","ADVGKWPZRIDURE-UHFFFAOYSA-N","OC=1C=CC=CC1N=C(O)C","2-hydroxyacetanilide","174.052536010742",151.063328537,"HMDB0061919","DTXSID8022082",NA,"FDB093735",NA,143107
"1101","ADVGKWPZRIDURE-UHFFFAOYSA-N","CCMSLIB00005721076","N-(2-hydroxyphenyl)acetamide","152.07",151.063328537,"HMDB0061919","DTXSID8022082",NA,"FDB093735",NA,143107
"1107","ADVGKWPZRIDURE-UHFFFAOYSA-N","OC=1C=CC=CC1N=C(O)C","2-hydroxyacetanilide","169.097152709961",151.063328537,"HMDB0061919","DTXSID8022082",NA,"FDB093735",NA,143107
"1133","ADVPTQAUNPRNPO-REOHCLBHSA-N","MoNA031946","3-SULFINO-ALANINE","154.0168547",153.009578407,"HMDB0000996",NA,NA,NA,"3-Sulfino-alanine",16345
"1167","ADWTYURAFSWNSU-UHFFFAOYSA-N","AU259104","Imidacloprid-urea","212.0585",NA,NA,"DTXSID1037563",NA,NA,NA,83544
"1236","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","VF-NPL-QTOF008410","Mangiferin","423.0926",422.0849114,"HMDB0302730","DTXSID60197263",NA,"FDB005974","Mangiferin",6682
"1241","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","O=C1C2=CC(O)=C(O)C=C2OC3=CC(O)=C(C(O)=C13)C4OC(CO)C(O)C(O)C4O","Mangiferin","445.089703369141",422.0849114,"HMDB0302730","DTXSID60197263",NA,"FDB005974","Mangiferin",6682
"1262","AEFPCFUCFQBXDQ-UHFFFAOYSA-N","PR310572","Convolvamine","306.16998",NA,NA,"DTXSID50329455",NA,NA,NA,NA
"1277","AEKQMJRJRAHOAP-CYBMUJFWSA-N","LU039303","Fabesetron","294.1601",NA,NA,"DTXSID2048169",NA,NA,NA,31588
"1289","AEMFNILZOJDQLW-QAGGRKNESA-N","MSBNK-LCSB-LU039603","4-Androstene-3,17-dione","287.2006",286.193280076,"HMDB0000053","DTXSID8024523","T3D4240","FDB030678","Androstenedione",16422
"1325","AEMFNILZOJDQLW-UHFFFAOYSA-N","SM873201","4-Androstene-3,17-dione","287.2006",286.193280076,"HMDB0247882",NA,NA,"FDB021807",NA,NA
"1328","AEMFNILZOJDQLW-WFZCBACDSA-N","C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CCC2=O","Androstenedione; LC-APPI-QQ; MS2; CE","287.200557",NA,NA,"DTXSID40424100",NA,NA,NA,NA
"1354","AEMOLEFTQBMNLQ-UHFFFAOYSA-N","CCMSLIB00000577932","D-GLUCURONOLACTONE","177.04",194.042652662,"HMDB0247881",NA,NA,NA,NA,NA
"1365","AEOCXXJPGCBFJA-UHFFFAOYSA-N","LU104505","Ethionamide","167.0637",166.05646902,"HMDB0014747","DTXSID0020577",NA,NA,NA,4885
"1377","AEQDJSLRWYMAQI-KRWDZBQOSA-N","O(C1=CC=C2C(=C1OC)CN3CCC4=CC(OC)=C(OC)C=C4C3C2)C","D-Tetrahydropalmatine","356.18",355.178358,NA,NA,NA,NA,"Tetrahydropalmatine",16563
"1378","AEQDJSLRWYMAQI-KRWDZBQOSA-N","O(C1=CC=C2C(=C1OC)CN3CCC4=CC(OC)=C(OC)C=C4C3C2)C","D-Tetrahydropalmatine","378.16",355.178358,NA,NA,NA,NA,"Tetrahydropalmatine",16563
"1419","AEQDJSLRWYMAQI-QGZVFWFLSA-N","MSBNK-NaToxAq-NA003237","Tetrahydropalmatin","356.1856",NA,NA,"DTXSID80359548",NA,NA,NA,NA
"1460","AEQDJSLRWYMAQI-UHFFFAOYSA-N","O(C1=CC=C2C(=C1OC)CN3CCC4=CC(OC)=C(OC)C=C4C3C2)C","Tetrahydropalmatine","378.16",355.178358289,"HMDB0250799",NA,NA,NA,NA,NA
"1461","AEQDJSLRWYMAQI-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO004162","Tetrahydropalmatine","356",355.178358289,"HMDB0250799",NA,NA,NA,NA,NA
"1504","AEQDJSLRWYMAQI-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO009286","Tetrahydropalmatine","356/150",355.178358289,"HMDB0250799",NA,NA,NA,NA,NA
"1566","AERBNCYCJBRYDG-KSZLIROESA-N","EMBL-MCF_spec322174","D-ribo-Phytosphingosine","340.282801670494",317.292994119,"HMDB0004610","DTXSID80203951",NA,"FDB023381","Phytosphingosine",46961
"1567","AERBNCYCJBRYDG-KSZLIROESA-N","EMBL-MCF_spec322112","D-ribo-Phytosphingosine","318.301115387113",317.292994119,"HMDB0004610","DTXSID80203951",NA,"FDB023381","Phytosphingosine",46961
"1574","AERBNCYCJBRYDG-UHFFFAOYSA-N","MSBNK-RIKEN-PR310832","Phytosphingosine (not validated, isomer of 1696)","318.2994",317.29299412,"HMDB0304183","DTXSID80289957",NA,"FDB030507",NA,NA
"1580","AETKQQBRKSELEL-ZHACJKMWSA-N","O=C(C=CC=1C=CC=CC1)C=2C=CC=CC2O","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","225.091",NA,NA,NA,NA,NA,NA,27916
"1592","AEUTYOVWOVBAKS-UHFFFAOYSA-N","HB002781","Ethambutol","205.1911",204.183778021,"HMDB0259079",NA,NA,NA,NA,NA
"1710","AEUTYOVWOVBAKS-UWVGGRQHSA-N","MSBNK-Eawag-EA278204","Ethambutol","205.1911",204.183778022,"HMDB0014474","DTXSID8023006",NA,NA,"Ethambutol",4877
"1838","AEWHYWSPVRZHCT-NDZSKPAWSA-N","PR100154","Isobutyryl coenzyme A","838.16487",837.157073179,"HMDB0001243",NA,NA,"FDB022508","Isobutyryl-CoA",15479
"1844","AEWHYWSPVRZHCT-NNYIDDMCSA-N","CC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12","Isobutyryl coenzyme A (C4:0) lithium salt","838.1643516",837.157073179,NA,NA,NA,"FDB022419",NA,NA
"1854","AEXBRBWRPNGGEZ-FKBYEOEOSA-N","CCMSLIB00005723547","16-methoxy-tabersonine","366.194",NA,NA,NA,NA,NA,NA,769
"1855","AEXJMQYVIPHZDJ-UHFFFAOYSA-N","CCMSLIB00000848936","NCGC00384593-01![3-hydroxy-3-methyl-1-(7-oxofuro[3,2-g]chromen-9-yl)oxybutan-2-yl] 3-methylbutanoate","389.159",388.152203122,"HMDB0039059",NA,NA,"FDB018557",NA,NA
"1856","AEXJMQYVIPHZDJ-UHFFFAOYSA-N","O=C1OC2=C(OCC(OC(=O)CC(C)C)C(O)(C)C)C=3OC=CC3C=C2C=C1","NCGC00384593-01![3-hydroxy-3-methyl-1-(7-oxofuro[3,2-g]chromen-9-yl)oxybutan-2-yl] 3-methylbutanoate","371.148",388.152203122,"HMDB0039059",NA,NA,"FDB018557",NA,NA
"1858","AEXJMQYVIPHZDJ-UHFFFAOYSA-N","CCMSLIB00000848938","NCGC00384593-01![3-hydroxy-3-methyl-1-(7-oxofuro[3,2-g]chromen-9-yl)oxybutan-2-yl] 3-methylbutanoate","406.186",388.152203122,"HMDB0039059",NA,NA,"FDB018557",NA,NA
"1865","AEXJMQYVIPHZDJ-UHFFFAOYSA-N","CCMSLIB00005722563","NCGC00384593-01![3-hydroxy-3-methyl-1-(7-oxofuro[3,2-g]chromen-9-yl)oxybutan-2-yl] 3-methylbutanoate [IIN-based on: CCMSLIB00000848938]","427.115",388.152203122,"HMDB0039059",NA,NA,"FDB018557",NA,NA
"1868","AEXJMQYVIPHZDJ-UHFFFAOYSA-N","CCMSLIB00005722564","NCGC00384593-01![3-hydroxy-3-methyl-1-(7-oxofuro[3,2-g]chromen-9-yl)oxybutan-2-yl] 3-methylbutanoate [IIN-based on: CCMSLIB00000848938]","799.293",388.152203122,"HMDB0039059",NA,NA,"FDB018557",NA,NA
"1872","AFAIELJLZYUNPW-UHFFFAOYSA-N","LU022902","C.I. Basic Red 9","288.1495",NA,NA,"DTXSID5043845",NA,NA,NA,75372
"1885","AFBPFSWMIHJQDM-UHFFFAOYSA-N","KO003448","N-Methylaniline","108",107.073499293,"HMDB0255185","DTXSID9021841",NA,"FDB003963","N-Methylaniline",15733
"1904","AFCDXKGLUDDXCK-UHFFFAOYSA-N","PR310911","Flavonol base + 4O, 1MeO, O-Hex","495.1129",494.10604079,"HMDB0303788",NA,NA,"FDB021682",NA,NA
"1906","AFCGFAGUEYAMAO-UHFFFAOYSA-N","AU214501","Acamprosate","182.0482",181.040878535,"HMDB0014797","DTXSID3044259","T3D2853",NA,"Acamprosate",51041
"1927","AFCGFAGUEYAMAO-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU214530","Acamprosate","204.0301",181.040878535,"HMDB0014797","DTXSID3044259","T3D2853",NA,"Acamprosate",51041
"1969","AFDXODALSZRGIH-QPJJXVBHSA-N","CCMSLIB00004684189","p-MeOCinnamicAcid","179.195",178.062994186,"HMDB0002040","DTXSID1046059",NA,"FDB002667",NA,NA
"1992","AFDXODALSZRGIH-QPJJXVBHSA-N","COC1=CC=C(\C=C\C(O)=O)C=C1","4-Methoxycinnamic acid; LC-ESI-QTOF; MS2; CE","161.059706",178.062994186,"HMDB0002040","DTXSID1046059",NA,"FDB002667",NA,NA
"1995","AFDXODALSZRGIH-UHFFFAOYSA-N","PR311092","Methoxycinnamic acid","179.0707",178.062994182,"HMDB0246971","DTXSID4048147",NA,NA,"4-Methoxycinnamic acid",48541
"1998","AFENDNXGAFYKQO-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS021901","DL-alpha-Hydroxybutyric acid barium salt","105.06",104.047344122,NA,"DTXSID8041903",NA,"FDB021867","2-Hydroxybutyric acid",1148
"2002","AFENDNXGAFYKQO-VKHMYHEASA-N","CC[C@H](O)C(O)=O","HydroxyButyric acid","105.0546206",104.047344118,"HMDB0000008",NA,NA,NA,"2S-Hydroxybutyric acid",50613
"2007","AFHJQYHRLPMKHU-CGISPIQUSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin(mixture of A&B)","419.13",418.126385,NA,NA,NA,NA,"Aloin",73222
