"","inchikey","id","name","precursormz","CHEBI_ID"
"286","ABTRFGSPYXCGMR-AXXBKCDFSA-N","CC(C)=CCC\C(C)=C\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C","Rubixanthin; FAB-EBEB; MS2; m/z","552.432568",8907
"287","ABTRFGSPYXCGMR-AXXBKCDFSA-N","MSBNK-Kyoto_Univ-CA000100","Rubixanthin","552.43",8907
"288","ABVCUBUIXWJYSE-GQUPQBGVSA-O","MSBNK-RIKEN-PR302639","Pelargonidin-3-O-glucoside","433.1123747",31967
"314","ABVCUBUIXWJYSE-GQUPQBGVSA-O","PT104290","Callistephin Chloride","433.11344",31967
"335","ABXZOXDTHTTZJW-GFCCVEGCSA-N","OC1=CC=C(C=C1O)CC2NCCC3=CC(O)=C(O)C=C32","(R)-1-(3,4-dihydroxybenzyl)-1,2,3,4-tetrahydroisoquinoline-6,7-diol","310.11",27702
"336","ABXZOXDTHTTZJW-GFCCVEGCSA-N","OC1=CC=C(C=C1O)CC2NCCC3=CC(O)=C(O)C=C32","(R)-1-(3,4-dihydroxybenzyl)-1,2,3,4-tetrahydroisoquinoline-6,7-diol","288.12",27702
"397","ABXZOXDTHTTZJW-UHFFFAOYSA-N","MSBNK-MPI_for_Chemical_Ecology-CE000103","Tetrahydropapaveroline","288.12303",28770
"428","ACGDKVXYNVEAGU-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO003245","Ismelin","199",5557
"438","ACGHJVZDNQZJOV-BMOJZYMJSA-N","CCMSLIB00000850804","NCGC00180170-02_C32H41N3O7_5H,12H-3,4-Dioxa-5a,11a,15a-triazacyclooct[lm]indeno[5,6-b]fluorene-11,15(2H,13H)-dione, 1,10,10a,14,14a,15b-hexahydro-10a-hydroxy-7-methoxy-2,2-dimethyl-10-[(3-methyl-2-buten-1-yl)oxy]-5-(2-methyl-1-propen-1-yl)-, (5R,10S,10aR,14aS,15bS)-","602.284",72766
"439","ACGHJVZDNQZJOV-BMOJZYMJSA-N","CCMSLIB00000850801","NCGC00180170-02_C32H41N3O7_5H,12H-3,4-Dioxa-5a,11a,15a-triazacyclooct[lm]indeno[5,6-b]fluorene-11,15(2H,13H)-dione, 1,10,10a,14,14a,15b-hexahydro-10a-hydroxy-7-methoxy-2,2-dimethyl-10-[(3-methyl-2-buten-1-yl)oxy]-5-(2-methyl-1-propen-1-yl)-, (5R,10S,10aR,14aS,15bS)-","562.291",72766
"440","ACGHJVZDNQZJOV-BMOJZYMJSA-N","CCMSLIB00000850798","NCGC00180170-02_C32H41N3O7_5H,12H-3,4-Dioxa-5a,11a,15a-triazacyclooct[lm]indeno[5,6-b]fluorene-11,15(2H,13H)-dione, 1,10,10a,14,14a,15b-hexahydro-10a-hydroxy-7-methoxy-2,2-dimethyl-10-[(3-methyl-2-buten-1-yl)oxy]-5-(2-methyl-1-propen-1-yl)-, (5R,10S,10aR,14aS,15bS)-","580.302",72766
"444","ACHKKGDWZVCSNH-UHFFFAOYSA-N","Cl.O=C(NC(=N)N)C1=NC(Cl)=C(N=C1N)N","Amiloride hydrochloride (Midamor)","230.055",84743
"446","ACMXQHFNODYQAT-UHFFFAOYSA-N","WA000072","Cyflufenamide","413.24",81797
"457","ACTIUHUUMQJHFO-UPTCCGCDSA-N","VF-NPL-QEHF026950","Ubidecarenone","885.673095703125",46245
"458","ACTIUHUUMQJHFO-UPTCCGCDSA-N","VF-NPL-QEHF026957","Ubidecarenone","880.717712402344",46245
"459","ACTIUHUUMQJHFO-UPTCCGCDSA-N","COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O","Coenzyme Q10; FAB-EBEB; MS2; m/z","869.699367",46245
"460","ACTIUHUUMQJHFO-UPTCCGCDSA-N","O=C1C(OC)=C(OC)C(=O)C(=C1C)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C","Ubidecarenone","863.691162109375",46245
"462","ACTIUHUUMQJHFO-UPTCCGCDSA-N","VF-NPL-QEHF026953","Ubidecarenone","901.647033691406",46245
"480","ACTIUHUUMQJHFO-UPTCCGCDSA-N","MSBNK-Kyoto_Univ-CA000184","Coenzyme Q10","869.70",46245
"483","ACWBBAGYTKWBCD-ZETCQYMHSA-N","N[C@@H](CC1=CC(Cl)=C(O)C=C1)C(O)=O","3-Chloro-L-tyrosine","216.0421974",53678
"485","ACWBBAGYTKWBCD-ZETCQYMHSA-N","PT110550","3-Chloro-L-tyrosine hydrochloride","216.04272",53678
"503","ACWBQPMHZXGDFX-QFIPXVFZSA-N","EA258312","Valsartan","436.2343",9927
"524","ACWBQPMHZXGDFX-QFIPXVFZSA-N","FiehnHILIC002407","Valsartan","436.2349",9927
"545","ACWBQPMHZXGDFX-QFIPXVFZSA-N","CCMSLIB00000078330","Valsartan (Diovan)","458.216",9927
"593","ADEBPBSSDYVVLD-UHFFFAOYSA-N","FiehnHILIC000319","Donepezil","380.2216",53289
"597","ADFIQZBYNGPCGY-HTJQZXIKSA-N","MSBNK-AAFC-AC000382","3-Acetyldeoxynivalenol","339.1433",146195
"599","ADFIQZBYNGPCGY-HTJQZXIKSA-N","MSBNK-AAFC-AC000391","3-Acetyldeoxynivalenol","321.1327",146195
"618","ADIMAYPTOBDMTL-UHFFFAOYSA-N","LU079904","Oxazepam","287.0582",7823
"643","ADIMAYPTOBDMTL-UHFFFAOYSA-N","FiehnHILIC002210","Oxazepam","287.0591",7823
"689","ADPBTBPPIIKLEH-UHFFFAOYSA-N","O=C(O)C1=C(O)C=C(OC)C=C1C=2C=C(O)C(O)=CC2C","altenusin","308.112854003906",141340
"690","ADPBTBPPIIKLEH-UHFFFAOYSA-N","O=C(O)C1=C(O)C=C(OC)C=C1C=2C=C(O)C(O)=CC2C","altenusin","291.086303710938",141340
"693","ADPBTBPPIIKLEH-UHFFFAOYSA-N","O=C(O)C1=C(O)C=C(OC)C=C1C=2C=C(O)C(O)=CC2C","altenusin","290.92148844401",141340
"694","ADPBTBPPIIKLEH-UHFFFAOYSA-N","VF-NPL-QEHF024507","altenusin","313.068237304688",141340
"696","ADPBTBPPIIKLEH-UHFFFAOYSA-N","O=C(O)C1=C(O)C=C(OC)C=C1C=2C=C(O)C(O)=CC2C","altenusin","329.042205810547",141340
"717","ADTDBAKUQAKBGZ-VXJIXCKJSA-N","MSBNK-Univ_Connecticut-CO000419","Strychnine_N_Oxide","351.17098",132703
"722","ADTDBAKUQAKBGZ-VXJIXCKJSA-N","O=C1C[C@@H]2OCC=C3CN4(=O)CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1C1=CC=CC=C61","Strychnine_N_Oxide; LC-ESI-QTOF; MS2; CE","351.170319",132703
"731","ADVGKWPZRIDURE-UHFFFAOYSA-N","VF-NPL-QEHF021080","2-hydroxyacetanilide","190.026489257812",143107
"732","ADVGKWPZRIDURE-UHFFFAOYSA-N","VF-NPL-QEHF021083","2-hydroxyacetanilide","169.097152709961",143107
"734","ADVGKWPZRIDURE-UHFFFAOYSA-N","OC=1C=CC=CC1N=C(O)C","2-hydroxyacetanilide","174.052536010742",143107
"738","ADVGKWPZRIDURE-UHFFFAOYSA-N","VF-NPL-QEHF021072","2-hydroxyacetanilide","152.070602416992",143107
"755","ADVGKWPZRIDURE-UHFFFAOYSA-N","OC=1C=CC=CC1N=C(O)C","2-hydroxyacetanilide","190.038135663201",143107
"761","ADVGKWPZRIDURE-UHFFFAOYSA-N","CCMSLIB00005721076","N-(2-hydroxyphenyl)acetamide","152.07",143107
"766","ADVPTQAUNPRNPO-REOHCLBHSA-N","MSBNK-Keio_Univ-KO002535","Cysteine sulfinate","154",16345
"767","ADVPTQAUNPRNPO-REOHCLBHSA-N","MoNA037106","3-SULFINO-ALANINE","154.0168547",16345
"768","ADVPTQAUNPRNPO-REOHCLBHSA-N","O=C(O)C(N)CS(=O)O","3-SULFINO-L-ALANINE","154.02",16345
"800","ADWTYURAFSWNSU-UHFFFAOYSA-N","MSBNK-HBM4EU-HB002863","Imidacloprid-urea","212.0591",83544
"868","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","VF-NPL-QTOF008410","Mangiferin","423.0926",6682
"869","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","VF-NPL-QTOF008411","Mangiferin","445.0742",6682
"874","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","CCMSLIB00000848073","NCGC00384833-01!1,3,6,7-tetrahydroxy-2-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]xanthen-9-one","423.092",6682
"879","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","VF-NPL-LTQ006685","Mangiferin","445.089703369141",6682
"880","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","O=C1C2=CC(O)=C(O)C=C2OC3=CC(O)=C(C(O)=C13)C4OC(CO)C(O)C(O)C4O","Mangiferin","423.09",6682
"894","AEKQMJRJRAHOAP-CYBMUJFWSA-N","MSBNK-LCSB-LU039306","Fabesetron","294.1601",31588
"906","AEMFNILZOJDQLW-QAGGRKNESA-N","LU039604","4-Androstene-3,17-dione","287.2006",16422
"936","AEMFNILZOJDQLW-QAGGRKNESA-N","FiehnHILIC000193","Androstenedione","287.2002",16422
"957","AEOCXXJPGCBFJA-UHFFFAOYSA-N","LU104506","Ethionamide","167.0637",4885
"969","AEQDJSLRWYMAQI-KRWDZBQOSA-N","O(C1=CC=C2C(=C1OC)CN3CCC4=CC(OC)=C(OC)C=C4C3C2)C","D-Tetrahydropalmatine","378.16",16563
"970","AEQDJSLRWYMAQI-KRWDZBQOSA-N","O(C1=CC=C2C(=C1OC)CN3CCC4=CC(OC)=C(OC)C=C4C3C2)C","D-Tetrahydropalmatine","356.18",16563
"985","AEQDJSLRWYMAQI-KRWDZBQOSA-N","CCMSLIB00005720184","Tetrahydropalmatine","356.189",16563
"1011","AERBNCYCJBRYDG-KSZLIROESA-N","FiehnHILIC002257","Phytosphingosine","318.3003",46961
"1012","AERBNCYCJBRYDG-KSZLIROESA-N","EMBL-MCF_spec322118","D-ribo-Phytosphingosine","340.283086165655",46961
"1014","AERBNCYCJBRYDG-KSZLIROESA-N","EMBL-MCF_spec322108","D-ribo-Phytosphingosine","318.301028807599",46961
"1019","AETKQQBRKSELEL-ZHACJKMWSA-N","O=C(C=CC=1C=CC=CC1)C=2C=CC=CC2O","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","225.091",27916
"1031","AEUTYOVWOVBAKS-UWVGGRQHSA-N","HB002339","Ethambutol","205.1911",4877
"1159","AEWHYWSPVRZHCT-NDZSKPAWSA-N","PR100154","Isobutyryl coenzyme A","838.16487",15479
"1163","AEWHYWSPVRZHCT-NDZSKPAWSA-N","CC(C)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12","Isobutyryl coenzyme A; LC-ESI-QTOF; MS2; CE","838.16435",15479
"1165","AEXBRBWRPNGGEZ-FKBYEOEOSA-N","CCMSLIB00005723547","16-methoxy-tabersonine","366.194",769
"1166","AFAIELJLZYUNPW-UHFFFAOYSA-N","MSBNK-LCSB-LU022906","C.I. Basic Red 9","288.1495",75372
"1178","AFBPFSWMIHJQDM-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO003449","N-Methylaniline","108",15733
"1179","AFBPFSWMIHJQDM-UHFFFAOYSA-N","FiehnHILIC000577","N-Methylaniline","108.0811",15733
"1195","AFCGFAGUEYAMAO-UHFFFAOYSA-N","AU214501","Acamprosate","182.0482",51041
"1232","AFCGFAGUEYAMAO-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU214530","Acamprosate","204.0301",51041
"1257","AFDXODALSZRGIH-UHFFFAOYSA-N","PR311092","Methoxycinnamic acid","179.0707",48541
"1259","AFDXODALSZRGIH-UHFFFAOYSA-N","COC1=CC=C(C=C1)C=CC(=O)O","4-Methoxycinnamic acid","179.07027063417",48541
"1262","AFENDNXGAFYKQO-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS021901","DL-alpha-Hydroxybutyric acid barium salt","105.06",1148
"1264","AFENDNXGAFYKQO-VKHMYHEASA-N","CC[C@H](O)C(O)=O","HydroxyButyric acid","105.0546206",50613
"1269","AFHJQYHRLPMKHU-CGISPIQUSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin(mixture of A&B)","441.11",73222
"1271","AFHJQYHRLPMKHU-CGISPIQUSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin(mixture of A&B)","419.13",73222
"1377","AFHJQYHRLPMKHU-OSYMLPPYSA-N","NA001539","Aloin A","419.1337",2991
"1378","AFHJQYHRLPMKHU-OSYMLPPYSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin A","419.13",2991
"1379","AFHJQYHRLPMKHU-OSYMLPPYSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin A","441.11",2991
"1577","AFHJQYHRLPMKHU-WEZNYRQKSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin","441.115600585938",74131
"1578","AFHJQYHRLPMKHU-WEZNYRQKSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin B","441.11",74131
"1580","AFHJQYHRLPMKHU-WEZNYRQKSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin B","419.13",74131
"1581","AFHJQYHRLPMKHU-WEZNYRQKSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin","419.133666992188",74131
"1582","AFHJQYHRLPMKHU-WEZNYRQKSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin","436.160186767578",74131
"1586","AFHJQYHRLPMKHU-WEZNYRQKSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin","457.089538574219",74131
"1625","AFHJQYHRLPMKHU-WEZNYRQKSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin","441.063813634073",74131
"1660","AFOLOMGWVXKIQL-UHFFFAOYSA-O","COC1=CC(=CC(O)=C1O)C1=C(O)C=C2C(O)=CC(O)=CC2=[O+]1","Petunidin","317.0650306",75318
"1661","AFOLOMGWVXKIQL-UHFFFAOYSA-O","MSBNK-RIKEN-PR100450","Petunidin","317.0661",75318
"1666","AFSDNFLWKVMVRB-UHFFFAOYSA-N","O=C1OC2=C(O)C(O)=CC=3C(=O)OC=4C(O)=C(O)C=C1C4C23","Ellagic acid","303.01",4775
"1667","AFSDNFLWKVMVRB-UHFFFAOYSA-N","O=C1OC2=C(O)C(O)=CC=3C(=O)OC=4C(O)=C(O)C=C1C4C23","Ellagic acid","324.99",4775
"1704","AFSDNFLWKVMVRB-UHFFFAOYSA-N","O=C1OC2=C(O)C(O)=CC=3C(=O)OC=4C(O)=C(O)C=C1C4C23","2,3,7,8-tetrahydroxychromeno[5,4,3-cde]chromene-5,10-dione","325",4775
"1760","AFSDNFLWKVMVRB-UHFFFAOYSA-N","NGA02840","ellagic acid","303.013543152",4775
"1891","AFSDNFLWKVMVRB-UHFFFAOYSA-N","VF-NPL-LTQ006215","Ellagic Acid","319.785516103109",4775
"1978","AFSDNFLWKVMVRB-UHFFFAOYSA-N","CCMSLIB00005718894","ellagic_acid","156.97",4775
"2452","AFSHUZFNMVJNKX-LLWMBOQKSA-N","O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)CO)CCCCCCCC=CCCCCCCCC","""1,2-Dioleoyl-rac-glycerol""","620.99",52333
"2453","AFVLVVWMAFSXCK-VMPITWQZSA-N","MSBNK-JEOL_Ltd-JEL00045","alpha-cyano-4-hydroxycinnamic acid","212.03181",64340
"2454","AFVLVVWMAFSXCK-VMPITWQZSA-N","MSBNK-JEOL_Ltd-JEL00044","alpha-cyano-4-hydroxycinnamic acid","190.04987",64340
"2458","AFWOYEYXUDHGHF-UHFFFAOYSA-N","EA292306","Bisperfluorodecyl phosphate","990.9768",83540
"2494","AFYCEAFSNDLKSX-UHFFFAOYSA-N","MSBNK-LCSB-LU043203","7-Diethylamino-4-methylcoumarin","232.1332",51938
"2507","AFYCEAFSNDLKSX-UHFFFAOYSA-N","UA006422","4-methyl-7-diethylaminocoumarin","231.1254",51938
"2510","AFYCEAFSNDLKSX-UHFFFAOYSA-N","MSBNK-UFZ-UA006435","4-methyl-7-diethylaminocoumarin","254.1151",51938
"2527","AFZSMODLJJCVPP-UHFFFAOYSA-N","CCMSLIB00005724334","2,2'-Dithiobisbenzothiazole","332.964",53239
"2528","AGBCLJAHARWNLA-DQUQINEDSA-N","PM007920","Ginsenoside Rg2","785.5024",77151
"2532","AGBQKNBQESQNJD-UHFFFAOYSA-N","O=C(O)CCCCC1SSCC1","5-(1,2-dithiolan-3-yl)pentanoic acid","207.05",16494
"2533","AGBQKNBQESQNJD-UHFFFAOYSA-N","O=C(O)CCCCC1SSCC1","5-(1,2-dithiolan-3-yl)pentanoic acid","229.03",16494
"2581","AGBQKNBQESQNJD-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS021402","Thioctacid","207.19",16494
"2621","AGOYDEPGAOXOCK-KCBOHYOISA-N","AU105305","Clarithromycin","748.4842",3732
"2626","AGOYDEPGAOXOCK-KCBOHYOISA-N","O=C1OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(OC)(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)C(OC3OC(C)C(O)C(OC)(C)C3)C1C)C","CLARITHROMYCIN","770.466",3732
"2657","AGOYDEPGAOXOCK-KCBOHYOISA-N","FiehnHILIC001840","Clarithromycin","748.4893",3732
"2658","AGPKZVBTJJNPAG-CRCLSJGQSA-N","MSBNK-RIKEN-PR100388","D-Alloisoleucine","132.10242",20899
"2675","AGPKZVBTJJNPAG-UHFFFAOYSA-N","PM000924","L-allo-Isoleucine","132",38264
"2676","AGPKZVBTJJNPAG-UHFFFAOYSA-N","MoNA001943","ISOLEUCINE","132.105392456055",38264
"2677","AGPKZVBTJJNPAG-UHFFFAOYSA-N","MSBNK-MPI_for_Chemical_Ecology-CE000609","Isoleucine","132.10191",38264
"2695","AGPKZVBTJJNPAG-UHFFFAOYSA-N","O=C(O)C(N)C(C)CC","L-ISOLEUCINE","132.1",38264
"2702","AGPKZVBTJJNPAG-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS028001","(2S,3S)-2-Amino-3-methylpentanoic acid","132.14",38264
"2709","AGPKZVBTJJNPAG-UHFFFAOYSA-N","PR311151","Isoleucine (not validated)","132.1028",38264
"2716","AGPKZVBTJJNPAG-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS097501","(2R,3S)-2-Amino-3-methylpentanoic acid","132.16",38264
"2730","AGPKZVBTJJNPAG-UHNVWZDZSA-N","MoNA031893","ALLO-ISOLEUCINE","132.1019047",85338
"2750","AGPKZVBTJJNPAG-WHFBIAKZSA-N","KNA00321","L-Isoleucine","132.1",58045
"2752","AGPKZVBTJJNPAG-WHFBIAKZSA-N","MoNA032707","ISOLEUCINE","132.1019047",58045
"2758","AGPKZVBTJJNPAG-WHFBIAKZSA-N","KO003176","Ile","132",58045
"2764","AGPKZVBTJJNPAG-WHFBIAKZSA-N","KNA00322","L-Isoleucine","133.1",58045
"2836","AGPKZVBTJJNPAG-WHFBIAKZSA-N","PM018187","Isoleucine","132.1014",58045
"2902","AGSPXMVUFBBBMO-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO002123","3-Aminopropionitrile","71",27413
"2916","AGZMFTKKLPHOMT-DUJTVWLASA-N","O=C(OC)C1=C2NC=3C=CC=CC3C24CCN5CC(=CC)C1CC54","Akuammicine","323.175",70499
"2918","AHBXXEZLRFCZSF-UHFFFAOYSA-N","MSBNK-Eawag-EA009313","Metribuzin-diketo","185.1033",83448
"2958","AHCYMLUZIRLXAA-SHYZEUOFSA-N","O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","2'-Deoxyuridine-5'-triphosphate sodium salt","468.9808907",17625
"2959","AHCYMLUZIRLXAA-SHYZEUOFSA-N","EMBL-MCF_spec219786","2&#39;-DEOXYURIDINE 5&#39;-TRIPHOSPHATE","468.979516691834",17625
"2963","AHCYMLUZIRLXAA-SHYZEUOFSA-N","EMBL-MCF_spec219787","2&#39;-DEOXYURIDINE 5&#39;-TRIPHOSPHATE","468.979440594289",17625
"2969","AHJKRLASYNVKDZ-UHFFFAOYSA-N","MSBNK-MSSJ-MSJ01049","p,p'-DDD","317.95",27841
"2971","AHLBNYSZXLDEJQ-FWEHEUNISA-N","AU236205","Orlistat","496.3997",94686
"2974","AHLBNYSZXLDEJQ-FWEHEUNISA-N","CCMSLIB00000079004","ORLISTAT","518.382",94686
"2977","AHLBNYSZXLDEJQ-FWEHEUNISA-N","FiehnHILIC002203","Orlistat","496.401",94686
"2984","AHLBNYSZXLDEJQ-FWEHEUNISA-N","CCMSLIB00000005932","Orlistat","534.355",94686
"2989","AHLBNYSZXLDEJQ-FWEHEUNISA-N","O=CNC(C(=O)OC(CCCCCCCCCCC)CC1OC(=O)C1CCCCCC)CC(C)C","MLS002207022-01!ORLISTAT96829-58-2","496.407",94686
"2993","AHLBNYSZXLDEJQ-FWEHEUNISA-N","FiehnHILIC000637","Orlistat","496.3989",94686
"3001","AHLPHDHHMVZTML-BYPYZUCNSA-N","MoNA038570","ORNITHINE","133.0971536",15729
"3002","AHLPHDHHMVZTML-BYPYZUCNSA-N","MSBNK-NAIST-KNA00156","L-Ornithine","265.19",15729
"3005","AHLPHDHHMVZTML-BYPYZUCNSA-N","KNA00426","L-Ornithine","133.1",15729
"3010","AHLPHDHHMVZTML-BYPYZUCNSA-N","KNA00425","L-Ornithine","116.07",15729
"3034","AHLPHDHHMVZTML-BYPYZUCNSA-N","KO003632","L-Ornithine","133",15729
"3061","AHLPHDHHMVZTML-BYPYZUCNSA-N","FiehnHILIC002206","Ornithine","133.0978",15729
"3076","AHLPHDHHMVZTML-SCSAIBSYSA-N","MoNA037133","ORNITHINE","133.0971536",16176
"3077","AHLPHDHHMVZTML-SCSAIBSYSA-N","MSBNK-Keio_Univ-KO003639","D-Ornithine","133",16176
"3098","AHLPHDHHMVZTML-UHFFFAOYSA-N","O=C(O)C(N)CCCN","Ornithine","132.927422632145",18257
"3100","AHLPHDHHMVZTML-UHFFFAOYSA-N","O=C(O)C(N)CCCN","L-ORNITHINE","133.1",18257
"3101","AHLPHDHHMVZTML-UHFFFAOYSA-N","O=C(O)C(N)CCCN","Ornithine","133.097152709961",18257
"3104","AHLPHDHHMVZTML-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS028503","(S)-2,5-Diaminopentanoate","133.14",18257
"3119","AHOUBRCZNHFOSL-YOEHRIQHSA-N","MoNA037605","PAROXETINE","330.1499977",7936
"3120","AHOUBRCZNHFOSL-YOEHRIQHSA-N","FiehnHILIC002227","Paroxetine","330.1519",7936
"3127","AHOUBRCZNHFOSL-YOEHRIQHSA-N","FiehnHILIC000659","Paroxetine","330.1494",7936
"3132","AHTPATJNIAFOLR-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU368805","Thifensulfuron-methyl","388.038",83453
"3144","AHTPATJNIAFOLR-UHFFFAOYSA-N","MSBNK-Waters-WA000223","Thifensulfuron-methyl","388",83453
"3194","AIBOHNYYKWYQMM-MXBSLTGDSA-N","MSBNK-MSSJ-MSJ00143","Torulene","535.42982",9638
"3196","AIFCFBUSLAEIBR-UHFFFAOYSA-N","O=C1C=C(OC2=CC(OC)=CC(O)=C12)C=3C=CC(OC)=C(C3)C4=C(O)C=C(O)C=5C(=O)C=C(OC54)C=6C=CC(O)=CC6","Ginkgetin","589.11",5353
"3198","AIFCFBUSLAEIBR-UHFFFAOYSA-N","O=C1C=C(OC2=CC(OC)=CC(O)=C12)C=3C=CC(OC)=C(C3)C4=C(O)C=C(O)C=5C(=O)C=C(OC54)C=6C=CC(O)=CC6","Ginkgetin","567.13",5353
"3231","AIFRHYZBTHREPW-UHFFFAOYSA-N","MSBNK-RIKEN-PR301852","Norharman","169.0760247",109895
"3236","AIFRHYZBTHREPW-UHFFFAOYSA-N","N=1C=CC2=C(C1)NC=3C=CC=CC32","Norharman","207.03190612793",109895
