"","inchikey","id","name","precursormz","mass","hmdb","dsstox","t3db","foodb","refmet","chebi"
"277","ADIMAYPTOBDMTL-UHFFFAOYNA-N","OC1N=C(C2=CC=CC=C2)C2=C(C=CC(Cl)=C2)N=C1O","Oxazepam; LC-ESI-ITFT; MS2; CE","285.043629",286.050905313,NA,NA,"T3D2909",NA,NA,NA
"291","ADIMAYPTOBDMTL-UHFFFAOYSA-N","LU079956","Oxazepam","285.0436",286.050905313,"HMDB0014980","DTXSID1021087",NA,NA,"Oxazepam",7823
"327","ADNCDMHZHONBRR-UHFFFAOYSA-N","O=C1C(OC)=C(OC=2C=C(OC)C(OC)=C(O)C12)C=3C=CC(OC)=CC3","5-hydroxy-3,6,7-trimethoxy-2-(4-methoxyphenyl)-4H-chromen-4-one","357.095",NA,NA,"DTXSID20163823",NA,NA,NA,NA
"328","ADPBTBPPIIKLEH-UHFFFAOYSA-N","VF-NPL-QTOF006621","altenusin","289.0724",NA,NA,NA,NA,NA,NA,141340
"341","ADSALMJPJUKESW-YFKPBYRVSA-N","PT206120","L-beta-homoproline-HCl","128.07117",129.078978598,"HMDB0029444",NA,NA,NA,NA,NA
"344","ADVGKWPZRIDURE-UHFFFAOYSA-N","VF-NPL-QEHF021073","2-hydroxyacetanilide","150.0560455322266",151.063328537,"HMDB0061919","DTXSID8022082",NA,"FDB093735",NA,143107
"356","ADVPTQAUNPRNPO-REOHCLBHSA-N","MoNA037805","3-SULFINO-ALANINE","152.0023027",153.009578407,"HMDB0000996",NA,NA,NA,"3-Sulfino-alanine",16345
"381","AEDDIBAIWPIIBD-ZJKJAXBQSA-N","O=C1C2=CC(O)=C(O)C=C2OC3=CC(O)=C(C(O)=C13)C4OC(CO)C(O)C(O)C4O","Mangiferin","421.1",422.0849114,"HMDB0302730","DTXSID60197263",NA,"FDB005974","Mangiferin",6682
"393","AEKQMJRJRAHOAP-CYBMUJFWSA-N","LU039354","Fabesetron","292.1455",NA,NA,"DTXSID2048169",NA,NA,NA,31588
"405","AEMOLEFTQBMNLQ-AQKNRBDQSA-N","MSBNK-Keio_Univ-KO000814","Glucuronate","193",194.042652674,NA,NA,NA,"FDB006716","Glucuronic acid",47952
"423","AEMOLEFTQBMNLQ-BKBMJHBISA-N","MoNA023971","GALACTURONATE","193.03535000000002",194.042652674,"HMDB0003363",NA,NA,NA,NA,33885
"424","AEMOLEFTQBMNLQ-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PT211470","(2S,3S,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid","193.03485",194.042652662,"HMDB0247881",NA,NA,NA,NA,NA
"436","AEMOLEFTQBMNLQ-WAXACMCWSA-N","MoNA033873","GLUCURONIC ACID","193.0353767",194.042652674,"HMDB0000127",NA,NA,"FDB021897",NA,42717
"447","AEMOLEFTQBMNLQ-YMDCURPLSA-N","OC1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O","D-(+)-Galacturonic acid","193.0353762",NA,NA,NA,NA,NA,NA,4153
"453","AEMRFAOFKBGASW-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO000834","Glycolate","75",76.016043994,"HMDB0000115","DTXSID0025363","T3D3660","FDB003298","Glycolic acid",17497
"467","AEOCXXJPGCBFJA-UHFFFAOYSA-N","KO000723","Ethionamide","165",166.05646902,"HMDB0014747","DTXSID0020577",NA,NA,NA,4885
"489","AETKQQBRKSELEL-ZHACJKMWSA-N","VF-NPL-QEHF010634","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","223.07644653320307",NA,NA,NA,NA,NA,NA,27916
"506","AEWHYWSPVRZHCT-NDZSKPAWSA-N","PR100575","Isobutyryl coenzyme A","836.14927",837.157073179,"HMDB0001243",NA,NA,"FDB022508","Isobutyryl-CoA",15479
"512","AEWHYWSPVRZHCT-NNYIDDMCSA-N","CC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12","Isobutyryl coenzyme A (C4:0) lithium salt","836.1497986",837.157073179,NA,NA,NA,"FDB022419",NA,NA
"516","AFCDXKGLUDDXCK-UHFFFAOYSA-N","PR309236","Flavonol base + 4O, O-Hex, 1MeO","493.0986",494.10604079,"HMDB0303788",NA,NA,"FDB021682",NA,NA
"518","AFCGFAGUEYAMAO-UHFFFAOYSA-N","EA284856","Acamprosate","180.0336",181.040878535,"HMDB0014797","DTXSID3044259","T3D2853",NA,"Acamprosate",51041
"558","AFDSGPNKWBGVCV-UHFFFAOYSA-N","O=C(O)C=1C(OC)=CC=CC1CCCCCCCCCCCCCCC","2-methoxy-6-pentadecylbenzoic acid","361.274",NA,NA,"DTXSID00310656",NA,NA,NA,NA
"559","AFDXODALSZRGIH-QPJJXVBHSA-N","MSBNK-RIKEN-PR305762","4-Methoxycinnamic acid","177.05571774783",178.062994186,"HMDB0002040","DTXSID1046059",NA,"FDB002667",NA,NA
"578","AFDXODALSZRGIH-UHFFFAOYSA-N","COC1=CC=C(C=CC(O)=O)C=C1","4-Methoxycinnamic acid","177.05571774783",178.062994182,"HMDB0246971","DTXSID4048147",NA,NA,"4-Methoxycinnamic acid",48541
"604","AFENDNXGAFYKQO-UHFFFAOYSA-N","CCMSLIB00000578291","2-HYDROXYBUTYRIC ACID","103.04",104.047344122,NA,"DTXSID8041903",NA,"FDB021867","2-Hydroxybutyric acid",1148
"611","AFENDNXGAFYKQO-VKHMYHEASA-N","CC[C@H](O)C(O)=O","HydroxyButyric acid","103.0400676",104.047344118,"HMDB0000008",NA,NA,NA,"2S-Hydroxybutyric acid",50613
"620","AFFPZJFLSDVZBV-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU233759","2-Trifluoromethyl-benzenesulfonamide","223.9999",NA,NA,"DTXSID80380751",NA,NA,NA,NA
"626","AFHJQYHRLPMKHU-WEZNYRQKSA-N","O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4OC(CO)C(O)C(O)C4O","Aloin","417.119110107422",418.126385,NA,NA,NA,NA,"Aloin B",74131
"632","AFIIBUOYKYSPKB-UHFFFAOYSA-N","MSBNK-LCSB-LU084952","Aziprotryne","224.0724",NA,NA,"DTXSID3041615",NA,NA,NA,NA
"644","AFLNGLSTOJPKJJ-UHFFFAOYSA-N","MSBNK-RIKEN-PR308914","Medicagenic acid base + O-Hex-Hex","825.4238",826.435086064,"HMDB0039290",NA,NA,"FDB018835",NA,NA
"646","AFPHTEQTJZKQAQ-UHFFFAOYSA-N","LU047355","3-nitrobenzoic acid","166.0146",NA,NA,"DTXSID0025737",NA,NA,NA,NA
"658","AFSDNFLWKVMVRB-UHFFFAOYSA-N","O=C1OC2=C(O)C(O)=CC=3C(=O)OC=4C(O)=C(O)C=C1C4C23","Ellagic Acid","300.9990234375",302.006267153,"HMDB0002899","DTXSID2020557",NA,"FDB012575","Ellagic acid",4775
"662","AFSDNFLWKVMVRB-UHFFFAOYSA-N","PM008605","Ellagic acid","257.1",302.006267153,"HMDB0002899","DTXSID2020557",NA,"FDB012575","Ellagic acid",4775
"666","AFSDNFLWKVMVRB-UHFFFAOYSA-N","PM011336","Ellagic acid","302.0063",302.006267153,"HMDB0002899","DTXSID2020557",NA,"FDB012575","Ellagic acid",4775
"674","AFVFQIVMOAPDHO-UHFFFAOYSA-N","KO001358","Methanesulfonate","95",95.988114684,"HMDB0240280","DTXSID4026422",NA,"FDB098394","Methanesulfonic acid",27376
"699","AFWOYEYXUDHGHF-UHFFFAOYSA-N","O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","8:2 Fluorotelomer phosphate diester","988.96228028",NA,NA,"DTXSID90218051",NA,NA,NA,83540
"700","AGBCLJAHARWNLA-DQUQINEDSA-N","PM011415","Ginsenoside Rg2","785.03",NA,NA,NA,NA,NA,NA,77151
"701","AGBCLJAHARWNLA-DQUQINEDSA-N","PM003115","Ginsenoside Rg2","783",NA,NA,NA,NA,NA,NA,77151
"702","AGBCLJAHARWNLA-UHFFFAOYSA-N","MSBNK-RIKEN-PR305382","Ginsenoside Rg2","829.49549525183",784.49729239,"HMDB0035395",NA,NA,"FDB014070",NA,NA
"703","AGBCLJAHARWNLA-UHFFFAOYSA-N","MSBNK-RIKEN-PR305381","Ginsenoside Rg2","783.49001594783",784.49729239,"HMDB0035395",NA,NA,"FDB014070",NA,NA
"729","AGBQKNBQESQNJD-SSDOTTSWSA-N","MoNA035149","ALPHA-LIPOIC ACID","205.0362457",206.043521072,"HMDB0001451","DTXSID20152651",NA,"FDB022631","Lipoic acid",30314
"735","AGBQKNBQESQNJD-UHFFFAOYNA-N","O=C(O)CCCCC1SSCC1","Lipoic acid","205.03624558683",206.043521072,NA,NA,"T3D2702",NA,NA,NA
"739","AGBQKNBQESQNJD-UHFFFAOYSA-N","BML01306","DL-Thioctic acid","205.0362",206.043521072,"HMDB0251530","DTXSID7025508",NA,"FDB004339",NA,16494
"769","AGOYDEPGAOXOCK-KCBOHYOISA-N","FiehnHILIC002647","Clarithromycin","746.4628",747.476891299,"HMDB0015342","DTXSID3022829",NA,NA,"Clarithromycin",3732
"771","AGPKZVBTJJNPAG-CRCLSJGQSA-N","PR100840","D-Alloisoleucine","130.08682",NA,NA,NA,NA,NA,NA,20899
"777","AGPKZVBTJJNPAG-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PT209750","allo-Ile","130.08682",131.094628665,"HMDB0033923","DTXSID2046882",NA,"FDB012123",NA,38264
"783","AGPKZVBTJJNPAG-UHNVWZDZSA-N","MoNA037764","ALLO-ISOLEUCINE","130.0873527",131.094628665,"HMDB0000557","DTXSID3046530",NA,"FDB022117","Alloisoleucine",85338
"791","AGPKZVBTJJNPAG-WHFBIAKZSA-N","MSBNK-Keio_Univ-KO001175","Ile","130",131.094628665,"HMDB0000172","DTXSID1047441","T3D4364",NA,"Isoleucine",58045
"839","AHANXAKGNAKFSK-PDBXOOCHSA-N","MSBNK-Metabolon-MT000086","Dihomo-alpha-linolenic acid (20:3(n-3))","305.4",306.255880332,"HMDB0060039",NA,NA,"FDB006293","ETrE(11Z,14Z,17Z)",53460
"841","AHBXXEZLRFCZSF-UHFFFAOYSA-N","EA009354","Metribuzin-diketo","183.0887",NA,NA,"DTXSID9037616",NA,NA,NA,83448
"851","AHCYMLUZIRLXAA-SHYZEUOFSA-N","O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","2'-Deoxyuridine-5'-triphosphate sodium salt","466.9663377",467.973612734,"HMDB0001191",NA,"T3D4430","FDB030842","dUTP",17625
"861","AHLBNYSZXLDEJQ-FWEHEUNISA-N","MSBNK-Athens_Univ-AU236260","Orlistat","494.3851",495.392373811,"HMDB0015215","DTXSID8023395",NA,NA,"Orlistat",94686
"871","AHLPHDHHMVZTML-BYPYZUCNSA-N","KO001534","L-Ornithine","131",132.089877638,"HMDB0000214",NA,"T3D4329","FDB030969","Ornithine",15729
"885","AHLPHDHHMVZTML-BYPYZUCNSA-N","MSBNK-NAIST-KNA00564","L-Ornithine","285.15",132.089877638,"HMDB0000214",NA,"T3D4329","FDB030969","Ornithine",15729
"886","AHLPHDHHMVZTML-BYPYZUCNSA-N","KNA00565","L-Ornithine","287.13",132.089877638,"HMDB0000214",NA,"T3D4329","FDB030969","Ornithine",15729
"898","AHLPHDHHMVZTML-SCSAIBSYSA-N","MoNA037837","ORNITHINE","131.0826016",132.089877638,"HMDB0003374",NA,NA,"FDB023157","D-Ornithine",16176
"904","AHLPHDHHMVZTML-UHFFFAOYSA-N","O=C(O)C(N)CCCN","D-ORNITHINE","131.082",132.089877638,NA,NA,NA,"FDB003654",NA,18257
"914","AHTPATJNIAFOLR-UHFFFAOYSA-N","MSBNK-Eawag-EA012452","Thifensulfuron-methyl","386.0234",387.030725507,"HMDB0258993","DTXSID1024124",NA,NA,NA,83453
"962","AHUAGKUYEMQHTH-UHFFFAOYSA-N","VF-NPL-QEHF014561","5-Hydroxy-2',4',7,8-Tetramethoxyflavone","357.0979614257812",NA,NA,"DTXSID30558761",NA,NA,NA,NA
"964","AHUAGKUYEMQHTH-UHFFFAOYSA-N","O=C1C=C(OC2=C(OC)C(OC)=CC(O)=C12)C=3C=CC(OC)=CC3OC","5-Hydroxy-2',4',7,8-Tetramethoxyflavone","339.314111328125",NA,NA,"DTXSID30558761",NA,NA,NA,NA
"972","AHXGXXJEEHFHDK-UHFFFAOYSA-N","MSBNK-LCSB-LU037055","6-Hydroxy-2-naphthyl disulfide","349.0362",NA,NA,"DTXSID7025429",NA,NA,NA,NA
"984","AIFRHYZBTHREPW-UHFFFAOYSA-N","RIKENPlaSMA005265","Norharman","167.06147184783",168.068748266,"HMDB0012897","DTXSID2021070",NA,"FDB007945","beta-Carboline",109895
"1020","AIONOLUJZLIMTK-AWEZNQCLSA-N","VF-NPL-LTQ007090","Hesperetin","301.147314453125",302.07903818,"HMDB0005782","DTXSID4022319",NA,"FDB002677","Hesperetin",28230
"1071","AIONOLUJZLIMTK-UHFFFAOYSA-N","O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(OC)C(O)=C3)C1","5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one","301.071746826172",302.079038171,"HMDB0030746","DTXSID80274404",NA,NA,NA,NA
"1116","AIQDYKMWENWVQJ-DTEWXJGMSA-N","KO000919","Galacturonate 1-phosphate","273",NA,NA,NA,NA,NA,NA,17543
"1126","AIULWNKTYPZYAN-SFHVURJKSA-N","PM012303","[10]-Gingerol","349.7",NA,NA,"DTXSID80178079",NA,NA,NA,NA
"1127","AJEAHBZZHSLIQP-UHFFFAOYSA-N","UA001705","2-nitro-9-fluorenone","225.0431",NA,NA,"DTXSID70184942",NA,NA,NA,NA
"1130","AJFWREUFUPEYII-PAHWMLEVSA-N","CCMSLIB00005720987","2-amino-3-({hydroxy[2-[octadec-9-enoyloxy]-3-(octadecanoyloxy)propoxy]phosphoryl}oxy)propanoic acid","788.542",789.551984778,"HMDB0010163",NA,NA,NA,NA,79096
"1131","AKCRVYNORCOYQT-UHFFFAOYSA-N","FiehnHILIC001383","N-Methylvaline","130.0861",NA,NA,NA,NA,NA,NA,64348
"1133","AKEUNCKRJATALU-UHFFFAOYSA-N","MoNA035430","2,6-DIHYDROXYBENZOIC ACID","153.0193327",154.026608673,"HMDB0013676","DTXSID1059785",NA,"FDB000845","2,6-Dihydroxybenzoic acid",68465
"1137","AKNNEGZIBPJZJG-MSOLQXFVSA-N","O=C1OC(C2=CC=C(OC)C(OC)=C12)C3C4=C(OC)C=5OCOC5C=C4CCN3C","(S,R)-Nosapine","412.140167236328",413.147452095,"HMDB0033439","DTXSID4023385",NA,"FDB011477","alpha-Narcotine",73237
"1143","AKPLHCDWDRPJGD-UHFFFAOYSA-N","EQ360854","Nordiazepam","269.0487",270.055990691,"HMDB0060538","DTXSID2049000","T3D4588","FDB007124","Nordazepam",111762
"1159","AKUJBENLRBOFTD-QZIXMDIESA-N","MSBNK-Eawag-EQ324456","Betamethasone 21","433.2032",NA,NA,"DTXSID8022668",NA,NA,NA,31275
"1171","AKUJBENLRBOFTD-UHFFFAOYSA-N","MSBNK-Eawag-EQ326455","Dexamethasone acetate","433.2032",434.210466881,"HMDB0242728",NA,NA,NA,NA,NA
"1189","AKWGRDPPGYFWIW-MAZCIEHSSA-N","MSBNK-RIKEN_IMS-LQB00271","PG 36:4","769.4999",NA,NA,NA,NA,NA,NA,60722
"1193","ALEXXDVDDISNDU-JZYPGELDSA-N","MoNA023898","CORTISOL 21-ACETATE","403.21259",404.21989,NA,NA,NA,NA,"Cortisol 21-acetate",17609
"1198","ALGDHWVALRSLBT-UHFFFAOYSA-N","O=C1C(OC)=C(OC2=CC(OC)=CC(OC)=C21)C=3C=CC(OC)=C(OC)C3","Quercetin Pentamethyl Ether","371.113616943359",372.120902984,"HMDB0257020","DTXSID10154467",NA,NA,NA,NA
"1204","ALKYHXVLJMQRLQ-UHFFFAOYSA-N","MSBNK-LCSB-LU084656","3-Hydroxy-2-naphthoic acid","187.0401",NA,NA,"DTXSID3026560",NA,NA,NA,NA
"1216","ALRHLSYJTWAHJZ-UHFFFAOYSA-N","KO001148","b-Hydroxypropionate","89",90.031694058,"HMDB0000700","DTXSID50198305","T3D4304","FDB030432","Hydroxypropionic acid",33404
"1228","ALRLPDGCPYIVHP-UHFFFAOYSA-N","C1=CC=2C=CC=3C=CC(=C4C=CC(=C1)C2C34)N(=O)=O","1-nitropyrene","247.0638771139",247.063328534,"HMDB0243967","DTXSID6020983",NA,NA,NA,34107
"1231","ALVYVCQIFHTIRD-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU594351","1H,1H,2H,2H-perfluorodecan sulfonate (8:2) (8:2 Fluorotelomer sulfonic acid)","526.9615",NA,NA,"DTXSID00192353",NA,NA,NA,NA
"1238","ALYNCZNDIQEVRV-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO000085","p-Aminobenzoate","136",137.047678473,"HMDB0001392","DTXSID6024466",NA,"FDB001037","P-Aminobenzoic acid",30753
"1267","AMBQHHVBBHTQBF-UHFFFAOYSA-N","MSBNK-RIKEN-PR307431","Loganin","435.150799904",390.152597037,"HMDB0247827",NA,NA,NA,NA,NA
"1270","AMBQHHVBBHTQBF-UHFFFAOYSA-N","MSBNK-RIKEN-PR307422","Loganin","389.1453206",390.152597037,"HMDB0247827",NA,NA,NA,NA,NA
"1283","AMEKQAFGQBKLKX-UHFFFAOYSA-N","MSBNK-LCSB-LU102754","Oxycarboxin","266.0493",NA,NA,"DTXSID8034792",NA,NA,NA,7858
"1295","AMKYESDOVDKZKV-UHFFFAOYSA-N","O=C(O)C=1C(O)=CC(O)=CC1C","Orsellinic acid","167.034",168.04226,NA,"DTXSID20197385",NA,NA,"Orsellinic acid",32807
"1296","AMKYESDOVDKZKV-UHFFFAOYSA-N","CCMSLIB00005719617","Orsellinic acid","357.059",168.04226,NA,"DTXSID20197385",NA,NA,"Orsellinic acid",32807
"1303","AMOGMTLMADGEOQ-UHFFFAOYSA-N","MSBNK-RIKEN-PR307802","Ginkgolide C","439.12458514783",440.13186161,"HMDB0036860",NA,NA,NA,NA,NA
"1317","AMRQXHFXNZFDCH-UHFFFAOYSA-N","MSBNK-Eawag-EA013653","Carbetamide","235.1088",236.116092388,NA,"DTXSID7041756","T3D0943",NA,NA,NA
"1340","AMYKXJAXRJCLCV-UHFFFAOYSA-N","LU126154","Salicylic acid p-tolyl ester","227.0714",NA,NA,"DTXSID3047508",NA,NA,NA,NA
"1346","ANJTVLIZGCUXLD-DTWKUNHWSA-N","VF-NPL-QEHF003328","Cytisine","189.1033020019531",NA,NA,NA,NA,NA,NA,4055
"1352","ANNNBEZJTNCXHY-NSCUHMNNSA-N","VF-NPL-QEHF005692","isorhapontigenin","257.0819396972656",258.089208931,NA,NA,NA,"FDB087377",NA,NA
"1358","ANRKEHNWXKCXDB-BHFWLYLHSA-N","CCMSLIB00005720976","(2-aminoethoxy)[2-[icosa-5.8.11.14-tetraenoyloxy]-3-(octadecanoyloxy)propoxy]phosphinic acid","766.538",767.546504989,"HMDB0009003","DTXSID00677074",NA,NA,NA,79110
"1360","AODPIQQILQLWGS-GXBDJPPSSA-N","EMBL-MCF_spec304644","3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE","365.233228429883",366.240625,NA,NA,NA,NA,"Tetrahydrocortisol",28320
"1362","AOJJSUZBOXZQNB-TZSSRYMLSA-N","FiehnHILIC002676","Doxorubicin","542.165",543.174060775,"HMDB0015132","DTXSID8021480","T3D2953",NA,"Adriamycin",28748
"1364","AOJJSUZBOXZQNB-UHFFFAOYSA-N","KO000638","Doxorubicin","542",543.174060758,"HMDB0255791",NA,NA,NA,NA,NA
"1374","AOJJSUZBOXZQNB-VTZDEGQISA-N","FiehnHILIC001175","Epirubicin","542.1665",543.174060775,"HMDB0014588","DTXSID0022987","T3D2791",NA,"Epirubicin",47898
