"inchikey","id","name","precursormz","accession"
"AOJJSUZBOXZQNB-TZSSRYMLSA-N","FiehnHILIC001901","Doxorubicin","544.1808","T3D2953"
"AOJJSUZBOXZQNB-VTZDEGQISA-N","FiehnHILIC001915","Epirubicin","544.1815","T3D2791"
"AOJJSUZBOXZQNB-VTZDEGQISA-N","FiehnHILIC000334","Epirubicin","544.181","T3D2791"
"APTZNLHMIGJTEW-UHFFFAOYSA-N","LU040404","Pyraflufen-ethyl","413.0277","T3D4531"
"APTZNLHMIGJTEW-UHFFFAOYSA-N","FiehnHILIC000716","Pyrafluefen-ethyl","413.0275","T3D4531"
"AQIXAKUUQRKLND-UHFFFAOYSA-N","MSBNK-Eawag-EQ372207","Cimetidine","253.123","T3D2810"
"AQIXAKUUQRKLND-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO002633","Cimetidine","253","T3D2810"
"AQIXAKUUQRKLND-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO008915","Cimetidine","253/197","T3D2810"
"ASUTZQLVASHGKV-JDFRZJQESA-N","FiehnHILIC001951","Galanthamine","288.1602","T3D2857"
"ASUTZQLVASHGKV-JDFRZJQESA-N","NGA02505","Galanthamine","288.159419532","T3D2857"
"AUYYCJSJGJYCDS-LBPRGKRZSA-N","MSBNK-Keio_Univ-KO004160","3,3',5-Triiodothyronine","652","T3D4759"
"AUZONCFQVSMFAP-UHFFFAOYSA-N","S=C(SSC(=S)N(CC)CC)N(CC)CC","Disulfiram","319.041","T3D2557"
"AUZONCFQVSMFAP-UHFFFAOYSA-N","CCMSLIB00000079187","TETRAETHYLTHIURAM DISULFIDE","297.058","T3D2557"
"AUZONCFQVSMFAP-UHFFFAOYSA-N","S=C(SSC(=S)N(CC)CC)N(CC)CC","MLS001076475-01!TETRAETHYLTHIURAM DISULFIDE97-77-8","297.06","T3D2557"
"AUZONCFQVSMFAP-UHFFFAOYSA-N","CCMSLIB00000079188","TETRAETHYLTHIURAM DISULFIDE","319.04","T3D2557"
"AWYOMXWDGWUJHS-UHFFFAOYSA-N","MSBNK-LCSB-LU122506","Tebupirimfos","319.124","T3D3927"
"BACYUWVYYTXETD-UHFFFAOYSA-N","LU068302","N-Dodecanoyl-N-methylglycine","272.222","T3D3622"
"BAZVSMNPJJMILC-UHFFFAOYNA-N","CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O","Triadimenol","296.11603095217","T3D4544"
"BBEAQIROQSPTKN-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU593117","Pyrene","202.0777","T3D0253"
"BCGWQEUPMDMJNV-UHFFFAOYSA-N","MSBNK-LCSB-LU067406","Imipramine","281.2012","T3D2797"
"BEJNERDRQOWKJM-UHFFFAOYSA-N","AC000690","Kojic Acid","143.0333","T3D3769"
"BEJNERDRQOWKJM-UHFFFAOYSA-N","O=C1C=C(OC=C1O)CO","kojic acid","180.960668619397","T3D3769"
"BEJNERDRQOWKJM-UHFFFAOYSA-N","MSBNK-HBM4EU-HB004098","Kojic acid","143.0339","T3D3769"
"BEJNERDRQOWKJM-UHFFFAOYSA-N","VF-NPL-QEHF001295","kojic acid","180.989761352539","T3D3769"
"BJIOGJUNALELMI-ONEGZZNKSA-N","MoNA038797","ISOEUGENOL","165.0910056","T3D4880"
"BJQHLKABXJIVAM-UHFFFAOYSA-N","MSBNK-Antwerp_Univ-AN112905","Di(2-ethylhexyl) phthalate","391.2843","T3D0076"
"BLFLLBZGZJTVJG-UHFFFAOYSA-N","CCOC(C1=CC=C(C=C1)N)=O","Benzocaine","166.08625505017","T3D2980"
"BLFLLBZGZJTVJG-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO002449","Benzocaine","166","T3D2980"
"BLFLLBZGZJTVJG-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS017501","Americaine","166.17","T3D2980"
"BMLZFLQMBMYVHG-UHFFFAOYSA-N","VF-NPL-QTOF009267","phellopterin","323.0888","T3D0846"
"BMLZFLQMBMYVHG-UHFFFAOYSA-N","VF-NPL-QTOF009270","phellopterin","301.1071","T3D0846"
"BMLZFLQMBMYVHG-UHFFFAOYSA-N","O=C1OC=2C(OCC=C(C)C)=C3OC=CC3=C(OC)C2C=C1","Phellopterin","301.11","T3D0846"
"BMLZFLQMBMYVHG-UHFFFAOYSA-N","O=C1OC=2C(OCC=C(C)C)=C3OC=CC3=C(OC)C2C=C1","phellopterin","318.133605957031","T3D0846"
"BMLZFLQMBMYVHG-UHFFFAOYSA-N","PM014615","Phelloptorin","323","T3D0846"
"BMLZFLQMBMYVHG-UHFFFAOYSA-N","O=C1OC=2C(OCC=C(C)C)=C3OC=CC3=C(OC)C2C=C1","Phellopterin","323.09","T3D0846"
"BMLZFLQMBMYVHG-UHFFFAOYSA-N","VF-NPL-LTQ001803","phellopterin","339.069719238281","T3D0846"
"BMLZFLQMBMYVHG-UHFFFAOYSA-N","VF-NPL-QEHF004104","phellopterin","339.062927246094","T3D0846"
"BNWJOHGLIBDBOB-UHFFFAOYSA-N","CCMSLIB00000847013","NCGC00091427-03!4-methoxy-6-prop-2-enyl-1,3-benzodioxole","193.086","T3D3114"
"BPRHUIZQVSMCRT-VEUZHWNKSA-N","MSBNK-Eawag-EA280201","Rosuvastatin","482.1756","T3D2680"
"BQJCRHHNABKAKU-KBQPJGBKSA-N","MSBNK-Athens_Univ-AU158007","Morphine","286.1438","T3D2740"
"BQJCRHHNABKAKU-KBQPJGBKSA-N","MSBNK-Athens_Univ-AU158032","Morphine","308.1257","T3D2740"
"BQPRWZCEKZLBHL-UHFFFAOYSA-N","O=C1OC2=C3C=COC3=C(OC)C(OC)=C2C=C1","Pimpinellin","269.04","T3D0822"
"BQPRWZCEKZLBHL-UHFFFAOYSA-N","O=C1OC2=C3C=COC3=C(OC)C(OC)=C2C=C1","Pimpinellin","247.06","T3D0822"
"BQPRWZCEKZLBHL-UHFFFAOYSA-N","VF-NPL-LTQ006588","Pimpinellin","269.096295484856","T3D0822"
"BQYJATMQXGBDHF-UHFFFAOYSA-N","EA293402","Difenoconazole","406.072","T3D3828"
"BRUQQQPBMZOVGD-XFKAJCMBSA-N","AU160211","Oxycodone","316.1543","T3D2809"
"BRUQQQPBMZOVGD-XFKAJCMBSA-N","MSBNK-Athens_Univ-AU160232","Oxycodone","338.1363","T3D2809"
"BRUQQQPBMZOVGD-XFKAJCMBSA-N","FiehnHILIC002212","Oxycodone","316.1566","T3D2809"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N","EQ357804","Aspirin","181.0495","T3D2936"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N","CC(=O)OC1=CC=CC=C1C(O)=O","Aspirin","181.0495352","T3D2936"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS101902","Entericin","181.12","T3D2936"
"BTJIUGUIPKRLHP-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS032501","Niphen","139.06","T3D0257"
"BTJIUGUIPKRLHP-UHFFFAOYSA-N","MoNA032918","4-NITROPHENOL","140.034219","T3D0257"
"BTJIUGUIPKRLHP-UHFFFAOYSA-N","PR100192","4-Nitrophenol","140.03474","T3D0257"
"BUGYDGFZZOZRHP-UHFFFAOYNA-N","CC12CC3CC(C)(C1)CC(C3)(C2)N","Memantine","180.17467613217","T3D2967"
"BWHOZHOGCMHOBV-BQYQJAHWSA-N","NA001181","4-Phenyl-3-buten-2-one","147.0804","T3D4909"
"BXNANOICGRISHX-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU113602","Coumaphos","363.0217","T3D4489"
"BXPMAGSOWXBZHS-WEVVVXLNSA-N","CCMSLIB00001058378","Pesticide2_Aldicarb sulfoxide_C7H14N2O3S_Propanal, 2-methyl-2-(methylsulfinyl)-, O-[(methylamino)carbonyl]oxime, (1E)-","207.08","T3D0918"
"BXPMAGSOWXBZHS-WEVVVXLNSA-N","O=S(C)C(C=NOC(O)=NC)(C)C","Pesticide2_Aldicarb sulfoxide_C7H14N2O3S_Propanal, 2-methyl-2-(methylsulfinyl)-, O-[(methylamino)carbonyl]oxime, (1E)-","229.062","T3D0918"
"BXZVVICBKDXVGW-NKWVEPMBSA-N","FiehnHILIC000018","2',3'-Dideoxyinosine","237.0979","T3D4786"
"BYBLEWFAAKGYCD-UHFFFAOYNA-N","C1=CC(=CC(=C1COC(CN2C=CN=C2)C=3C=CC(=CC3Cl)Cl)Cl)Cl","Miconazole","414.99330035217","T3D2988"
"BZTYNSQSZHARAZ-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU592603","PCB 28","256.9686","T3D0417"
"BZTYNSQSZHARAZ-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU592620","PCB 28","255.9608","T3D0417"
"CABMTIJINOIHOD-UHFFFAOYSA-N","EQ371103","Imazaquin","312.1343","T3D3863"
"CABMTIJINOIHOD-UHFFFAOYSA-N","MSBNK-Waters-WA000189","Imazaquin","312.1","T3D3863"
"CAWXEEYDBZRFPE-UHFFFAOYSA-N","KO009309","Velpar","253","T3D3857"
"CAWXEEYDBZRFPE-UHFFFAOYSA-N","EQ025605","Hexazinone","253.1659","T3D3857"
"CAWXEEYDBZRFPE-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO009310","Velpar","253/171","T3D3857"
"CDAWCLOXVUBKRW-UHFFFAOYSA-N","KO002276","2-Aminophenol","110","T3D3599"
"CDAWCLOXVUBKRW-UHFFFAOYSA-N","c1ccc(c(c1)N)O","2-Aminophenol; CE30; CDAWCLOXVUBKRW-UHFFFAOYSA-N","110.060043334961","T3D3599"
"CDAWCLOXVUBKRW-UHFFFAOYSA-N","FiehnHILIC000913","2-Aminophenol","108.0444","T3D3599"
"CDAWCLOXVUBKRW-UHFFFAOYSA-N","OC=1C=CC=CC1N","2-Aminophenol","108.04548739683","T3D3599"
"CEBXXEKPIIDJHL-UHFFFAOYSA-N","O=C1OC2=CC(O)=CC(=C2C=3C=C(O)C=C(O)C13)C","Alternariol","259.06","T3D3727"
"CEBXXEKPIIDJHL-UHFFFAOYSA-N","O=C1OC2=CC(O)=CC(=C2C=3C=C(O)C=C(O)C13)C","Alternariol","281.04","T3D3727"
"CEBXXEKPIIDJHL-UHFFFAOYSA-N","O=C1OC2=CC(O)=CC(=C2C=3C=C(O)C=C(O)C13)C","Alternariol","259.066","T3D3727"
"CEUORZQYGODEFX-UHFFFAOYSA-N","ClC1=CC=CC(=C1Cl)N2CCN(CC2)CCCCOC=3C=CC4=C(N=C(O)CC4)C3","Aripiprazole","448.15530895217","T3D2677"
"CGIGDMFJXJATDK-UHFFFAOYSA-N","SM861101","Indometacin","358.0841","T3D2753"
"CGIGDMFJXJATDK-UHFFFAOYSA-N","FiehnHILIC002014","Indomethacin","358.0853","T3D2753"
"CHIFOSRWCNZCFN-UHFFFAOYSA-N","AU254905","Pendimethalin","282.1448","T3D0890"
"CHIFOSRWCNZCFN-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO003916","Prowl (TM)","282","T3D0890"
"CHIFOSRWCNZCFN-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO009160","Prowl(TM)","282/212/118","T3D0890"
"CHNUNORXWHYHNE-UHFFFAOYSA-N","EQ370409","Oxadiazon","345.0767","T3D3894"
"CJJOSEISRRTUQB-UHFFFAOYSA-N","MSBNK-MSSJ-MSJ01066","Azinphos-methyl","317.01","T3D0135"
"CJJOSEISRRTUQB-UHFFFAOYSA-N","AU260102","Azinphos methyl","318.013","T3D0135"
"CJJOSEISRRTUQB-UHFFFAOYSA-N","WA000005","Methylazinphos","318.05","T3D0135"
"CJOFXWAVKWHTFT-XSFVSMFZSA-N","FiehnHILIC000365","Fluvoxamine","319.1621","T3D2705"
"CJOFXWAVKWHTFT-XSFVSMFZSA-N","FiehnHILIC001945","Fluvoxamine","319.165","T3D2705"
"CJOFXWAVKWHTFT-XSFVSMFZSA-N","SM851903","Fluvoxamine","319.1628","T3D2705"
"CKAPSXZOOQJIBF-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU591702","Hexachlorobenzene","282.8204","T3D0093"
"CKAPSXZOOQJIBF-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU591718","Hexachlorobenzene","281.8126","T3D0093"
"CLEXYFLHGFJONT-DNMILWOZSA-N","MSBNK-NaToxAq-NA002957","Jervine","426.3003","T3D4083"
"CMSMOCZEIVJLDB-UHFFFAOYNA-N","ClCCN(CCCl)P1(=O)NCCCO1","Cyclophosphamide; LC-ESI-ITFT; MS2; CE","261.032096","T3D4688"
"CONWAEURSVPLRM-UHFFFAOYSA-N","WA000159","Lactofen","479.24","T3D3869"
"COVZYZSDYWQREU-UHFFFAOYSA-N","CCMSLIB00000076987","Busulfan","269.013","T3D4750"
"COVZYZSDYWQREU-UHFFFAOYSA-N","CCMSLIB00000078240","""Busulfan (Myleran, Busulfex)""","269.012","T3D4750"
"CPJSUEIXXCENMM-UHFFFAOYSA-N","FIO00689","Phenacetin","180.101904656","T3D4707"
"CPTBDICYNRMXFX-UHFFFAOYSA-N","FiehnHILIC002274","Procarbazine","222.1589","T3D4711"
"CPTBDICYNRMXFX-UHFFFAOYSA-N","O=C(NC(C)C)C1=CC=C(C=C1)CNNC","Procarbazine","222.16008869617","T3D4711"
"CQIUKKVOEOPUDV-IYSWYEEDSA-N","MSBNK-NaToxAq-NA001332","Citrinin","251.0914","T3D3597"
"CQIUKKVOEOPUDV-IYSWYEEDSA-N","O=C(O)C=1C(=O)C(=C2C(=COC(C)C2C)C1O)C","Citrinin","289.047271728516","T3D3597"
"CQIUKKVOEOPUDV-IYSWYEEDSA-N","O=C(O)C=1C(=O)C(=C2C(=COC(C)C2C)C1O)C","Citrinin","273.073333740234","T3D3597"
"CQIUKKVOEOPUDV-IYSWYEEDSA-N","VF-NPL-QEHF027301","Citrinin","268.117950439453","T3D3597"
"CQIUKKVOEOPUDV-IYSWYEEDSA-N","VF-NPL-LTQ007669","Citrinin","289.118602294922","T3D3597"
"CTJBHIROCMPUKL-WEVVVXLNSA-N","LU078904","Butoxycarboxim","223.0747","T3D0938"
"CTRLABGOLIVAIY-UHFFFAOYSA-N","O=C1C=2C=CC=CC2N(C(=N)O)C=3C=CC=CC3C1","Trileptal","253.09715408617","T3D2887"
"CTRLABGOLIVAIY-UHFFFAOYSA-N","FiehnHILIC002384","Trileptal","253.0983","T3D2887"
"CTSLUCNDVMMDHG-UHFFFAOYSA-N","MSBNK-Eawag-EA026609","Bromacil","261.0233","T3D3801"
"CVXBEEMKQHEXEN-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU262405","Carbaryl","202.0863","T3D0940"
"CWJSHJJYOPWUGX-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU262305","Chlorpropham","214.0629","T3D0949"
"CWLKGDAVCFYWJK-UHFFFAOYSA-N","MoNA019080","3-Aminophenol; AIF; CE30; CorrDec","110.060043334961","T3D3601"
"CWRYPZZKDGJXCA-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU590003","Acenapthene","155.0855","T3D0161"
"CWRYPZZKDGJXCA-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU590017","Acenapthene","154.0777","T3D0161"
"CXEGAUYXQAKHKJ-NSBHKLITSA-N","AU263601","Emamectin B1a","886.5311","T3D1043"
"CXOFVDLJLONNDW-UHFFFAOYSA-N","EQ331906","Phenytoin","253.0972","T3D2728"
"CXOXHMZGEKVPMT-UHFFFAOYSA-N","EQ359303","Clobazam","301.0738","T3D4564"
"CXOXHMZGEKVPMT-UHFFFAOYSA-N","FiehnHILIC000266","Clobazam","301.0733","T3D4564"
"DBEPLOCGEIEOCV-WSBQPABSSA-N","MSBNK-UFZ-UF411503","Finasteride","373.285","T3D4820"
"DBEPLOCGEIEOCV-WSBQPABSSA-N","FiehnHILIC001938","Finasteride","373.2869","T3D4820"
"DBEPLOCGEIEOCV-WSBQPABSSA-N","O=C1C=CC2(C)C(N1)CCC3C2CCC4(C)C(C(=O)NC(C)(C)C)CCC34","MLS001165768-01!FINASTERIDE98319-26-7","373.289","T3D4820"
"DBEPLOCGEIEOCV-WSBQPABSSA-N","FiehnHILIC000355","Finasteride","373.2843","T3D4820"
"DBMJZOMNXBSRED-OQLLNIDSSA-N","O=C1OC=2C=C3OC=CC3=C(OCC=C(C)CCC=C(C)C)C2C=C1","Bergamottin","339.16","T3D0834"
"DBMJZOMNXBSRED-OQLLNIDSSA-N","O=C1OC=2C=C3OC=CC3=C(OCC=C(C)CCC=C(C)C)C2C=C1","Bergamottin","361.14","T3D0834"
"DBVJJBKOTRCVKF-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS022802","1-Hydroxyethane-1,1-diphosphonic Acid","207.16","T3D3483"
"DBVJJBKOTRCVKF-UHFFFAOYSA-N","CC(O)(P(O)(O)=O)P(O)(O)=O","Etidronate","206.9818031","T3D3483"
"DCOPUUMXTXDBNB-UHFFFAOYSA-N","EA020112","Diclofenac","296.024","T3D4729"
"DCOPUUMXTXDBNB-UHFFFAOYSA-N","FiehnHILIC001883","Diclofenac","296.0247","T3D4729"
"DCOPUUMXTXDBNB-UHFFFAOYSA-N","KO002783","Diclofenac","296","T3D4729"
"DDBREPKUVSBGFI-UHFFFAOYSA-N","EQ362409","Phenobarbital","233.0921","T3D3006"
"DDLIGBOFAVUZHB-UHFFFAOYSA-N","EQ302303","Midazolam","326.0855","T3D2859"
"DDLIGBOFAVUZHB-UHFFFAOYSA-N","MSBNK-Athens_Univ-AU155933","Midazolam","348.0674","T3D2859"
"DDLIGBOFAVUZHB-UHFFFAOYSA-N","FC=1C=CC=CC1C2=NCC3=CN=C(N3C=4C=CC(Cl)=CC24)C","Midazolam","326.08547975217","T3D2859"
"DDLIGBOFAVUZHB-UHFFFAOYSA-N","FiehnHILIC002103","Midazolam","326.0873","T3D2859"
"DDUHZTYCFQRHIY-RBHXEPJQSA-N","O=C1C=C(OC)C2(OC=3C(Cl)=C(OC)C=C(OC)C3C2=O)C(C)C1","Griseofulvin","375.128002929688","T3D4696"
"DDUHZTYCFQRHIY-RBHXEPJQSA-N","O=C1C=C(OC)C2(OC=3C(Cl)=C(OC)C=C(OC)C3C2=O)C(C)C1","GRISEOFULVIN","353.07861328125","T3D4696"
"DDUHZTYCFQRHIY-RBHXEPJQSA-N","VF-NPL-LTQ006142","GRISEOFULVIN","353.179016113281","T3D4696"
"DDUHZTYCFQRHIY-RBHXEPJQSA-N","VF-NPL-QEHF001073","Griseofulvin","370.105194091797","T3D4696"
"DDUHZTYCFQRHIY-RBHXEPJQSA-N","MSBNK-AAFC-AC000511","Griseofulvin","353.0781","T3D4696"
"DDUHZTYCFQRHIY-RBHXEPJQSA-N","VF-NPL-QEHF001070","Griseofulvin","375.060577392578","T3D4696"
"DECIPOUIJURFOJ-UHFFFAOYSA-N","MSBNK-Eawag-EQ365201","Ethoxyquin","218.1539","T3D4874"
"DEDOPGXGGQYYMW-UHFFFAOYSA-N","MSBNK-Eawag-EQ371406","Molinate","188.1104","T3D0988"
"DFMAXQKDIGCMTL-UHFFFAOYSA-N","O=C1OC=2C(OC)=C3OC=CC3=C(OC)C2C=C1","Isopimpinellin","247.06","T3D0843"
"DFMAXQKDIGCMTL-UHFFFAOYSA-N","O=C1OC=2C(OC)=C3OC=CC3=C(OC)C2C=C1","Isopimpinellin","269.04","T3D0843"
"DFMAXQKDIGCMTL-UHFFFAOYSA-N","VF-NPL-LTQ006496","Isopimpinellin","269.049784650706","T3D0843"
"DFMAXQKDIGCMTL-UHFFFAOYSA-N","O=C1OC=2C(OC)=C3OC=CC3=C(OC)C2C=C1","NCGC00095569-05!4,9-dimethoxyfuro[3,2-g]chromen-7-one","264.087","T3D0843"
"DFMAXQKDIGCMTL-UHFFFAOYSA-N","CCMSLIB00005722020","NCGC00095569-05!4,9-dimethoxyfuro[3,2-g]chromen-7-one [IIN-based on: CCMSLIB00000847638]","269.042","T3D0843"
"DFMAXQKDIGCMTL-UHFFFAOYSA-N","CCMSLIB00005722021","NCGC00095569-05!4,9-dimethoxyfuro[3,2-g]chromen-7-one [IIN-based on: CCMSLIB00000847638]","515.095","T3D0843"
"DFMAXQKDIGCMTL-UHFFFAOYSA-N","PM014606","Isopimpinellin","247","T3D0843"
"DGEZNRSVGBDHLK-UHFFFAOYSA-N","C1=CC2=C(N=C1)C1=C(C=CC=N1)C=C2","1,10-Phenanthroline; ESI-ITFT; direct injection; MS2; CE","181.076025","T3D4815"
"DGEZNRSVGBDHLK-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO003775","o-Phenanthroline","181","T3D4815"
"DGEZNRSVGBDHLK-UHFFFAOYSA-N","MSBNK-RIKEN-PR100010","1,10-Phenanthroline","181.07654","T3D4815"
"DGEZNRSVGBDHLK-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS002105","o-Phenanthroline Monohydrate","181.19","T3D4815"
"DGMPVYSXXIOGJY-UHFFFAOYSA-N","MSBNK-Washington_State_Univ-BML00604","Fusaric acid","180.1019","T3D3741"
"DGMPVYSXXIOGJY-UHFFFAOYSA-N","AC000890","Fusaric acid","180.1014","T3D3741"
"DGMPVYSXXIOGJY-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS023201","Fusarate","180.2","T3D3741"
"DGMPVYSXXIOGJY-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO002887","Butyl pyridine-2-carboxylate","180","T3D3741"
"DHHVAGZRUROJKS-UHFFFAOYSA-N","MSBNK-HBM4EU-HB002423","Phentermine","150.1278","T3D2709"
"DHHVAGZRUROJKS-UHFFFAOYSA-N","FiehnHILIC002243","Phentermine","150.1113","T3D2709"
"DIRFUJHNVNOBMY-UHFFFAOYSA-N","OC(=NC)OC=1C=CC=CC1C(C)CC","Pesticide3_Fenobucarb_C12H17NO2_Bassa","208.133","T3D0968"
"DIRFUJHNVNOBMY-UHFFFAOYSA-N","CCMSLIB00001058428","Pesticide3_Fenobucarb_C12H17NO2_Bassa","230.115","T3D0968"
"DIWRORZWFLOCLC-UHFFFAOYNA-N","ClC=1C=CC=2N=C(O)C(O)N=C(C=3C=CC=CC3Cl)C2C1","Lorazepam","321.01920945217","T3D2707"
"DKNWSYNQZKUICI-UHFFFAOYSA-N","KO002185","1-Adamantanamine","152","T3D2560"
"DKNWSYNQZKUICI-UHFFFAOYSA-N","EQ312404","Amantadine","152.1434","T3D2560"
"DKNWSYNQZKUICI-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PT101703","1-Adamantylamine hydrochloride","152.14389","T3D2560"
"DKNWSYNQZKUICI-UHFFFAOYSA-N","MSBNK-RIKEN_ReSpect-PS017002","1-Adamantylamine hydrochloride","152.22","T3D2560"
"DLCJNIBLOSKIQW-UHFFFAOYSA-N","O=C1OC=2C(C=C1)=CC(OC)=C3OC=CC32","Sphondin","239.030461768581","T3D0819"
"DLCJNIBLOSKIQW-UHFFFAOYSA-N","VF-NPL-QTOF009712","Sphondin","217.0486","T3D0819"
"DMBHHRLKUKUOEG-UHFFFAOYSA-N","MSBNK-Keio_Univ-KO002686","Diphenylamine","170","T3D4497"
"DMBHHRLKUKUOEG-UHFFFAOYSA-N","LU030005","Diphenylamine","170.0964","T3D4497"
"DMSMPAJRVJJAGA-UHFFFAOYSA-N","EA030110","Benzisothiazolone (BIT)","152.0165","T3D4861"
"DMSMPAJRVJJAGA-UHFFFAOYSA-N","OC1=NSC2=CC=CC=C12","Benzisothiazolone (BIT); LC-ESI-ITFT; MS2; CE","152.016461","T3D4861"
"DNUAYCRATWAJQE-UHFFFAOYSA-N","MSBNK-LCSB-LU018502","Flufenpyr-ethyl","409.0573","T3D3844"
"DNXHEGUUPJUMQT-CBZIJGRNSA-N","VF-NPL-QEHF001753","Estrone","293.151184082031","T3D4746"
"DNXHEGUUPJUMQT-CBZIJGRNSA-N","LU085902","Estrone","271.1693","T3D4746"
"DNXHEGUUPJUMQT-CBZIJGRNSA-N","O=C1CCC2C3CCC4=CC(O)=CC=C4C3CCC12C","Estrone","309.125122070312","T3D4746"
"DNXHEGUUPJUMQT-CBZIJGRNSA-N","O=C1CCC2C3CCC4=CC(O)=CC=C4C3CCC12C","Estrone","308.899069649833","T3D4746"
"DNXHEGUUPJUMQT-CBZIJGRNSA-N","FiehnHILIC001590","1,3,5(10)-Estratrien-3-ol-17-one","271.1669","T3D4746"
"DOIRQSBPFJWKBE-UHFFFAOYSA-N","MSBNK-Eawag-EQ367005","Di-n-butyl phthalate","279.1591","T3D0052"
