"","accession","dname"
"74","HMDB0000017","Colorectal cancer"
"75","HMDB0000017","Ulcerative colitis"
"76","HMDB0000017","Eosinophilic esophagitis"
"77","HMDB0000019","Colorectal cancer"
"78","HMDB0000019","Maple syrup urine disease"
"79","HMDB0000020","Schizophrenia"
"80","HMDB0000020","Epilepsy"
"81","HMDB0000020","Colorectal cancer"
"82","HMDB0000020","Ulcerative colitis"
"83","HMDB0000020","Crohn's disease"
"84","HMDB0000020","Lung Cancer"
"85","HMDB0000020","Spina Bifida"
"86","HMDB0000020","Eosinophilic esophagitis"
"87","HMDB0000020","Perillyl alcohol administration for cancer treatment"
"88","HMDB0000020","Fumarase deficiency"
"89","HMDB0000020","Phenylketonuria"
"90","HMDB0000021","Athyreosis"
"91","HMDB0000022","Parkinson's disease"
"92","HMDB0000022","Brunner Syndrome"
"93","HMDB0000023","Diabetes mellitus type 2"
"94","HMDB0000023","Colorectal cancer"
"95","HMDB0000023","3-Hydroxyisobutyric aciduria"
"96","HMDB0000023","Eosinophilic esophagitis"
"97","HMDB0000024","Metachromatic leukodystrophy"
"98","HMDB0000026","Dihydropyrimidinase deficiency"
"99","HMDB0000026","Colorectal cancer"
"100","HMDB0000027","Septic shock"
"101","HMDB0000027","Smoking"
"102","HMDB0000027","Myocardial infarction"
"103","HMDB0000027","Epilepsy"
"104","HMDB0000030","Acute Lymphoblastic Leukemia"
"105","HMDB0000030","Dementia"
"106","HMDB0000030","Epilepsy"
"107","HMDB0000030","Head injury"
"108","HMDB0000030","Motor neuron disease"
"109","HMDB0000030","Multiple sclerosis"
"110","HMDB0000030","Colorectal cancer"
"111","HMDB0000030","Eosinophilic esophagitis"
"112","HMDB0000031","Schizophrenia"
"113","HMDB0000031","Hirsutism"
"114","HMDB0000032","Lathosterolosis"
"115","HMDB0000032","Smith-Lemli-Opitz syndrome"
"116","HMDB0000033","Alzheimer's disease"
"117","HMDB0000033","Crohn's disease"
"118","HMDB0000033","Ulcerative colitis"
"119","HMDB0000033","Carnosinuria"
"120","HMDB0000033","Eosinophilic esophagitis"
"121","HMDB0000034","Thymidine treatment"
"122","HMDB0000034","Meningitis"
"123","HMDB0000034","Tuberculous meningitis"
"124","HMDB0000034","Colorectal cancer"
"125","HMDB0000034","Crohn's disease"
"126","HMDB0000034","Ulcerative colitis"
"127","HMDB0000034","Alzheimer's disease"
"128","HMDB0000034","Frontotemporal dementia"
"129","HMDB0000034","Lewy body disease"
"130","HMDB0000034","Attachment loss"
"131","HMDB0000034","Periodontal Probing Depth"
"132","HMDB0000034","Eosinophilic esophagitis"
"133","HMDB0000036","Hepatocellular carcinoma"
"134","HMDB0000036","Cirrhosis"
"135","HMDB0000036","Colorectal cancer"
"136","HMDB0000036","Crohn's disease"
"137","HMDB0000036","Ulcerative colitis"
"138","HMDB0000036","Metastatic melanoma"
"139","HMDB0000036","Biliary atresia"
"140","HMDB0000037","Heart failure"
"141","HMDB0000037","Congenital Adrenal Hyperplasia"
"142","HMDB0000037","due to 17-Hydroxylase-Deficiency"
"143","HMDB0000037","Bartter Syndrome"
"144","HMDB0000037","Type 4A"
"145","HMDB0000037","Neonatal"
"146","HMDB0000037","with Sensorineural Deafness"
"147","HMDB0000037","Bartter Syndrome"
"148","HMDB0000037","Type 1"
"149","HMDB0000037","Antenatal"
"150","HMDB0000037","Adrenal insufficiency"
"151","HMDB0000037","congenital"
"152","HMDB0000037","with 46"
"153","HMDB0000037","XY sex reversal"
"154","HMDB0000037","partial or complete"
"155","HMDB0000037","Bartter Syndrome"
"156","HMDB0000037","Type 2"
"157","HMDB0000037","Antenatal"
"158","HMDB0000037","Bartter Syndrome"
"159","HMDB0000037","Type 4B"
"160","HMDB0000037","Neonatal"
"161","HMDB0000037","With Sensorineural Deafness"
"162","HMDB0000037","Renal tubular acidosis"
"163","HMDB0000037","proximal"
"164","HMDB0000037","with ocular abnormalities and mental retardation"
"165","HMDB0000037","Congenital chloride diarrhea"
"166","HMDB0000037","Corticosterone methyl oxidase I deficiency"
"167","HMDB0000037","Glucocorticoid resistance"
"168","HMDB0000037","Lipoid Congenital Adrenal Hyperplasia"
"169","HMDB0000038","Kidney disease"
"170","HMDB0000038","Colorectal cancer"
"171","HMDB0000039","Asthma"
"172","HMDB0000039","Crohn's disease"
"173","HMDB0000039","Ulcerative colitis"
"174","HMDB0000039","Colorectal cancer"
"175","HMDB0000039","Irritable bowel syndrome"
"176","HMDB0000039","Nonalcoholic fatty liver disease"
"177","HMDB0000039","Celiac disease"
"178","HMDB0000039","Autism"
"179","HMDB0000039","Pervasive developmental disorder not otherwise specified"
"180","HMDB0000039","Bladder infections"
"181","HMDB0000039","Diverticular disease"
"182","HMDB0000039","Rheumatoid arthritis"
"183","HMDB0000039","Enteritis"
"184","HMDB0000039","AIDS"
"185","HMDB0000039","Eosinophilic esophagitis"
"186","HMDB0000042","Early preeclampsia"
"187","HMDB0000042","Pregnancy"
"188","HMDB0000042","Late-onset preeclampsia"
"189","HMDB0000042","Asthma"
"190","HMDB0000042","Multiple sclerosis"
"191","HMDB0000042","Crohn's disease"
"192","HMDB0000042","Ulcerative colitis"
"193","HMDB0000042","Colorectal cancer"
"194","HMDB0000042","Irritable bowel syndrome"
"195","HMDB0000042","Nonalcoholic fatty liver disease"
"196","HMDB0000042","Celiac disease"
"197","HMDB0000042","Autism"
"198","HMDB0000042","Pervasive developmental disorder not otherwise specified"
"199","HMDB0000042","Diverticular disease"
"200","HMDB0000042","Gout"
"201","HMDB0000042","Sepsis"
"202","HMDB0000042","Enteritis"
"203","HMDB0000042","Lung Cancer"
"204","HMDB0000042","Perillyl alcohol administration for cancer treatment"
"205","HMDB0000042","Argininosuccinic aciduria"
"206","HMDB0000042","Propionic acidemia"
"207","HMDB0000042","Tyrosinemia I"
"208","HMDB0000042","Phenylketonuria"
"209","HMDB0000042","Maple syrup urine disease"
"210","HMDB0000042","Eosinophilic esophagitis"
"211","HMDB0000043","Chronic renal failure"
"212","HMDB0000043","Continuous ambulatory peritoneal dialysis"
"213","HMDB0000043","Hemodialysis"
"214","HMDB0000043","Colorectal cancer"
"215","HMDB0000043","Schizophrenia"
"216","HMDB0000043","Early preeclampsia"
"217","HMDB0000043","Pregnancy"
"218","HMDB0000043","Late-onset preeclampsia"
"219","HMDB0000043","Hypermethioninemia"
"220","HMDB0000043","Crohn's disease"
"221","HMDB0000043","Ulcerative colitis"
"222","HMDB0000043","Perillyl alcohol administration for cancer treatment"
"223","HMDB0000043","Pancreatic cancer"
"224","HMDB0000043","Periodontal disease"
"225","HMDB0000043","Alzheimer's disease"
"226","HMDB0000043","Frontotemporal dementia"
"227","HMDB0000043","Lewy body disease"
"228","HMDB0000043","Lung Cancer"
"229","HMDB0000043","Argininosuccinic aciduria"
"230","HMDB0000043","Propionic acidemia"
"231","HMDB0000043","Phenylketonuria"
"232","HMDB0000043","Maple syrup urine disease"
"233","HMDB0000043","Eosinophilic esophagitis"
"234","HMDB0000043","Dimethylglycine Dehydrogenase Deficiency"
"235","HMDB0000044","Hyperoxalemia"
"236","HMDB0000044","Canavan disease"
"237","HMDB0000044","Traumatic brain injury"
"238","HMDB0000044","Meningitis"
"239","HMDB0000044","Eosinophilic esophagitis"
"240","HMDB0000045","Crohn's disease"
"241","HMDB0000045","Ulcerative colitis"
"242","HMDB0000045","Metastatic melanoma"
"243","HMDB0000045","Colorectal cancer"
"244","HMDB0000045","Alzheimer's disease"
"245","HMDB0000045","Frontotemporal dementia"
"246","HMDB0000045","Lewy body disease"
"247","HMDB0000045","Attachment loss"
"248","HMDB0000045","Missing teeth"
"249","HMDB0000045","Periodontal Probing Depth"
"250","HMDB0000050","Septic shock"
"251","HMDB0000050","Irritable bowel syndrome"
"252","HMDB0000050","Crohn's disease"
"253","HMDB0000050","Ulcerative colitis"
"254","HMDB0000050","Colorectal cancer"
"255","HMDB0000050","Alzheimer's disease"
"256","HMDB0000050","Frontotemporal dementia"
"257","HMDB0000050","Lewy body disease"
"258","HMDB0000050","Eosinophilic esophagitis"
"259","HMDB0000050","Adenosine kinase deficiency"
"260","HMDB0000050","Adenylosuccinate lyase deficiency"
"261","HMDB0000051","Short bowel syndrome"
"262","HMDB0000051","3-Methyl-crotonyl-glycinuria"
"263","HMDB0000051","Argininosuccinic aciduria"
"264","HMDB0000051","Sulfite oxidase deficiency"
"265","HMDB0000051","ISOLATED"
"266","HMDB0000051","3-Hydroxy-3-methylglutaryl-CoA lyase deficiency"
"267","HMDB0000051","Fumarase deficiency"
"268","HMDB0000051","N-acetylglutamate synthetase deficiency"
"269","HMDB0000051","Citrullinemia type I"
"270","HMDB0000051","Citrullinemia type II"
"271","HMDB0000051","adult-onset"
"272","HMDB0000051","3-Hydroxyacyl-CoA dehydrogenase deficiency"
"273","HMDB0000051","Mitochondrial complex I deficiency due to ACAD9 deficiency"
"274","HMDB0000051","Hyperdibasic aminoaciduria I"
"275","HMDB0000051","Pearson Syndrome"
"276","HMDB0000051","Cutis laxa"
"277","HMDB0000051","autosomal recessive"
"278","HMDB0000051","type IIIA"
"279","HMDB0000051","Metabolic encephalomyopathic crises"
"280","HMDB0000051","recurrent"
"281","HMDB0000051","with rhabdomyolysis"
"282","HMDB0000051","cardiac arrhythmias"
"283","HMDB0000051","and neurodegeneration"
"284","HMDB0000051","Mitochondrial trifunctional protein deficiency"
"285","HMDB0000051","Pyruvate carboxylase deficiency"
"286","HMDB0000051","Carnitine palmitoyltransferase I deficiency"
"287","HMDB0000051","Cerebral creatine deficiency syndrome 2"
"288","HMDB0000051","Infantile Liver Failure Syndrome 2"
"289","HMDB0000051","Long-chain Fatty Acids"
"290","HMDB0000051","Defect in Transport of"
"291","HMDB0000051","Myopathy"
"292","HMDB0000051","lactic acidosis"
"293","HMDB0000051","and sideroblastic anemia 1"
"294","HMDB0000051","Phosphoenolpyruvate Carboxykinase Deficiency 1"
"295","HMDB0000051","Cytosolic"
"296","HMDB0000052","Argininosuccinyl-CoA lyase deficiency"
"297","HMDB0000052","Argininemia"
"298","HMDB0000052","Argininosuccinic aciduria"
"299","HMDB0000053","Polycystic ovary syndrome"
"300","HMDB0000053","Cushing's Syndrome"
"301","HMDB0000053","Schizophrenia"
"302","HMDB0000053","Adrenal hyperplasia"
"303","HMDB0000053","congenital"
"304","HMDB0000053","due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
"305","HMDB0000053","11-beta-Hydroxylase deficiency"
"306","HMDB0000053","21-Hydroxylase deficiency"
"307","HMDB0000053","Adrenal insufficiency"
"308","HMDB0000053","congenital"
"309","HMDB0000053","with 46"
"310","HMDB0000053","XY sex reversal"
"311","HMDB0000053","partial or complete"
"312","HMDB0000053","Congenital Adrenal Hyperplasia"
"313","HMDB0000053","due to 21-Hydroxylase-Deficiency"
"314","HMDB0000053","X-linked ichthyosis"
"315","HMDB0000053","Lipoid Congenital Adrenal Hyperplasia"
"316","HMDB0000053","Rheumatoid arthritis"
"317","HMDB0000053","Thyroid cancer "
"318","HMDB0000053","Ovarian cancer"
"319","HMDB0000054","Crohn's disease"
"320","HMDB0000054","Gallbladder disease"
"321","HMDB0000054","Growth hormone deficiency"
"322","HMDB0000054","Crigler-Najjar syndrome type I"
"323","HMDB0000054","Primary hypomagnesemia"
"324","HMDB0000054","Anemia"
"325","HMDB0000054","congenital dyserythropoietic"
"326","HMDB0000054","type II"
"327","HMDB0000054","Lathosterolosis"
"328","HMDB0000054","Glucose-6-phosphate dehydrogenase deficiency"
"329","HMDB0000054","Cholestasis"
"330","HMDB0000054","progressive familial intrahepatic"
"331","HMDB0000054","1"
"332","HMDB0000054","Donohue Syndrome"
"333","HMDB0000054","Citrullinemia type II"
"334","HMDB0000054","neonatal-onset"
"335","HMDB0000054","Infantile Liver Failure Syndrome 2"
"336","HMDB0000054","Bile Acid Synthesis Defect"
"337","HMDB0000054","Congenital"
"338","HMDB0000054","1"
"339","HMDB0000054","Lecithin:cholesterol Acyltransferase Deficiency"
"340","HMDB0000054","Wolcott-Rallison syndrome"
"341","HMDB0000054","Cerebral vasospasm"
"342","HMDB0000054","Colorectal cancer"
"343","HMDB0000056","Gaba-transaminase deficiency"
"344","HMDB0000056","Hyper beta-alaninemia"
"345","HMDB0000056","Methylmalonate semialdehyde dehydrogenase deficiency"
"346","HMDB0000056","Colorectal cancer"
"347","HMDB0000056","Crohn's disease"
"348","HMDB0000056","Ulcerative colitis"
"349","HMDB0000056","Perillyl alcohol administration for cancer treatment"
"350","HMDB0000056","Pancreatic cancer"
"351","HMDB0000056","Periodontal disease"
"352","HMDB0000056","Alzheimer's disease"
"353","HMDB0000056","Frontotemporal dementia"
"354","HMDB0000056","Lewy body disease"
"355","HMDB0000056","Dihydropyrimidine dehydrogenase deficiency"
"356","HMDB0000056","Eosinophilic esophagitis"
"357","HMDB0000058","Headache"
"358","HMDB0000058","Idiopathic polyneuritis"
"359","HMDB0000058","Hypoxic-ischemic encephalopathy"
"360","HMDB0000058","Meningitis"
"361","HMDB0000058","Crohn's disease"
"362","HMDB0000058","Ulcerative colitis"
"363","HMDB0000058","Chronic renal failure"
"364","HMDB0000060","Diabetes mellitus type 2"
"365","HMDB0000060","Schizophrenia"
"366","HMDB0000060","Early preeclampsia"
"367","HMDB0000060","Pregnancy"
"368","HMDB0000060","Late-onset preeclampsia"
"369","HMDB0000060","2-Ketoglutarate dehydrogenase complex deficiency"
"370","HMDB0000060","3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency"
"371","HMDB0000060","Ketoacidosis"
"372","HMDB0000060","Pyruvate dehydrogenase phosphatase deficiency"
"373","HMDB0000060","Anoxia"
"374","HMDB0000060","Glucose transporter type 1 deficiency syndrome"
"375","HMDB0000060","Meningitis"
"376","HMDB0000060","Irritable bowel syndrome"
"377","HMDB0000060","Crohn's disease"
"378","HMDB0000060","Ulcerative colitis"
"379","HMDB0000060","Colorectal cancer"
"380","HMDB0000060","Ketosis"
"381","HMDB0000060","Eosinophilic esophagitis"
"382","HMDB0000062","Colorectal cancer"
"383","HMDB0000062","Early preeclampsia"
"384","HMDB0000062","Pregnancy"
"385","HMDB0000062","Late-onset preeclampsia"
"386","HMDB0000062","L-2-Hydroxyglutaric aciduria"
"387","HMDB0000062","3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency"
"388","HMDB0000062","3-Hydroxyacyl-CoA dehydrogenase deficiency"
"389","HMDB0000062","3-Hydroxy-3-methylglutaryl-CoA lyase deficiency"
"390","HMDB0000062","2"
"391","HMDB0000062","4-dienoyl-CoA reductase deficiency"
"392","HMDB0000062","Myopathic carnitine deficiency"
"393","HMDB0000062","Carnitine palmitoyltransferase I deficiency"
"394","HMDB0000062","Carnitine transporter defect; primary systemic carnitine deficiency"
"395","HMDB0000062","Methylmalonic aciduria mitochondrial encephelopathy Leigh-like"
"396","HMDB0000062","Mitochondrial trifunctional protein deficiency"
"397","HMDB0000062","Long-chain Fatty Acids"
"398","HMDB0000062","Defect in Transport of"
"399","HMDB0000062","Oculocerebrorenal syndrome"
"400","HMDB0000062","Perillyl alcohol administration for cancer treatment"
"401","HMDB0000062","Periodontal disease"
"402","HMDB0000062","Pancreatic cancer"
"403","HMDB0000062","Attachment loss"
"404","HMDB0000062","Missing teeth"
"405","HMDB0000062","Periodontal Probing Depth"
"406","HMDB0000062","Tooth Decay"
"407","HMDB0000062","Diabetes mellitus type 2"
"408","HMDB0000062","Lung Cancer"
"409","HMDB0000062","Eosinophilic esophagitis"
"410","HMDB0000062","Propionic acidemia"
"411","HMDB0000062","Obesity"
"412","HMDB0000063","Bipolar disorder"
"413","HMDB0000063","Tic disorder"
"414","HMDB0000063","Schizophrenia"
"415","HMDB0000063","ACTH deficiency"
"416","HMDB0000063","isolated"
"417","HMDB0000063","Adrenal hypoplasia"
"418","HMDB0000063","Apparent mineralocorticoid excess"
"419","HMDB0000063","Adrenal hyperplasia"
"420","HMDB0000063","congenital"
"421","HMDB0000063","due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
"422","HMDB0000063","Aromatase deficiency"
"423","HMDB0000063","3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency"
"424","HMDB0000063","3-Hydroxyacyl-CoA dehydrogenase deficiency"
"425","HMDB0000063","Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis"
"426","HMDB0000063","Congenital Adrenal Hyperplasia"
"427","HMDB0000063","due to 17-Hydroxylase-Deficiency"
"428","HMDB0000063","Adrenal insufficiency"
"429","HMDB0000063","congenital"
"430","HMDB0000063","with 46"
"431","HMDB0000063","XY sex reversal"
"432","HMDB0000063","partial or complete"
"433","HMDB0000063","3-Hydroxy-3-methylglutaryl-CoA lyase deficiency"
"434","HMDB0000063","Bartter Syndrome"
"435","HMDB0000063","Type 2"
"436","HMDB0000063","Antenatal"
"437","HMDB0000063","Glucocorticoid resistance"
"438","HMDB0000063","Proprotein Convertase 1/3 Deficiency"
"439","HMDB0000063","Lipoid Congenital Adrenal Hyperplasia"
"440","HMDB0000063","Corticosterone methyl oxidase I deficiency"
"441","HMDB0000063","Benign gynecological diseases"
"442","HMDB0000063","Functional hypothalamic amenorrhea"
"443","HMDB0000063","Stress"
"444","HMDB0000063","Anorexia nervosa"
"445","HMDB0000063","Rheumatoid arthritis"
"446","HMDB0000063","Leptin Deficiency or Dysfunction"
"447","HMDB0000064","Cirrhosis"
"448","HMDB0000064","Pancreatic cancer"
"449","HMDB0000064","Colorectal cancer"
"450","HMDB0000064","Schizophrenia"
"451","HMDB0000064","Early preeclampsia"
"452","HMDB0000064","Pregnancy"
"453","HMDB0000064","Late-onset preeclampsia"
"454","HMDB0000064","Hypermethioninemia"
"455","HMDB0000064","Cerebral creatine deficiency syndrome 3"
"456","HMDB0000064","Uremia"
"457","HMDB0000064","Irritable bowel syndrome"
"458","HMDB0000064","Crohn's disease"
"459","HMDB0000064","Ulcerative colitis"
"460","HMDB0000064","Alzheimer's disease"
"461","HMDB0000064","Frontotemporal dementia"
"462","HMDB0000064","Lewy body disease"
"463","HMDB0000064","Attachment loss"
"464","HMDB0000064","Missing teeth"
"465","HMDB0000064","Periodontal Probing Depth"
"466","HMDB0000064","Cystic fibrosis"
"467","HMDB0000064","Lung Cancer"
"468","HMDB0000064","Rhabdomyolysis"
"469","HMDB0000064","Eosinophilic esophagitis"
"470","HMDB0000064","Cerebral creatine deficiency syndrome 1"
"471","HMDB0000067","Gallbladder disease"
"472","HMDB0000067","Cholelithiasis"
"473","HMDB0000067","Stomach cancer"
"474","HMDB0000067","Acute myelogenous leukemia"
"475","HMDB0000067","Hypercholesterolemia"
"476","HMDB0000067","Cholesteryl ester storage disease"
"477","HMDB0000067","Cystinosis"
"478","HMDB0000067","Smith-Lemli-Opitz syndrome"
"479","HMDB0000067","Prostate cancer"
"480","HMDB0000067","Schizophrenia"
"481","HMDB0000067","Primary hypomagnesemia"
"482","HMDB0000067","Hyperlipoproteinemia"
"483","HMDB0000067","Abetalipoproteinemia"
"484","HMDB0000067","Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis"
"485","HMDB0000067","Cerebrotendinous xanthomatosis"
"486","HMDB0000067","3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency"
"487","HMDB0000067","Hypercholesterolemia"
"488","HMDB0000067","familial"
"489","HMDB0000067","SC4MOL deficiency"
"490","HMDB0000067","Chondrodysplasia punctata"
"491","HMDB0000067","X-linked dominant"
"492","HMDB0000067","Desmosterolosis"
"493","HMDB0000067","Donohue Syndrome"
"494","HMDB0000067","Leptin Deficiency or Dysfunction"
"495","HMDB0000067","Duchenne Muscular Dystrophy"
"496","HMDB0000067","Lecithin:cholesterol Acyltransferase Deficiency"
"497","HMDB0000067","Lipodystrophy"
"498","HMDB0000067","Lipodystrophy"
"499","HMDB0000067","Congenital Generalized"
"500","HMDB0000067","Oculocerebrorenal syndrome"
"501","HMDB0000067","Familial partial lipodystrophy"
"502","HMDB0000067","Lathosterolosis"
"503","HMDB0000067","Partial lipodystrophy"
"504","HMDB0000067","Multiple sclerosis"
"505","HMDB0000067","Inflammatory bowel disease"
"506","HMDB0000067","Colorectal cancer"
"507","HMDB0000068","Addison's Disease"
"508","HMDB0000068","Subarachnoid hemorrhage"
"509","HMDB0000068","Pheochromocytoma"
"510","HMDB0000068","Head injury"
"511","HMDB0000068","Cerebral infarction"
"512","HMDB0000068","Bacterial meningitis"
"513","HMDB0000068","Encephalitis"
"514","HMDB0000068","Schizophrenia"
"515","HMDB0000070","Infantile Refsum's disease"
"516","HMDB0000070","Rhizomelic chondrodysplasia punctata"
"517","HMDB0000070","Refsum's disease"
"518","HMDB0000070","Peroxisomal disorders"
"519","HMDB0000070","new type"
"520","HMDB0000070","liver"
"521","HMDB0000070","Pyridoxine-dependent epilepsy"
"522","HMDB0000070","D-Bifunctional protein deficiency"
"523","HMDB0000070","Pseudoneonatal adrenoleukodystrophy"
"524","HMDB0000070","Traumatic brain injury"
"525","HMDB0000070","Malaria"
"526","HMDB0000070","Anemia"
"527","HMDB0000070","Tuberculous meningitis"
"528","HMDB0000070","Convulsion"
"529","HMDB0000070","Hyperlysinemia I"
"530","HMDB0000070","familial"
"531","HMDB0000070","Hyperpipecolatemia"
"532","HMDB0000070","Colorectal cancer"
"533","HMDB0000070","Perillyl alcohol administration for cancer treatment"
"534","HMDB0000070","Pancreatic cancer"
"535","HMDB0000070","Periodontal disease"
"536","HMDB0000070","Periodontal Probing Depth"
"537","HMDB0000070","Peroxisomal biogenesis defect"
"538","HMDB0000070","Adrenoleukodystrophy"
"539","HMDB0000070","Schizophrenia"
"540","HMDB0000071","Colorectal cancer"
"541","HMDB0000071","Attachment loss"
"542","HMDB0000071","Periodontal Probing Depth"
"543","HMDB0000071","Purine nucleoside phosphorylase deficiency "
"544","HMDB0000071","Eosinophilic esophagitis"
"545","HMDB0000072","Alzheimer's disease"
"546","HMDB0000072","Frontotemporal dementia"
"547","HMDB0000072","Lewy body disease"
"548","HMDB0000072","Lung Cancer"
"549","HMDB0000072","Eosinophilic esophagitis"
"550","HMDB0000072","Schizophrenia"
"551","HMDB0000072","Amish lethal microcephaly"
"552","HMDB0000073","Dopamine Beta-Hydroxylase Deficiency"
"553","HMDB0000073","Hypothyroidism"
"554","HMDB0000073","Alzheimer's disease"
"555","HMDB0000073","Cerebral infarction"
"556","HMDB0000073","Bacterial meningitis"
"557","HMDB0000073","Encephalitis"
"558","HMDB0000073","Vitiligo"
"559","HMDB0000073","Aromatic L-amino acid decarboxylase deficiency"
"560","HMDB0000073","Eosinophilic esophagitis"
"561","HMDB0000073","Schizophrenia"
"562","HMDB0000073","Dopamine-serotonin Vesicular Transport Defect"
"563","HMDB0000076","Colorectal cancer"
"564","HMDB0000076","Dihydropyrimidine dehydrogenase deficiency"
"565","HMDB0000076","Hypertension"
"566","HMDB0000076","Cerebral infarction"
"567","HMDB0000076","Liver disease"
"568","HMDB0000077","Adrenal hyperplasia"
"569","HMDB0000077","congenital"
"570","HMDB0000077","due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
"571","HMDB0000077","Aromatase deficiency"
"572","HMDB0000077","21-Hydroxylase deficiency"
"573","HMDB0000077","Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis"
"574","HMDB0000077","Adrenal insufficiency"
"575","HMDB0000077","congenital"
"576","HMDB0000077","with 46"
"577","HMDB0000077","XY sex reversal"
"578","HMDB0000077","partial or complete"
"579","HMDB0000077","Lipoid Congenital Adrenal Hyperplasia"
"580","HMDB0000077","Rheumatoid arthritis"
"581","HMDB0000078","Phenylketonuria"
"582","HMDB0000079","Dihydropyrimidinase deficiency"
"583","HMDB0000079","Beta-ureidopropionase deficiency"
"584","HMDB0000079","Eosinophilic esophagitis"
"585","HMDB0000085","Colorectal cancer"
"586","HMDB0000085","Purine nucleoside phosphorylase deficiency "
"587","HMDB0000086","Kidney cancer"
"588","HMDB0000086","Multi-infarct dementia"
"589","HMDB0000086","Alzheimer's disease"
"590","HMDB0000086","Perillyl alcohol administration for cancer treatment"
"591","HMDB0000086","Pancreatic cancer"
