"","accession","route_of_exposure"
"176","T3D0210","oral"
"177","T3D0211","oral"
"178","T3D0212","oral"
"179","T3D0213","oral"
"180","T3D0214","oral"
"181","T3D0215","oral"
"182","T3D0216","oral"
"183","T3D0217","oral"
"184","T3D0219","inhalation"
"185","T3D0221","oral"
"186","T3D0222","oral"
"187","T3D0223","oral"
"188","T3D0224","oral"
"189","T3D0225","oral"
"190","T3D0226","oral"
"191","T3D0229","oral"
"192","T3D0230","oral"
"193","T3D0232","oral"
"194","T3D0233","oral"
"195","T3D0234","inhalation"
"196","T3D0235","oral"
"197","T3D0237","oral"
"198","T3D0240","oral"
"199","T3D0241","oral"
"200","T3D0242","oral"
"201","T3D0243","oral"
"202","T3D0244","oral"
"203","T3D0245","inhalation"
"204","T3D0246","oral"
"205","T3D0247","oral"
"206","T3D0248","oral"
"207","T3D0249","oral"
"208","T3D0252","oral"
"209","T3D0252","inhalation"
"210","T3D0252","dermal"
"211","T3D0253","oral"
"212","T3D0255","oral"
"213","T3D0257","oral"
"214","T3D0259","oral"
"215","T3D0261","dermal"
"216","T3D0264","oral"
"217","T3D0265","oral"
"218","T3D0271","oral"
"219","T3D0275","oral"
"220","T3D0276","oral"
"221","T3D0277","oral"
"222","T3D0278","oral"
"223","T3D0279","oral"
"224","T3D0282","oral"
"225","T3D0285","oral"
"226","T3D0286","oral"
"227","T3D0287","oral"
"228","T3D0288","oral"
"229","T3D0289","oral"
"230","T3D0290","oral"
"231","T3D0292","oral"
"232","T3D0293","oral"
"233","T3D0294","oral"
"234","T3D0296","oral"
"235","T3D0297","oral"
"236","T3D0298","oral"
"237","T3D0299","oral"
"238","T3D0300","oral"
"239","T3D0301","oral"
"240","T3D0302","oral"
"241","T3D0303","oral"
"242","T3D0304","oral"
"243","T3D0305","oral"
"244","T3D0308","oral"
"245","T3D0309","oral"
"246","T3D0310","oral"
"247","T3D0311","oral"
"248","T3D0312","oral"
"249","T3D0313","oral"
"250","T3D0314","oral"
"251","T3D0315","oral"
"252","T3D0316","oral"
"253","T3D0317","oral"
"254","T3D0318","oral"
"255","T3D0319","oral"
"256","T3D0320","oral"
"257","T3D0321","oral"
"258","T3D0322","oral"
"259","T3D0323","oral"
"260","T3D0324","oral"
"261","T3D0325","oral"
"262","T3D0326","oral"
"263","T3D0327","oral"
"264","T3D0328","oral"
"265","T3D0329","oral"
"266","T3D0330","oral"
"267","T3D0331","oral"
"268","T3D0332","oral"
"269","T3D0333","oral"
"270","T3D0334","oral"
"271","T3D0335","oral"
"272","T3D0336","oral"
"273","T3D0337","oral"
"274","T3D0338","oral"
"275","T3D0340","oral"
"276","T3D0341","oral"
"277","T3D0342","oral"
"278","T3D0343","oral"
"279","T3D0344","oral"
"280","T3D0345","oral"
"281","T3D0346","oral"
"282","T3D0347","oral"
"283","T3D0348","oral"
"284","T3D0349","oral"
"285","T3D0350","oral"
"286","T3D0351","oral"
"287","T3D0352","oral"
"288","T3D0353","oral"
"289","T3D0354","oral"
"290","T3D0355","oral"
"291","T3D0356","oral"
"292","T3D0357","oral"
"293","T3D0358","oral"
"294","T3D0360","oral"
"295","T3D0361","oral"
"296","T3D0362","oral"
"297","T3D0363","oral"
"298","T3D0364","oral"
"299","T3D0367","oral"
"300","T3D0368","oral"
"301","T3D0369","oral"
"302","T3D0370","oral"
"303","T3D0371","oral"
"304","T3D0372","oral"
"305","T3D0373","oral"
"306","T3D0374","oral"
"307","T3D0375","oral"
"308","T3D0376","oral"
"309","T3D0377","oral"
"310","T3D0378","oral"
"311","T3D0380","oral"
"312","T3D0381","oral"
"313","T3D0382","oral"
"314","T3D0383","oral"
"315","T3D0384","oral"
"316","T3D0386","oral"
"317","T3D0387","oral"
"318","T3D0388","oral"
"319","T3D0389","inhalation"
"320","T3D0390","oral"
"321","T3D0391","oral"
"322","T3D0392","oral"
"323","T3D0393","oral"
"324","T3D0394","oral"
"325","T3D0395","oral"
"326","T3D0396","oral"
"327","T3D0397","oral"
"328","T3D0398","oral"
"329","T3D0399","oral"
"330","T3D0400","oral"
"331","T3D0401","oral"
"332","T3D0402","oral"
"333","T3D0403","oral"
"334","T3D0404","oral"
"335","T3D0405","oral"
"336","T3D0406","oral"
"337","T3D0407","oral"
"338","T3D0408","oral"
"339","T3D0409","oral"
"340","T3D0410","oral"
"341","T3D0411","oral"
"342","T3D0412","oral"
"343","T3D0413","oral"
"344","T3D0414","oral"
"345","T3D0415","oral"
"346","T3D0416","oral"
"347","T3D0417","oral"
"348","T3D0418","oral"
"349","T3D0419","oral"
"350","T3D0420","oral"
"351","T3D0421","oral"
"352","T3D0422","oral"
"353","T3D0423","oral"
"354","T3D0424","oral"
"355","T3D0426","oral"
"356","T3D0427","oral"
"357","T3D0428","oral"
"358","T3D0429","oral"
"359","T3D0430","oral"
"360","T3D0431","oral"
"361","T3D0432","oral"
"362","T3D0433","oral"
"363","T3D0434","oral"
"364","T3D0435","oral"
"365","T3D0437","oral"
"366","T3D0438","oral"
"367","T3D0439","oral"
"368","T3D0440","oral"
"369","T3D0441","oral"
"370","T3D0442","oral"
"371","T3D0443","oral"
"372","T3D0444","oral"
"373","T3D0445","oral"
"374","T3D0446","oral"
"375","T3D0447","oral"
"376","T3D0448","oral"
"377","T3D0449","oral"
"378","T3D0450","oral"
"379","T3D0451","oral"
"380","T3D0452","oral"
"381","T3D0453","oral"
"382","T3D0454","oral"
"383","T3D0455","oral"
"384","T3D0456","oral"
"385","T3D0457","oral"
"386","T3D0458","oral"
"387","T3D0459","oral"
"388","T3D0460","oral"
"389","T3D0461","oral"
"390","T3D0462","oral"
"391","T3D0463","oral"
"392","T3D0464","oral"
"393","T3D0465","oral"
"394","T3D0466","oral"
"395","T3D0467","oral"
"396","T3D0468","oral"
"397","T3D0470","oral"
"398","T3D0472","oral"
"399","T3D0473","oral"
"400","T3D0474","oral"
"401","T3D0475","oral"
"402","T3D0476","oral"
"403","T3D0477","oral"
"404","T3D0478","oral"
"405","T3D0479","oral"
"406","T3D0480","oral"
"407","T3D0481","oral"
"408","T3D0482","oral"
"409","T3D0483","oral"
"410","T3D0484","oral"
"411","T3D0485","oral"
"412","T3D0486","oral"
"413","T3D0487","oral"
"414","T3D0488","oral"
"415","T3D0489","oral"
"416","T3D0490","oral"
"417","T3D0491","oral"
"418","T3D0492","oral"
"419","T3D0493","oral"
"420","T3D0494","oral"
"421","T3D0495","oral"
"422","T3D0496","oral"
"423","T3D0496","dermal"
"424","T3D0497","oral"
"425","T3D0498","oral"
"426","T3D0499","oral"
"427","T3D0500","oral"
"428","T3D0501","oral"
"429","T3D0502","oral"
"430","T3D0503","oral"
"431","T3D0504","oral"
"432","T3D0505","oral"
"433","T3D0506","oral"
"434","T3D0507","oral"
"435","T3D0508","oral"
"436","T3D0509","oral"
"437","T3D0510","oral"
"438","T3D0511","oral"
"439","T3D0512","oral"
"440","T3D0513","oral"
"441","T3D0514","oral"
"442","T3D0515","oral"
"443","T3D0516","oral"
"444","T3D0518","oral"
"445","T3D0519","oral"
"446","T3D0520","oral"
"447","T3D0521","oral"
"448","T3D0522","oral"
"449","T3D0523","oral"
"450","T3D0524","oral"
"451","T3D0525","oral"
"452","T3D0526","oral"
"453","T3D0527","oral"
"454","T3D0528","oral"
"455","T3D0528","dermal"
"456","T3D0529","oral"
"457","T3D0530","oral"
"458","T3D0531","oral"
"459","T3D0532","oral"
"460","T3D0533","oral"
"461","T3D0534","oral"
"462","T3D0535","oral"
"463","T3D0536","oral"
"464","T3D0536","dermal"
"465","T3D0537","oral"
"466","T3D0538","oral"
"467","T3D0539","oral"
"468","T3D0540","oral"
"469","T3D0541","oral"
"470","T3D0542","oral"
"471","T3D0543","oral"
"472","T3D0544","oral"
"473","T3D0545","oral"
"474","T3D0546","oral"
"475","T3D0547","oral"
"476","T3D0548","oral"
"477","T3D0549","oral"
"478","T3D0550","oral"
"479","T3D0551","oral"
"480","T3D0552","oral"
"481","T3D0553","oral"
"482","T3D0554","oral"
"483","T3D0555","oral"
"484","T3D0556","oral"
"485","T3D0557","oral"
"486","T3D0558","oral"
"487","T3D0559","oral"
"488","T3D0560","oral"
"489","T3D0561","oral"
"490","T3D0562","oral"
"491","T3D0563","oral"
"492","T3D0564","oral"
"493","T3D0565","oral"
"494","T3D0566","oral"
"495","T3D0566","dermal"
"496","T3D0567","oral"
"497","T3D0568","oral"
"498","T3D0569","oral"
"499","T3D0570","oral"
"500","T3D0571","oral"
"501","T3D0572","oral"
"502","T3D0573","oral"
"503","T3D0574","oral"
"504","T3D0575","oral"
"505","T3D0576","oral"
"506","T3D0577","oral"
"507","T3D0578","oral"
"508","T3D0579","oral"
"509","T3D0580","oral"
"510","T3D0581","oral"
"511","T3D0582","oral"
"512","T3D0583","oral"
"513","T3D0584","oral"
"514","T3D0585","oral"
"515","T3D0586","oral"
"516","T3D0587","oral"
"517","T3D0588","oral"
"518","T3D0589","oral"
"519","T3D0590","oral"
"520","T3D0591","oral"
"521","T3D0592","oral"
"522","T3D0593","oral"
"523","T3D0594","oral"
"524","T3D0595","oral"
"525","T3D0596","oral"
"526","T3D0597","oral"
"527","T3D0598","oral"
"528","T3D0616","oral"
"529","T3D0617","dermal(l957"
"530","T3D0618","oral"
"531","T3D0619","oral"
"532","T3D0621","oral"
"533","T3D0622","oral"
"534","T3D0624","oral"
"535","T3D0625","oral"
"536","T3D0627","oral"
"537","T3D0628","oral"
"538","T3D0629","oral"
"539","T3D0630","oral"
"540","T3D0631","oral"
"541","T3D0632","oral"
"542","T3D0633","oral"
"543","T3D0634","oral"
"544","T3D0635","oral"
"545","T3D0636","oral"
"546","T3D0637","oral"
"547","T3D0638",NA
"548","T3D0639","inhalation"
"549","T3D0640","oral"
"550","T3D0641","inhalation"
"551","T3D0642","inhalation"
"552","T3D0643","oral"
"553","T3D0644","inhalation"
"554","T3D0645","inhalation"
"555","T3D0646","inhalation"
"556","T3D0647","inhalation"
"557","T3D0648","inhalation"
"558","T3D0649","inhalation"
"559","T3D0650","inhalation"
"560","T3D0651","oral"
"561","T3D0652","inhalation"
"562","T3D0653","inhalational"
"563","T3D0654","inhalational"
"564","T3D0655","inhalation"
"565","T3D0658","inhalation"
"566","T3D0659","inhalation"
"567","T3D0660","inhalation"
"568","T3D0661","inhalation"
"569","T3D0662","inhalation"
"570","T3D0663","inhalation"
"571","T3D0664","inhalation"
"572","T3D0665","inhalation"
"573","T3D0666","inhalation"
"574","T3D0667","inhalation"
"575","T3D0668","inhalation"
"576","T3D0669","inhalation"
"577","T3D0670","inhalation"
"578","T3D0671","inhalation"
"579","T3D0672","inhalation"
"580","T3D0673","inhalationreadilyabsorbedinthelowerhalfoftheileum"
"581","T3D0674","inhalation"
"582","T3D0675","inhalation"
"583","T3D0676","inhalation"
"584","T3D0677","inhalationreadilyabsorbedfromthegastrointestinaltract"
"585","T3D0677","exceptinmalabsorptionsyndromesvitaminb12isabsorbedinthelowerhalfoftheileum"
"586","T3D0678","inhalation"
"587","T3D0679","inhalation"
"588","T3D0680","inhalation"
"589","T3D0681","inhalation"
"590","T3D0682","inhalation"
"591","T3D0683","inhalation"
"592","T3D0684","inhalation"
"593","T3D0685","inhalation"
"594","T3D0686","inhalation"
"595","T3D0687","inhalation"
"596","T3D0688","inhalation"
"597","T3D0689","inhalation"
"598","T3D0690","inhalation"
"599","T3D0691","inhalation"
"600","T3D0692","inhalation"
"601","T3D0693","inhalation"
"602","T3D0694","inhalation"
"603","T3D0695","inhalation"
"604","T3D0696","inhalation"
"605","T3D0697","inhalation"
"606","T3D0698","inhalation"
"607","T3D0699","inhalation"
"608","T3D0700","inhalation"
"609","T3D0701","inhalation"
"610","T3D0702","inhalation"
"611","T3D0703","inhalation"
"612","T3D0704","inhalation"
"613","T3D0705","inhalation"
"614","T3D0706","inhalation"
"615","T3D0707","inhalation"
"616","T3D0708","inhalation"
"617","T3D0709","inhalation"
"618","T3D0710","inhalation"
"619","T3D0711","inhalation"
"620","T3D0712","inhalation"
"621","T3D0713","inhalation"
"622","T3D0714","inhalation"
"623","T3D0715","inhalation"
"624","T3D0716","inhalation"
"625","T3D0717","inhalation"
"626","T3D0718","inhalation"
"627","T3D0719","inhalation"
"628","T3D0720","inhalation"
"629","T3D0721","inhalation"
"630","T3D0722","inhalation"
"631","T3D0723","inhalation"
"632","T3D0724","inhalation"
"633","T3D0725","inhalation"
"634","T3D0726","inhalation"
"635","T3D0727","inhalation"
"636","T3D0728","inhalation"
"637","T3D0729","inhalation"
"638","T3D0730","inhalation"
"639","T3D0731","inhalation"
"640","T3D0732","inhalation"
"641","T3D0733","inhalation"
"642","T3D0734","inhalation"
"643","T3D0735","inhalation"
"644","T3D0736","inhalation"
"645","T3D0737","inhalation"
"646","T3D0738","inhalation"
"647","T3D0739","inhalation"
"648","T3D0740","inhalation"
"649","T3D0741","inhalation"
"650","T3D0742","inhalation"
"651","T3D0743","inhalation"
"652","T3D0744","inhalation"
"653","T3D0745","inhalation"
"654","T3D0746","inhalation"
"655","T3D0747","inhalation"
"656","T3D0748","inhalation"
"657","T3D0749","inhalation"
"658","T3D0753","inhalation"
"659","T3D0754","inhalation"
"660","T3D0755","inhalation"
"661","T3D0756","inhalation"
"662","T3D0758","inhalation"
"663","T3D0759","inhalation"
"664","T3D0760","inhalation"
"665","T3D0761","inhalation"
"666","T3D0762","inhalation"
"667","T3D0763","inhalation"
"668","T3D0764","inhalation"
"669","T3D0765","inhalation"
"670","T3D0766","inhalation"
"671","T3D0767","inhalation"
"672","T3D0768","inhalation"
"673","T3D0769","inhalation"
"674","T3D0770","oral"
"675","T3D0770","rapidlyabsorbedbloodalcohollevelthetimenecessarytoachieveitarecontrolledlargelybytherapidityextentofethanolconsumption"
"676","T3D0771","oral"
"677","T3D0772","oral"
"678","T3D0776","inhalation"
"679","T3D0777","inhalation"
"680","T3D0778","inhalation"
"681","T3D0780","inhalation"
"682","T3D0781","inhalation"
"683","T3D0782","oral"
"684","T3D0784","inhalation"
"685","T3D0786","inhalation"
"686","T3D0791","oral"
"687","T3D0792","inhalation"
"688","T3D0793","inhalation"
"689","T3D0794","inhalation"
"690","T3D0795","inhalation"
"691","T3D0796","oral"
"692","T3D0797","inhalation"
"693","T3D0798",NA
"694","T3D0799","oralabsorptionofnicotinethroughthebuccalmucosaisrelativelyslowthehighrapidrisefollowedbythedeclineinnicotinearterialplasmaconcentrationsseenwithcigarettesmokingarenotachievedwiththeinhalerabout10%ofabsorbednicotineisexcretedunchangedinurine"
"695","T3D0800",NA
"696","T3D0801",NA
"697","T3D0802",NA
"698","T3D0803",NA
"699","T3D0804",NA
"700","T3D0805",NA
"701","T3D0806",NA
"702","T3D0807","oral"
"703","T3D0807","inhalation"
"704","T3D0807","dermal"
"705","T3D0808","inhalation"
"706","T3D0810","oral"
"707","T3D0811","inhalation"
"708","T3D0812",NA
"709","T3D0813",NA
"710","T3D0815",NA
"711","T3D0816",NA
"712","T3D0819",NA
"713","T3D0821",NA
"714","T3D0822",NA
"715","T3D0825",NA
"716","T3D0831",NA
"717","T3D0834",NA
"718","T3D0836",NA
"719","T3D0838",NA
"720","T3D0842",NA
"721","T3D0843",NA
"722","T3D0845",NA
"723","T3D0846",NA
"724","T3D0855","oral"
"725","T3D0856",NA
"726","T3D0859","oral"
"727","T3D0860","oral"
"728","T3D0864","oral"
"729","T3D0868","inhalation"
"730","T3D0870","inhalation"
"731","T3D0871","inhalation"
"732","T3D0872","inhalation"
"733","T3D0873","inhalation"
"734","T3D0874","inhalation"
"735","T3D0875","inhalation"
"736","T3D0876","inhalation"
"737","T3D0876","dermal(l741"
"738","T3D0877","inhalation"
"739","T3D0878","inhalation"
"740","T3D0890","inhalation"
"741","T3D0893","inhalation"
"742","T3D0894","inhalation"
"743","T3D0895","inhalation"
"744","T3D0896","inhalation"
"745","T3D0897","inhalation"
"746","T3D0898","inhalation"
"747","T3D0900","inhalation"
"748","T3D0901","inhalation"
"749","T3D0902","inhalation"
"750","T3D0903","inhalation"
"751","T3D0904","inhalation"
"752","T3D0905","inhalation"
"753","T3D0906","inhalation"
"754","T3D0907","inhalation"
"755","T3D0908","inhalation"
"756","T3D0909","inhalation"
"757","T3D0910","inhalation"
"758","T3D0911","inhalation"
"759","T3D0912","inhalation"
"760","T3D0913","inhalation"
"761","T3D0914","inhalation"
"762","T3D0915","inhalation"
"763","T3D0916","inhalation"
"764","T3D0918","inhalation"
"765","T3D0919","inhalation"
"766","T3D0920","inhalation"
"767","T3D0921","inhalation"
"768","T3D0922","inhalation"
"769","T3D0923","inhalation"
"770","T3D0924","inhalation"
"771","T3D0925","inhalation"
"772","T3D0926","inhalation"
"773","T3D0927","inhalation"
"774","T3D0928","inhalation"
"775","T3D0929","inhalation"
"776","T3D0930","inhalation"
"777","T3D0932","inhalation"
"778","T3D0934","inhalation"
"779","T3D0935","inhalation"
"780","T3D0936","inhalation"
"781","T3D0937","inhalation"
"782","T3D0938","inhalation"
"783","T3D0939","inhalation"
"784","T3D0940","inhalation"
"785","T3D0941","inhalation"
"786","T3D0942","inhalation"
"787","T3D0943","inhalation"
"788","T3D0944","inhalation"
"789","T3D0945","inhalation"
"790","T3D0946","inhalation"
"791","T3D0947","inhalation"
"792","T3D0948","inhalation"
"793","T3D0949","inhalation"
"794","T3D0950","inhalation"
"795","T3D0951","inhalation"
"796","T3D0952","inhalation"
"797","T3D0953","inhalation"
"798","T3D0954","inhalation"
"799","T3D0955","inhalation"
"800","T3D0956","inhalation"
"801","T3D0957","inhalation"
"802","T3D0959","inhalation"
"803","T3D0960","inhalation"
"804","T3D0961","inhalation"
"805","T3D0962","inhalation"
"806","T3D0963","inhalation"
"807","T3D0964","inhalation"
"808","T3D0966","inhalation"
"809","T3D0967","inhalation"
"810","T3D0968","inhalation"
"811","T3D0969","inhalation"
"812","T3D0970","inhalation"
"813","T3D0971","inhalation"
"814","T3D0972","inhalation"
"815","T3D0973","inhalation"
"816","T3D0974","inhalation"
"817","T3D0975","inhalation"
"818","T3D0976","inhalation"
"819","T3D0977","inhalation"
"820","T3D0978","inhalation"
"821","T3D0979","inhalation"
"822","T3D0980","inhalation"
"823","T3D0981","inhalation"
"824","T3D0982","inhalation"
"825","T3D0983","inhalation"
"826","T3D0984","inhalation"
"827","T3D0985","inhalation"
"828","T3D0986","inhalation"
"829","T3D0987","inhalation"
"830","T3D0988","inhalation"
"831","T3D0989","inhalation"
"832","T3D0990","inhalation"
"833","T3D0991","inhalation"
"834","T3D0992","inhalation"
"835","T3D0993","inhalation"
"836","T3D0994","inhalation"
"837","T3D0995","inhalation"
"838","T3D0996","inhalation"
"839","T3D0998","inhalation"
"840","T3D0999","inhalation"
"841","T3D1000","inhalation"
"842","T3D1001","inhalation"
"843","T3D1002","inhalation"
"844","T3D1003","inhalation"
"845","T3D1004","inhalation"
"846","T3D1005","inhalation"
"847","T3D1006","inhalation"
"848","T3D1007","inhalation"
"849","T3D1008","inhalation"
"850","T3D1009","inhalation"
"851","T3D1010","inhalation"
"852","T3D1011","inhalation"
"853","T3D1012","inhalation"
"854","T3D1013","inhalation"
"855","T3D1014","inhalation"
"856","T3D1015","inhalation"
"857","T3D1016","inhalation"
"858","T3D1017","inhalation"
"859","T3D1018","inhalation"
"860","T3D1020","inhalation"
"861","T3D1021","inhalation"
"862","T3D1022","oral"
"863","T3D1023",NA
"864","T3D1024","inhalation"
"865","T3D1025",NA
"866","T3D1026","inhalation"
"867","T3D1027","inhalation"
"868","T3D1028","inhalation"
"869","T3D1029",NA
"870","T3D1030",NA
"871","T3D1031","inhalation"
"872","T3D1032","inhalation"
"873","T3D1033",NA
"874","T3D1034","inhalation"
"875","T3D1035","inhalation"
"876","T3D1036","inhalation"
"877","T3D1037","oral"
"878","T3D1039","inhalation"
"879","T3D1041",NA
"880","T3D1042",NA
"881","T3D1043",NA
"882","T3D1044",NA
"883","T3D1045",NA
"884","T3D1046",NA
"885","T3D1047",NA
"886","T3D1048",NA
"887","T3D1049",NA
"888","T3D1050",NA
"889","T3D1051",NA
"890","T3D1052",NA
"891","T3D1053",NA
"892","T3D1054",NA
"893","T3D1055",NA
"894","T3D1056",NA
"895","T3D1058",NA
"896","T3D1059",NA
"897","T3D1060",NA
"898","T3D1061",NA
"899","T3D1062",NA
"900","T3D1064",NA
"901","T3D1065",NA
"902","T3D1066",NA
"903","T3D1067",NA
"904","T3D1069",NA
"905","T3D1076","dermal"
"906","T3D1084",NA
"907","T3D1086",NA
"908","T3D1087","dermal"
"909","T3D1088","inhalation"
"910","T3D1089","inhalation"
"911","T3D1090","oral"
"912","T3D1091","oral"
"913","T3D1092","oral"
"914","T3D1093","oral"
"915","T3D1094","oral"
"916","T3D1095","oral"
"917","T3D1097","oral"
"918","T3D1098","oral"
"919","T3D1099","oral"
"920","T3D1100","oral"
"921","T3D1101","oral"
"922","T3D1103","oral"
"923","T3D1104","oral"
"924","T3D1105","oral"
"925","T3D1107","oral"
"926","T3D1108","oral"
"927","T3D1111","oral"
"928","T3D1112","oral"
"929","T3D1114","oral"
"930","T3D1115","oral"
"931","T3D1116","oral"
"932","T3D1117","oral"
"933","T3D1118","oral"
"934","T3D1119","oral"
"935","T3D1120","oral"
"936","T3D1121","oral"
"937","T3D1122","oral"
"938","T3D1123","oral"
"939","T3D1124","oral"
"940","T3D1126","oral"
"941","T3D1127","oral"
"942","T3D1128","oral"
"943","T3D1131","oral"
"944","T3D1134","oral"
"945","T3D1135","oral"
"946","T3D1136","oral"
"947","T3D1137","oral"
"948","T3D1138","oral"
"949","T3D1139","oral"
"950","T3D1140","oral"
"951","T3D1141","oral"
"952","T3D1142","oral"
"953","T3D1143","oral"
"954","T3D1145","oral"
"955","T3D1146","oral"
"956","T3D1147","oral"
"957","T3D1148","oral"
"958","T3D1149","oral"
"959","T3D1150","oral"
"960","T3D1151","oral"
"961","T3D1152","oral"
"962","T3D1153","oral"
"963","T3D1154","oral"
"964","T3D1155","oral"
"965","T3D1156","oral"
"966","T3D1157","oral"
"967","T3D1158","oral"
"968","T3D1159","oral"
"969","T3D1160","oral"
"970","T3D1161","oral"
"971","T3D1162","oral"
"972","T3D1163","oral"
"973","T3D1164","oral"
"974","T3D1165","oral"
"975","T3D1166","oral"
"976","T3D1167","oral"
"977","T3D1168","oral"
"978","T3D1169","oral"
"979","T3D1170","oral"
"980","T3D1172","oral"
"981","T3D1173","oral"
"982","T3D1174","oral"
"983","T3D1175","oral"
"984","T3D1176","oral"
"985","T3D1177","oral"
"986","T3D1179","oral"
"987","T3D1180","oral"
"988","T3D1181","oral"
"989","T3D1182","oral"
"990","T3D1183","oral"
"991","T3D1184","oral"
"992","T3D1185","oral"
"993","T3D1186","oral"
"994","T3D1187","oral"
"995","T3D1188","oral"
"996","T3D1189","oral"
"997","T3D1190","oral"
"998","T3D1191","oral"
"999","T3D1193","oral"
"1000","T3D1194","oral"
"1001","T3D1195","oral"
